concept,orig_status,audited_status,note
coefficient,witness_candidate,confirmed_sourcebody_internal,Common curriculum/proof-register term with native-sourcebody hits; still no external certification.
decomposition,witness_candidate,confirmed_sourcebody_internal,Common curriculum/proof-register term with native-sourcebody hits; still no external certification.
finite,witness_candidate,confirmed_sourcebody_internal,Common curriculum/proof-register term with native-sourcebody hits; still no external certification.
prime ideal,ocr_candidate_needs_review,ocr_only_review_needed,"Candidate exists, but context/sense review required before witness writeback."
absolutely complete system,gap_after_sourcebody_probe,gap_specialist_noether_intake,No hit; keep Noether-specialist source-intake gap.
biquadratic form,gap_after_sourcebody_probe,gap_specialist_noether_intake,No hit; specialist row.
complete system,gap_after_sourcebody_probe,gap_specialist_noether_intake,No hit; keep Noether-specialist source-intake gap.
contravariant,gap_after_sourcebody_probe,gap_specialist_noether_intake,No hit; specialist row.
elementary divisor,not_probed_no_ar_form,gap_no_query_form_specialist,No Arabic query form in current ledger; specialist elementary-divisor source needed.
form system,gap_after_sourcebody_probe,gap_specialist_noether_intake,No hit; specialist row.
ground form,witness_candidate,rejected_false_sense,شكل أساسي is generic “basic/fundamental form” evidence; not invariant-theory ground form without specialist context.
modulus,witness_candidate,rejected_false_sense,"Arabic form مودول is module, not modulus; keep as adverse collision and send modulus to specialist/source-intake gap."
reduction,witness_candidate,low_confidence_context_review,"Candidate exists, but context/sense review required before witness writeback."
relatively complete system,gap_after_sourcebody_probe,gap_specialist_noether_intake,No hit; keep Noether-specialist source-intake gap.
resultant,not_probed_no_ar_form,gap_no_query_form_specialist,No Arabic query form in current ledger; specialist resultant source needed.
ternary form,gap_after_sourcebody_probe,gap_specialist_noether_intake,No hit; specialist row.
transvection,gap_after_sourcebody_probe,gap_specialist_noether_intake,No hit; specialist row.
assumption,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
conversely,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
equation,witness_candidate,confirmed_sourcebody_internal,Common curriculum/proof-register term with native-sourcebody hits; still no external certification.
exists,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
for all,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
formula,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
identity,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
if and only if,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
proposition,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
relation,witness_candidate,confirmed_sourcebody_internal,Common curriculum/proof-register term with native-sourcebody hits; still no external certification.
respectively,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
statement,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
therefore,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
prime ideal,ocr_candidate_needs_review,ocr_only_review_needed,"Candidate exists, but context/sense review required before witness writeback."
elementary divisor,not_probed_no_ar_form,gap_no_query_form_specialist,No Arabic query form in current ledger; specialist elementary-divisor source needed.
resultant,not_probed_no_ar_form,gap_no_query_form_specialist,No Arabic query form in current ledger; specialist resultant source needed.
assumption,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
conversely,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
equation,witness_candidate,confirmed_sourcebody_internal,Common curriculum/proof-register term with native-sourcebody hits; still no external certification.
exercise,ocr_candidate_needs_review,ocr_only_review_needed,"Candidate exists, but context/sense review required before witness writeback."
exists,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
for all,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
formula,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
identity,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
if and only if,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
notation,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
proposition,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
relation,witness_candidate,confirmed_sourcebody_internal,Common curriculum/proof-register term with native-sourcebody hits; still no external certification.
respectively,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
statement,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
therefore,not_probed_no_ar_form,gap_no_query_form,Needs Arabic query-form sourcing before probing.
