"lane","output_root","has_outputs","total_output_files","packageable_sidecar_count","raw_or_cache_excluded_count","latest_sidecar","latest_sidecar_utc","latest_sidecar_sha256","primary_witness_tables","primary_witness_table_count","primary_witness_rows_observed","gap_or_blocker_sidecars","gap_or_blocker_sidecar_count","manifest_or_checksum_sidecars","manifest_or_checksum_count","source_canon_status","package_boundary","non_claim_boundary"
"noether-arabic-rtl-source-evidence-draft-lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs","True","38","17","0","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_COORDINATION_RECHECK_SHA256_20260704.txt","2026-07-04T20:14:36.6139554Z","A2811499626D987A1808F5A18F81078BD25EE4613A4E31CD9EF33491F4433E59","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_SHA256_20260704.txt; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_MANIFEST_20260704.md; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.csv; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.json; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.md","6","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv=26; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_SHA256_20260704.txt=unknown; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_MANIFEST_20260704.md=unknown; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.csv=13; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.json=13","","0","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_COORDINATION_RECHECK_SHA256_20260704.txt; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_COORDINATION_RECHECK_MANIFEST_20260704.md; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_SHA256_20260704.txt; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_MANIFEST_20260704.md; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_READER_SOURCE_BOUNDARY_FIXPASS_MANIFEST_20260704.md; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_STEERING_UPDATE_FIXPASS_MANIFEST_20260704.md; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_COMPLETION_FIXPASS_PROOF_MANIFEST_20260704.md; noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_ACTIVE_ROW_SCOPE_RECHECK_MANIFEST_20260704.md","11","witness_table_sidecars_present","packageable sidecars only; raw sources, fetched bodies, source_canon_witness_cache, zips, PDFs, images, temp/cache paths, and local-only package copies excluded from this inventory","source-canon/provenance coordination only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, or Git push"
"noether-cjk-native-source-evidence","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs","True","62","35","4","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_MANIFEST_20260704.json","2026-07-04T20:13:32.2040494Z","E81C01A790166C5ED5DD96722977982467702F8E564731E0B380E4731D794528","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_MANIFEST_20260704.json; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_SHA256SUMS_20260704.txt; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_RUNLOG_ADDENDUM_20260704.md; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.md; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.csv; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","6","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_MANIFEST_20260704.json=files:5; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_SHA256SUMS_20260704.txt=unknown; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_RUNLOG_ADDENDUM_20260704.md=unknown; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.md=unknown; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.csv=39","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_SUPPORT_COVERAGE_AND_BLOCKER_LEDGER_20260704.json; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_GAP_LEDGER_20260704.json; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_SUPPORT_COVERAGE_AND_BLOCKER_LEDGER_20260704.md; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_GAP_LEDGER_20260704.md; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_NATIVE_TENSOR_BLOCKER_RECONCILIATION_20260704.json; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_NATIVE_TENSOR_BLOCKER_RECONCILIATION_20260704.md; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_NATIVE_RETAINED_BLOCKERS_RECONCILIATION_20260704.json; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_NATIVE_RETAINED_BLOCKERS_RECONCILIATION_20260704.md","8","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_MANIFEST_20260704.json; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_SHA256SUMS_20260704.txt; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_PROGRAM_ALIGNMENT_MANIFEST_20260704.json; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_PROGRAM_ALIGNMENT_SHA256SUMS_20260704.txt; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_NATIVE_SOURCE_EVIDENCE_CHECKSUM_MANIFEST_20260704.md; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_NATIVE_SOURCE_EVIDENCE_CHECKSUM_MANIFEST_20260704.json; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_NATIVE_SOURCE_EVIDENCE_CHECKSUM_MANIFEST_20260704T054453Z.md; noether-cjk-native-source-evidence/outputs/NOETHER_CJK_NATIVE_SOURCE_EVIDENCE_CHECKSUM_MANIFEST_20260704T054453Z.json","10","witness_table_plus_gap_or_blocker_sidecars","packageable sidecars only; raw sources, fetched bodies, source_canon_witness_cache, zips, PDFs, images, temp/cache paths, and local-only package copies excluded from this inventory","source-canon/provenance coordination only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, or Git push"
"noether-cjk-source-evidence-draft-lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs","True","257","112","16","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_PROGRAM_ALIGNMENT_SHA256SUMS_20260704.txt","2026-07-04T20:05:30.4306301Z","AD5149C5FBD47AC085768FA60581E1CA8A8683EC291CD5A896AE3669C5905F86","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_PROGRAM_ALIGNED_20260704.json; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_PROGRAM_ALIGNED_20260704.md; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_SHA256SUMS_20260704.txt; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_MANIFEST_20260704.json; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_RUN_LOG_ADDENDUM_20260704.md; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.md","7","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_PROGRAM_ALIGNED_20260704.json=unknown; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_PROGRAM_ALIGNED_20260704.md=unknown; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_SHA256SUMS_20260704.txt=unknown; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_MANIFEST_20260704.json=files:20; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_RUN_LOG_ADDENDUM_20260704.md=unknown","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_RETAINED_BLOCKERS_SOURCE_BASELINE_ADDENDUM_SHA256SUMS_20260704.txt; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_BLOCKER_NOTE_CORRECTION_SHA256_20260704.txt; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_RETAINED_BLOCKERS_SOURCE_BASELINE_ADDENDUM_MANIFEST_20260704.json; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_BLOCKER_NOTE_CORRECTION_20260704.md; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_RETAINED_BLOCKERS_SOURCE_BASELINE_ADDENDUM_20260704.md","5","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_PROGRAM_ALIGNMENT_SHA256SUMS_20260704.txt; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_PROGRAM_ALIGNMENT_MANIFEST_20260704.json; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_SHA256SUMS_20260704.txt; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_MANIFEST_20260704.json; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_CORPUS_TRANSLATION_ROLLUP_MANIFEST_20260704.json; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_WITNESS_ROUTING_FIX_PASS_05_SHA256SUMS_20260704.txt; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_WITNESS_ROUTING_FIX_PASS_05_MANIFEST_20260704.json; noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_REPAIR_WITNESS_IMPACT_FIX_PASS_04_SHA256SUMS_20260704.txt","55","witness_table_plus_gap_or_blocker_sidecars","packageable sidecars only; raw sources, fetched bodies, source_canon_witness_cache, zips, PDFs, images, temp/cache paths, and local-only package copies excluded from this inventory","source-canon/provenance coordination only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, or Git push"
"noether-github-package-steward-b3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs","True","0","0","0","","","","","0","","","0","","0","coordination_or_package_steward_lane_not_language_witness_lane","packageable sidecars only; raw sources, fetched bodies, source_canon_witness_cache, zips, PDFs, images, temp/cache paths, and local-only package copies excluded from this inventory","source-canon/provenance coordination only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, or Git push"
"noether-github-pr-branch-steward","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs","True","18","2","15","noether-github-pr-branch-steward/outputs/NOETHER_SESSION_B_COORDINATOR_RUN_LOG_20260704.md","2026-07-04T20:05:10.5835915Z","D90B72C21DB212355FBACEFB51C9A965C4DC0145E869FAB54B39C77F533E7C0D","","0","","","0","","0","coordination_or_package_steward_lane_not_language_witness_lane","packageable sidecars only; raw sources, fetched bodies, source_canon_witness_cache, zips, PDFs, images, temp/cache paths, and local-only package copies excluded from this inventory","source-canon/provenance coordination only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, or Git push"
"noether-interlanguage-method-authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs","True","45","19","0","noether-interlanguage-method-authority/outputs/NOETHER_INTERLANGUAGE_DURABLE_RUN_LOG_20260704.md","2026-07-04T20:17:51.1873958Z","3133B20710E92198363D5FB61330D86B045569A7A42EADFE9CF1FE07DB6FE997","","0","","noether-interlanguage-method-authority/outputs/NOVEL_WORLDLANG_SOURCE_GAP_TABLE_20260704T060543Z.json; noether-interlanguage-method-authority/outputs/NOVEL_WORLDLANG_SOURCE_GAP_TABLE_20260704T060543Z.md","2","noether-interlanguage-method-authority/outputs/NOETHER_INTERLANGUAGE_WEEK_CONTINUATION_MANIFEST_20260704T053539Z.md; noether-interlanguage-method-authority/outputs/NOETHER_LANE_HANDOFF_CARD_TEMPLATE_V3_20260704.md","2","source_canon_or_provenance_sidecars_present_no_table_detected","packageable sidecars only; raw sources, fetched bodies, source_canon_witness_cache, zips, PDFs, images, temp/cache paths, and local-only package copies excluded from this inventory","source-canon/provenance coordination only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, or Git push"
"noether-non-slavic-core-lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs","True","5","3","0","noether-non-slavic-core-lane/outputs/NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","2026-07-04T20:08:33.5620800Z","45DE371E2F933ECAEFB9726ADE04B52FDE1D20E217129067544707F7B21F72AB","","0","","noether-non-slavic-core-lane/outputs/NOETHER_SESSION_C_SOURCE_BASELINE_AND_BLOCKER_RECHECK_20260704.md","1","","0","source_canon_or_provenance_sidecars_present_no_table_detected","packageable sidecars only; raw sources, fetched bodies, source_canon_witness_cache, zips, PDFs, images, temp/cache paths, and local-only package copies excluded from this inventory","source-canon/provenance coordination only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, or Git push"
"noether-olp-relation-function-support","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs","True","58","24","0","noether-olp-relation-function-support/outputs/SESSION_K_FULL_SUPPORT_LANE_PAYLOAD_MANIFEST_20260704.json","2026-07-04T20:18:18.0751465Z","82975D657CDDC479E9E6295FB8FB2225F317DA3F918AE0DA706D3EDE6DA56D12","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.json; noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.md; noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","3","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.json=unknown; noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.md=unknown; noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv=17","noether-olp-relation-function-support/outputs/SESSION_K_SUPPORT_GAP_CLOSURE_REGISTER_20260704.json; noether-olp-relation-function-support/outputs/SESSION_K_SUPPORT_GAP_CLOSURE_REGISTER_20260704.md; noether-olp-relation-function-support/outputs/SESSION_K_SUPPORT_GAP_CLOSURE_REGISTER_20260704.csv","3","noether-olp-relation-function-support/outputs/SESSION_K_FULL_SUPPORT_LANE_PAYLOAD_MANIFEST_20260704.json; noether-olp-relation-function-support/outputs/SESSION_K_FULL_SUPPORT_LANE_PAYLOAD_MANIFEST_20260704.md; noether-olp-relation-function-support/outputs/SESSION_K_ZENODO_HANDOFF_READER_FIX_PASS_20260704.json; noether-olp-relation-function-support/outputs/SESSION_K_ZENODO_HANDOFF_READER_FIX_PASS_20260704.md; noether-olp-relation-function-support/outputs/SESSION_K_ZENODO_HANDOFF_READER_FIX_PASS_20260704.csv; noether-olp-relation-function-support/outputs/SESSION_K_PACKAGE_COMPATIBLE_SIDECAR_MANIFEST_20260704.json; noether-olp-relation-function-support/outputs/SESSION_K_PACKAGE_COMPATIBLE_SIDECAR_MANIFEST_20260704.md","7","witness_table_plus_gap_or_blocker_sidecars","packageable sidecars only; raw sources, fetched bodies, source_canon_witness_cache, zips, PDFs, images, temp/cache paths, and local-only package copies excluded from this inventory","source-canon/provenance coordination only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, or Git push"
"noether-persianate-tajik-source-evidence-draft-lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs","True","26","5","15","noether-persianate-tajik-source-evidence-draft-lane/outputs/NOETHER_PERSIANATE_TAJIK_LANE_DRAFT_ARTIFACTS_MANIFEST_20260704.json","2026-07-04T20:11:01.8395967Z","07F380F3F937188694477E45CCAD65CCE6C6437EB98DCA028B293F3A42B6DDFD","noether-persianate-tajik-source-evidence-draft-lane/outputs/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.json; noether-persianate-tajik-source-evidence-draft-lane/outputs/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.md","2","noether-persianate-tajik-source-evidence-draft-lane/outputs/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.json=12; noether-persianate-tajik-source-evidence-draft-lane/outputs/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.md=unknown","","0","noether-persianate-tajik-source-evidence-draft-lane/outputs/NOETHER_PERSIANATE_TAJIK_LANE_DRAFT_ARTIFACTS_MANIFEST_20260704.json","1","witness_table_sidecars_present","packageable sidecars only; raw sources, fetched bodies, source_canon_witness_cache, zips, PDFs, images, temp/cache paths, and local-only package copies excluded from this inventory","source-canon/provenance coordination only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, or Git push"
"noether-r2-pan-turkic-hard-blockers","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs","True","299","61","238","noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_ALIGNMENT_SHA256_20260704.txt","2026-07-04T20:16:28.9252788Z","63CD14C194812932A53E3E592E845D97F0F855406A62D49359409E3143AC5B40","noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.json; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_WITNESS_TABLE_20260704.md; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_CONSOLIDATED_SOURCE_CANON_REGISTER_SHA256_20260704.txt; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_CONSOLIDATED_SOURCE_CANON_REGISTER_20260704.md; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_CONSOLIDATED_SOURCE_CANON_REGISTER_20260704.csv; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_WITNESS_TABLE_20260704.csv","7","noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.json=61; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv=61; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_WITNESS_TABLE_20260704.md=unknown; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_CONSOLIDATED_SOURCE_CANON_REGISTER_SHA256_20260704.txt=unknown; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_CONSOLIDATED_SOURCE_CANON_REGISTER_20260704.md=unknown","noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_EXACT_HARD_ROW_SEARCH_CLOSURE_20260704.csv; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_EXACT_HARD_ROW_SEARCH_CLOSURE_20260704.md; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_GAP_CLOSURE_CAPTURE_SHA256_20260704.txt; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_GAP_CLOSURE_SLICE_20260704.csv; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_GAP_CLOSURE_SLICE_20260704.md; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CLOSURE_SLICE_02_20260704.md; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_HARD_BLOCKER_RESOLUTION_DRAFT_20260704.md","7","noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_ALIGNMENT_SHA256_20260704.txt; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_ALIGNMENT_MANIFEST_20260704.json; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_ALIGNMENT_MANIFEST_20260704.csv; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_ZENODO_READER_INTEGRATION_SHA256_20260704.txt; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_ZENODO_READER_INTEGRATION_MANIFEST_20260704.md; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_COMPLETION_AUDIT_SHA256_20260704.txt; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_LOCAL_GATE_AUDIT_SHA256_20260704.txt; noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_CONSOLIDATED_SOURCE_CANON_REGISTER_SHA256_20260704.txt","15","witness_table_plus_gap_or_blocker_sidecars","packageable sidecars only; raw sources, fetched bodies, source_canon_witness_cache, zips, PDFs, images, temp/cache paths, and local-only package copies excluded from this inventory","source-canon/provenance coordination only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, or Git push"
