"package_id","language","bcp47","body_id","source_use_label","source_type","topic_tags","source_url","access_signal","license_or_access_signal","original_local_path","package_relative_path","sha256","bytes","hard_row_relevance","gap_or_blocker_note","included_in_package","non_claim_boundary"
"PAN-TURKIC-SOURCE-BODIES-20260705","Turkish","tr","TR-EXP-001-pdf","native-source-body","source-pdf","Turkish; polynomial rings; quotient rings; algebra","https://acikders.ankara.edu.tr/mod/resource/view.php?id=39292","local source-canon witness; external URL recorded","access observed; license not cleared","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\bodies\tr\TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.pdf","bodies/tr/TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.pdf","d56f52306558e79cbd4483d925426b690783cf7585124c08badce206bf69a568","154321","supports Turkish polynomial-ring context","PDF body included; no license clearance claim","True","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"PAN-TURKIC-SOURCE-BODIES-20260705","Turkish","tr","TR-EXP-001-text","OCR-witness","pdf-text-witness","Turkish; polynomial rings; text sidecar","https://acikders.ankara.edu.tr/mod/resource/view.php?id=39292","local source-canon witness; external URL recorded","access observed; license not cleared","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\ocr-witnesses\tr\TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.txt","ocr-witnesses/tr/TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.txt","2905f9138bb7dae10a5a9f366f303b2b9a6a76de96b9961a79abb6dee00bacbd","6573","supports term search around polynomial-ring context","Text sidecar separated from source PDF body","True","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"PAN-TURKIC-SOURCE-BODIES-20260705","Turkish","tr","TR-EXP-002-pdf","native-source-body","source-pdf","Turkish; finite fields; polynomial quotient rings","https://yunus.hacettepe.edu.tr/~bsarac/Coding%20Theory/Sonlu_Cisim_2.pdf","local source-canon witness; external URL recorded","access observed; license not cleared","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\bodies\tr\TR-EXP-002_hacettepe_sonlu_cisim_2.pdf","bodies/tr/TR-EXP-002_hacettepe_sonlu_cisim_2.pdf","ee56ac4eaa508fcbd1d977fb980014e86853d984d4cd3458e640b602a8c57f69","137808","supports Turkish polynomial quotient/finite field context","PDF body included; no license clearance claim","True","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"PAN-TURKIC-SOURCE-BODIES-20260705","Turkish","tr","TR-EXP-002-text","OCR-witness","pdf-text-witness","Turkish; finite fields; polynomial quotient rings; text sidecar","https://yunus.hacettepe.edu.tr/~bsarac/Coding%20Theory/Sonlu_Cisim_2.pdf","local source-canon witness; external URL recorded","access observed; license not cleared","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\ocr-witnesses\tr\TR-EXP-002_hacettepe_sonlu_cisim_2.txt","ocr-witnesses/tr/TR-EXP-002_hacettepe_sonlu_cisim_2.txt","b4672c0815881229cdc1935405672d6912b5848bce4b6a8485f0cc11771ae667","21792","supports term search around polynomial quotient context","Text sidecar separated from source PDF body","True","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"PAN-TURKIC-SOURCE-BODIES-20260705","Turkish","tr","TR-NOETH-001-pdf","native-source-body","source-pdf","Turkish; Noetherian modules; Noetherian rings; modules","https://bulentsarac.com/uploads/1766776284_Moduller.pdf","local source-canon witness; external URL recorded","access observed; license not cleared","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\bodies\tr\TR-NOETH-001_bulentsarac_moduller.pdf","bodies/tr/TR-NOETH-001_bulentsarac_moduller.pdf","753ef6adafc119b4f7325f2f14c5925f59c983fc1c80ebd15cac395fa75e3b0b","382060","supports Turkish Noetherian-ring/module scoped draft work","PDF body included; no license clearance claim","True","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"PAN-TURKIC-SOURCE-BODIES-20260705","Turkish","tr","TR-NOETH-001-text","OCR-witness","pdf-text-witness","Turkish; Noetherian modules; Noetherian rings; text sidecar","https://bulentsarac.com/uploads/1766776284_Moduller.pdf","local source-canon witness; external URL recorded","access observed; license not cleared","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\ocr-witnesses\tr\TR-NOETH-001_bulentsarac_moduller.txt","ocr-witnesses/tr/TR-NOETH-001_bulentsarac_moduller.txt","680f779c089600b15e6e8c032d06980b4e3909da0f2c2613bc5e19a96e54e020","70573","supports term search around Turkish Noetherian contexts","Text sidecar separated from source PDF body","True","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"PAN-TURKIC-SOURCE-BODIES-20260705","Turkish","tr","TR-NOETH-002-pdf","native-source-body","source-pdf","Turkish; Noetherian; ideals; thesis","https://katalog.marmara.edu.tr/veriler/yordambt/cokluortam/8D/Nagihan%20BALKANCI_YL%20Tezi.pdf","local source-canon witness; external URL recorded","access observed; license not cleared","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\bodies\tr\TR-NOETH-002_marmara_asalimsi_idealler_thesis.pdf","bodies/tr/TR-NOETH-002_marmara_asalimsi_idealler_thesis.pdf","9eb96e717bcbf891b01c2e0585cbd52fab0e573b7bf097a30e3aa530a274738a","732977","supports Turkish Noetherian/ideal context","PDF body included; no license clearance claim","True","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"PAN-TURKIC-SOURCE-BODIES-20260705","Turkish","tr","TR-NOETH-002-text","OCR-witness","pdf-text-witness","Turkish; Noetherian; ideals; text sidecar","https://katalog.marmara.edu.tr/veriler/yordambt/cokluortam/8D/Nagihan%20BALKANCI_YL%20Tezi.pdf","local source-canon witness; external URL recorded","access observed; license not cleared","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\ocr-witnesses\tr\TR-NOETH-002_marmara_asalimsi_idealler_thesis.txt","ocr-witnesses/tr/TR-NOETH-002_marmara_asalimsi_idealler_thesis.txt","905db953e4992471e080b48b5da90696983e31c9d6c2514ce535bfca3196ebac","110076","supports term search around Turkish Noetherian/ideal context","Text sidecar separated from source PDF body","True","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"PAN-TURKIC-SOURCE-BODIES-20260705","Turkish","tr","TR-TEX-001-archive","native-source-body","source-archive-zip","Turkish; TeX source archive; probability; statistics; mathematical prose","https://github.com/kadirhanpolat/probability-statistics.git","local source archive; upstream GitHub repo observed by prior source register","GitHub/source archive access recorded; license not cleared","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\bodies\tr\tex-source\kadirhanpolat_probability-statistics\ASIA-WEST-TR-01.zip","bodies/tr/tex-source/kadirhanpolat_probability-statistics/ASIA-WEST-TR-01.zip","3a9eca7982417fb908762a0f13bc9b59c389bf35d95242cd7a027a38868007de","455106","Turkish TeX/source-body baseline; adjacent math source, not Noetherian-ring closure","Source archive included; no accepted terminology or license-clearance claim","True","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"PAN-TURKIC-SOURCE-BODIES-20260705","Turkish","tr","TR-TEX-001-file-001","native-source-body","tex-source-tree-file","Turkish; TeX source tree; probability; statistics; mathematical prose","https://github.com/kadirhanpolat/probability-statistics.git","local extracted source tree from source archive","source access recorded; license not cleared","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\bodies\tr\tex-source\kadirhanpolat_probability-statistics\source\probability-statistics-master\bolumler\bblopts.cfg","bodies/tr/tex-source/kadirhanpolat_probability-statistics/source/probability-statistics-master/bolumler/bblopts.cfg","9195cd6cece39993c391a42cdb1776940811a86623f384a2bdba55dc75122e9b","139","Turkish TeX/source-body baseline; adjacent math source, not Noetherian-ring closure","Source tree file included; no accepted terminology or license-clearance claim","True","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
