"source_use_label","meaning"
"native-source-body","Literal source body captured from external/local source provenance: PDFs, source archives, TeX/source files, HTML/text bodies. Does not imply license clearance or canonical terminology."
"project-source-body","Project-owned source body if present; none claimed here unless explicitly listed."
"generated-draft","Session-generated draft terminology/translation/scaffold support; non-canonical and not native-reviewed."
"source-rescribe-workpass","Text extraction or rescribing workpass from an HTML/text source body, kept separate from native body."
"OCR-witness","PDF text/OCR/pdftotext witness for search and review, kept separate from source PDF body."
"image-witness","Image/crop witness if present; none primary in this package."
"compile-output","Build output if present; none primary in this package."
"manifest","Package manifest/checksum/support index."
"audit-ledger","Audit or blocker ledger row/file."
"method-note","README/logbook/method notes."
"pointer-only","Pointer, lead, index, or gap row that is not sufficient source body support by itself."
"rejected","Unavailable, blocked, low-authority, or rejected source attempt; no body included."
