"language","bcp47","body_id","source_use_label","source_type","topic_tags","source_url","access_signal","hard_row_relevance","gap_or_blocker_note","non_claim_boundary"
"Azerbaijani","az","PRIOR-azerbaijani_kitabyurdu_cebr_muhazireler-body","pointer-only","html-or-text-capture","Azerbaijani; Quotient group; Ring; Field; Group; algebra/math source retry","https://www.kitabyurdu.org/muhazire/m-riyaziyyat/876-cebr-muhazireler.html","lecture_index_context_no_binary_download; http_status=200","pointer-only context; not hard-row closure","Prior retry capture; authority=lecture_index_context_no_binary_download; no license clearance; no native-review claim.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Azerbaijani","az","PRIOR-azerbaijani_kitabyurdu_cebr_muhazireler-text","pointer-only","text-extraction-workpass","Azerbaijani; Quotient group; Ring; Field; Group; algebra/math source retry","https://www.kitabyurdu.org/muhazire/m-riyaziyyat/876-cebr-muhazireler.html","lecture_index_context_no_binary_download; http_status=200","pointer-only context; not hard-row closure","Text workpass for PRIOR-azerbaijani_kitabyurdu_cebr_muhazireler; separated from source body.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Turkmen","tk","PRIOR-turkmen_scribd_komekow_algebra_dynamic_html-body","pointer-only","html-or-text-capture","Turkmen; algebra/math source retry","https://www.scribd.com/document/868629110/Komekow-B-Algebra-2010-TDU","dynamic_html_preview_context_no_pdf_download; http_status=200","pointer-only context; not hard-row closure","Prior retry capture; authority=dynamic_html_preview_context_no_pdf_download; no license clearance; no native-review claim.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Turkmen","tk","PRIOR-turkmen_scribd_komekow_algebra_dynamic_html-text","pointer-only","text-extraction-workpass","Turkmen; algebra/math source retry","https://www.scribd.com/document/868629110/Komekow-B-Algebra-2010-TDU","dynamic_html_preview_context_no_pdf_download; http_status=200","pointer-only context; not hard-row closure","Text workpass for PRIOR-turkmen_scribd_komekow_algebra_dynamic_html; separated from source body.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Tatar","tt","PRIOR-tatar_opentran_algebra_weak_html-blocked","rejected","unavailable-prior-retry-capture","Tatar; algebra/math source retry","https://opentran.net/tt/%D0%B3%D0%BC%D0%BE%D0%BD%D0%B3-%D1%82%D0%B0%D1%82%D0%B0%D1%80/algebra.html","weak_translation_page_false_positive_risk; status=403","source acquisition gap","Prior retry capture unavailable or rejected: http_403","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Azerbaijani","az","AZ-GAP-TEX-001","pointer-only","tex-source-archive-gap","Azerbaijani; TeX/LaTeX/source archive acquisition","","no local TeX/source archive located in touched Pan-Turkic evidence roots for this package","source-body acquisition gap","No .tex/.ltx/.sty/.cls/.bib/.bbl/.dtx/.ins source archive package was located for Azerbaijani in the touched local evidence roots during this packaging pass.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Kazakh","kk","KK-GAP-TEX-001","pointer-only","tex-source-archive-gap","Kazakh; TeX/LaTeX/source archive acquisition","","no local TeX/source archive located in touched Pan-Turkic evidence roots for this package","source-body acquisition gap","No .tex/.ltx/.sty/.cls/.bib/.bbl/.dtx/.ins source archive package was located for Kazakh in the touched local evidence roots during this packaging pass.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Kyrgyz","ky","KY-GAP-TEX-001","pointer-only","tex-source-archive-gap","Kyrgyz; TeX/LaTeX/source archive acquisition","","no local TeX/source archive located in touched Pan-Turkic evidence roots for this package","source-body acquisition gap","No .tex/.ltx/.sty/.cls/.bib/.bbl/.dtx/.ins source archive package was located for Kyrgyz in the touched local evidence roots during this packaging pass.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Uzbek","uz","UZ-GAP-TEX-001","pointer-only","tex-source-archive-gap","Uzbek; TeX/LaTeX/source archive acquisition","","no local TeX/source archive located in touched Pan-Turkic evidence roots for this package","source-body acquisition gap","No .tex/.ltx/.sty/.cls/.bib/.bbl/.dtx/.ins source archive package was located for Uzbek in the touched local evidence roots during this packaging pass.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Turkmen","tk","TK-GAP-TEX-001","pointer-only","tex-source-archive-gap","Turkmen; TeX/LaTeX/source archive acquisition","","no local TeX/source archive located in touched Pan-Turkic evidence roots for this package","source-body acquisition gap","No .tex/.ltx/.sty/.cls/.bib/.bbl/.dtx/.ins source archive package was located for Turkmen in the touched local evidence roots during this packaging pass.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Uyghur","ug","UG-GAP-TEX-001","pointer-only","tex-source-archive-gap","Uyghur; TeX/LaTeX/source archive acquisition","","no local TeX/source archive located in touched Pan-Turkic evidence roots for this package","source-body acquisition gap","No .tex/.ltx/.sty/.cls/.bib/.bbl/.dtx/.ins source archive package was located for Uyghur in the touched local evidence roots during this packaging pass.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Tatar","tt","TT-GAP-TEX-001","pointer-only","tex-source-archive-gap","Tatar; TeX/LaTeX/source archive acquisition","","no local TeX/source archive located in touched Pan-Turkic evidence roots for this package","source-body acquisition gap","No .tex/.ltx/.sty/.cls/.bib/.bbl/.dtx/.ins source archive package was located for Tatar in the touched local evidence roots during this packaging pass.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Bashkir","ba","BA-GAP-TEX-001","pointer-only","tex-source-archive-gap","Bashkir; TeX/LaTeX/source archive acquisition","","no local TeX/source archive located in touched Pan-Turkic evidence roots for this package","source-body acquisition gap","No .tex/.ltx/.sty/.cls/.bib/.bbl/.dtx/.ins source archive package was located for Bashkir in the touched local evidence roots during this packaging pass.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Tatar","tt","TT-GAP-R2-001","pointer-only","hard-row-source-gap","Tatar; Noetherian ring; polynomial ring; zero-row hard blocker","","local PDFs/current captures provide algebra/polynomial lexical context but no exact Noetherian-ring or polynomial-ring source row","hard blocker remains","R2 Tatar hard rows remain source-acquisition/gap for Noetherian-ring and polynomial-ring until exact local source row or reviewer return is found.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Kyrgyz","ky","KY-GAP-R2-001","pointer-only","hard-row-source-gap","Kyrgyz; Noetherian ring; polynomial ring; zero-row hard blocker","","local PDFs/current captures provide algebra/polynomial lexical context but no exact Noetherian-ring or polynomial-ring source row","hard blocker remains","R2 Kyrgyz hard rows remain source-acquisition/gap for Noetherian-ring and polynomial-ring until exact local source row or reviewer return is found.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Turkmen","tk","TK-GAP-R2-001","pointer-only","hard-row-source-gap","Turkmen; Noetherian ring; polynomial ring; zero-row hard blocker","","current local source gate provides algebra/polynomial context but no exact hard-row proof","hard blocker remains","R2 Turkmen hard rows remain source-acquisition/gap for Noetherian-ring and polynomial-ring until exact local source row or reviewer return is found.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Uyghur","ug","UG-GAP-R2-001","pointer-only","authority-gated-candidate-gap","Uyghur; Noetherian ring; polynomial ring; authority gate","https://wiki.uygur.com/noeter_halqisi/ ; https://wiki.uygur.com/kop_ezaliq_halqa/","candidate current web captures included; authority/community/source gate unresolved","candidate support only; hard gate remains","Uyghur Noetherian/polynomial-ring renderings are candidate-only source captures, not closure or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Bashkir","ba","BA-GAP-R2-001","pointer-only","hard-row-source-gap","Bashkir; Noetherian ring; polynomial ring; algebra baseline","","Bashkir algebra/dictionary bodies included; no exact Noetherian-ring or polynomial-ring source row found locally","hard source gap","Bashkir added to package by reset; only general algebra/math dictionary bodies are included, no R2 hard-row closure.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Azerbaijani","az","AZ-GAP-R2-001","pointer-only","hard-row-source-gap","Azerbaijani; Noetherian ring; polynomial ring; algebra baseline","","Azerbaijani algebra/module/ring bodies included; no exact Noetherian-ring/polynomial-ring source row packaged","source gap for R2 hard rows","Azerbaijani source bodies support adjacent algebra terminology only; R2 hard-row closure not claimed.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Uzbek","uz","UZ-GAP-R2-001","pointer-only","hard-row-source-gap","Uzbek; Noetherian ring; polynomial ring; algebra baseline","","Uzbek algebra/linear algebra bodies included; no exact Noetherian-ring/polynomial-ring source row packaged","source gap for R2 hard rows","Uzbek source bodies support adjacent algebra terminology only; R2 hard-row closure not claimed.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
"Kazakh","kk","KK-GAP-R2-001","pointer-only","hard-row-source-gap","Kazakh; Noetherian ring; polynomial ring; algebra/invariant baseline","","Kazakh algebra/invariant bodies included; no exact Noetherian-ring/polynomial-ring source row packaged","source gap for R2 hard rows","Kazakh source bodies support adjacent algebra/invariant terminology only; R2 hard-row closure not claimed.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, or translation-completion claim"
