layer	authority_pdf_page	normalized_text_sha256
source_language	1	3B553ECE949FBDE300B4B4987771462F5500A482C8C7E0E5BAFC57AF5251E2E3
source_language	2	3AFFFB0CE8A45910E8BA4AA64C36CE09CF95B7ED273D2F9072E7BEB97CAAC98B
source_language	3	134C8109DD724E55E188559727DCB741B70CA2EAD4F16AC06C8D71CDA66F3676
source_language	4	45DBC03813C10C7150F0BA87A78980FC8F9BCF419A4D734DC1FC930FB53C3B19
source_language	5	C1E6153C714E539761907F0D306BD32E487647B1053F1983460FFE4FF59D19A8
source_language	6	4F26B3C23E884AF6ECFE8AC108D199836D7CC703101D9DAAC11816F0130E22E8
source_language	7	1D361BF70CAD69CC5F20A8F05330AB300C05F19BCDEF49DE497DB8AE0B52A132
source_language	8	164E9D9C5DD82E5D4849E326C85ABA1F22153C3F32CEB77388F65125BEDEA844
source_language	9	F66E34D68D336EF7AFB71DFE60A5FCFFF9126C3F6621BAFBCE6BB16783381102
source_language	10	79E2D74EA36ACE385270D8350F72A6D56F0DED58CABE689EE12B1CEC049FE44F
source_language	11	5D67D4B0961EC903C1112A92CAEC6E521C91362E6C88848580C0CDC53A6CDA4D
source_language	12	9F600E137F3ABBADDFAE1D6E6BC658B0454BF01B603607F0ED2EB4E423E77B77
source_language	13	5120BDE10C6E9F660B936A72E0156CC1C1D96E66A0295357B47BC2AF9DA14256
source_language	14	4A91A60A9A0B384B73793999510F7D4476E5BD11C4D510F33595B6E5FB6F98DE
source_language	15	722DDEF263461182982697BECCE39956D758ABE1C0958EB8153903D8D2EAC5A7
source_language	16	D72B645709CDE4A15E361CDF9A7AE366F32D5DD6D800A9E94C9F17B6223A9272
source_language	17	861E829398801FE3B8D419B5DD546377C1F33C314CEC84890AF6DF664C6A4738
source_language	18	62BB235AF3D7F24AB72C470B047DC5A85F97ECB0AD7E44807D8FAD19B304F0D4
source_language	19	76023C9FA11D646B0632ECD9C9EB95ED624853155EEB8FBEB697E504A5A58D54
source_language	20	601E22BA5889E9AC0350164B6B5C1C0801C3939499AFE8660C7CB34C83F9025A
source_language	21	D1794EFE41D62254D41514CEA1281C963CAF28D6F7D103DE2292126519BF5E6F
source_language	22	426B3B8CC4D550AF8A94792BA78A368D7B6F44BD583FB9CFC02B9C5ED7A5E66C
source_language	23	1ABFD9D3C1959B56085CBF5747FDA66A9F36C3EAB7D62F2319A8A7478613BA51
source_language	24	91C7DB1F7C356321BFA8D20BA9C2733FE3059443E9683BBF5AEDB69E68763A98
source_language	25	AB554BE7D34155EE968DE112F8726282AA4E3E3058EC463C48250673FCF60922
source_language	26	F8760425944BD5945606EDAA5004AA28BFAAFD7C1EADC603F0F96DC432CEDDA5
source_language	27	AFF92C3BD12F36AD96DE7714F1A7F29D54DF45A29DA2A588B8F4F6B88ED0DE8E
source_language	28	08A5E8E7684B40C786325361C76E3E58551085B84B614746DA2CF3A33B17BDB6
source_language	29	7061D4C560F97D3C2B44632EA28C55F5C4878DA61ADD9C166EA3464A8209347E
source_language	30	445023B1A7EA89405DCE972041AEA64F2E82A2AD86A528A9797E0EB9BAE338E2
source_language	31	44DA0CE650D0D0A70098A2658E7A9303D9C69D460BF613ABE92B3F498A9BA2F4
source_language	32	945E479C5FD846178DB258FDF309FADFE0A3DA05C3F8756D1DA5F310B8565445
source_language	33	24C0937EA5942546888366EBCEDCA528C98E98C2BF5CD3EFE281A5827A37B95D
source_language	34	EF6C1705E15A9052439F04E70508612D36B4E70D38666C1D3EED268F6887EAAE
source_language	35	940B161CEA12C380D67DDA8D04C85AFBB7D69417D2B4DB06A98D3D76C709AE9B
source_language	36	2A9FAB0D85DC323697A96C2B00D51F10821E511C2FE9824BE8C1A1AC77643B34
source_language	37	4F3AE555310F0884BC5070D8A1E6D4A94846359C233224CDBF78C577785EDB32
source_language	38	52B6C19261084320A55344923F9E4315B37E71EE7F38AA3B3A7149FFA8748B94
source_language	39	D89E6EE5B65FCECBDDA67A25584A1405ABEEF1DC8D5905F60C0B7379DF27E26A
source_language	40	88708464FD44DDB9E496DF818D636637A9C83FDD0D2A00DA2C611F478A1EB14E
source_language	41	E048CAB34E4886EA887886B40D0D5CC6A66809CCFF8EF73D32512DACD7E42E6B
source_language	42	8BC382793B3EC483EC9201A19C5472610A852F2C8ED90A5630AB1B1F15694D17
source_language	43	70E2A23A322C241F45373289B668EFAA2FD49F1CC20C4ABB1B1AA314AA4FB4F7
source_language	44	891573E8FAD8E2687AEC1566BFAC6022321230A07FDF427B5DDD76436B9FE86C
source_language	45	C330426AC76B6C3BFC6996C3D590776D34D837400F1748D5FF072491A71FD67A
source_language	46	AFC7889460802D1E5923A0262339FDBE9C3B5AE2245852A7A9CC7BBED6B0C122
source_language	47	B56EEA41D94E35DDEBE74CE690B342E4A5183E4B972C457445036BE952F046DB
source_language	48	37DFFDEF1592A4B2197D22DCB98A9AD3406D670D58EFC712A3F8CEE5118D44D3
source_language	49	2D801F5F90BDB76F1E090ED0EB8D6C8B192197CEF3F84EAA93A50D2BA537469B
source_language	50	779EC8A2E5BEBDA23CA49BA9EC47332A922445AF50967F52966875C718A4385E
source_language	51	61FF20B4443A1446FAC5E0844FA2E53B2DA1EFFAB889FA6BBD0F28E5E8B6E2D0
source_language	52	8445F7F524CC9D1556729611E574B15F58FAA5F30F590A8B1F2CDB415D12A333
source_language	53	B07CBFEA245E9245F761DAF25C6CF7976D9205808D30B1D50997E02C74C685E4
source_language	54	67EAE837634085BA5B2E3562F396B6CA8B82E28B98122EA8B8507C7167F52C1F
source_language	55	4AE3ACBF09BAB5A0E084495BD5625A734A7863C8D476FA9324CA8A1F1845A328
source_language	56	962DDD6487FCD738805BED1E4B0C0676604770AECE2B3E2FC3D1E730106B7462
source_language	57	6E62BD1D39F1EFBC1995BF068FB8E98C5A51C2F3C15025463839E851FBF5EB6A
source_language	58	395EE5314DA447E9EF49D6F784284F69CD961CD1D9E131EFA656720E2608812D
source_language	59	1912ADF6EC471D132B696F581727FE3E0FFFD92DA26E70E32243467646223AD6
source_language	60	A0D3179060A3DDDF3351EA534294BCD70F5824460FDA8C99B8CA94B9F44E251A
source_language	61	E7943E76D6323D3ED964C814BE1591FF4045D4B282D49CFFE5BBA2A56BD4C891
source_language	62	4F5D340AAA589F99331FC0F077F5A007E7790C636F95ADC37AA9468D207B8E18
source_language	63	B28857C99CF9909436E2FCD0328E2DB140B783691A2351155512B6236555F90D
source_language	64	97FE42B18947FF786BA42AAFB100C644CE46FE3D827E41DB2C88F0F3BD8FC06F
source_language	65	4632E494B49516EE7CE2ED3C76FE0EA16D20366AF3329F729EF48AF90794D9B5
source_language	66	3F7E5608D0D13642D0E8EDC8EB7B44AFA60CC634EC7F85FE6512F6F3A882787A
source_language	67	55DBEE1648DEE77992F1766D76BA891D58F0AE179BA3F3C5E90F6226C7B1444E
source_language	68	ED459EF3974EB4488707CCC639AEC6955D46BC0F5225BBBF6737B2AF2FCDDEEB
source_language	69	196D22CB43596104517567535958B4350EE4C013A5E89C035FAAA3BE0D47C172
source_language	70	B678932A44663C22E6FF1A2E13679E9ACE4DA4032BBA839BFED2FE0744452570
source_language	71	F8D103D72227AC63B6CBB1C57DF8E63819F950709A724A0E8AA5083F1C3FA4E4
source_language	72	B824077FC007214AACC37B8EB4DA71512995267CFA4AC6763C2112905A563937
source_language	73	5DC12944300069ECB2FCEBFA50605D6890DC0A61D79037D6E89CF7E569D000C0
source_language	74	18101D4FA378726554B7D6B374FD0588D6EF4E2160BBAF79610FDB400617F77C
source_language	75	F9547EA51BAD3DD15885C5BBCEEF78D9E7F0AF8BD364A0AFA46CE726F6BC6B91
source_language	76	077BE631FE1B0C1827CDEF47A85909B5D53FFEFBF278BECD5989AD072BADFA5E
source_language	77	A115085C25828770C08D0DFA1AFD5EDEF6AE05713228842A96241AD85F0681A3
source_language	78	E4C14DFABD916623A36661BCA8125A34F4F20AE4B8EEE3DB572147D04744FCF2
source_language	79	C0F2E120544067DF5AC03355FFEE2791C57C7EB7741D153112C5835E53499DFA
source_language	80	CC677E44287167E2CFBAB66F5874CA78BAC1A6114D3CCAAF11831C4B9F84EE2E
source_language	81	F1A41E3A90122CB8E27D3466C89D322409D5594537E2FD5C3B773010C44070CA
source_language	82	BD2D982A0E8B14F3B50AD0BA642ED1C0B84D875485698D0E1B49232319A9DDC2
source_language	83	61AD02AEFD5F4E106DB9311079EFDF4CA9CD1B1CE0243B3BB70E4AE580E20649
source_language	84	55173843906B90B644CE73D2B2A52CDCEAD2747D9EA95C794D68B16DDD652B90
source_language	85	13F60055A080461FC18F49920D3B27884A4FA164B1A2DE47902359F280FDBA88
source_language	86	5F1CBA843FAEE27420BBDAE0E8AB55183820F45F44CEBF2BDAAC51F0B67B1842
source_language	87	523C870F6F0148701D649B68077A0E6520EBBB0F9AD7E084B38F716E7551F5D0
source_language	88	D59B1B5F9C24BBE3FB189E69EF0D7850930AEC65B5F609B6584C340C00B22686
source_language	89	85D1220483ABBD8F12FD9A7E38ADCBE23CD58A6D27AB459D14087034472661EB
source_language	90	1DDD80B448FB2F3CB727FE5A5BFD9C5DD749E62D21F0BC89F64D2269E30CF045
source_language	91	866D887D273048458DA8F7939C3AF77C4C9CACAF258EF9FE286200318166054B
source_language	92	7BDE0B850AB00B4F77FDAE03CA41AC0A6C275DA38AEB875414FC14682AD20DC0
source_language	93	61971CEFEC33CF289D8327C274F07A2279957400851CD031D95F0C27CC6C445D
source_language	94	F510453CA55EB07FB1EA59B9101C8ECCBA7EB6AE9318925C22592A6B5BF11324
source_language	95	936D6B191F3D49C1E20C6AAD33B5C97B79C8056471E2582BD3A4C6070FD86B6B
source_language	96	8809967AA8FD824DABA551D4D01D96C81DFCBC83FC2C5E903E145ED675278A6D
source_language	97	1563EEDD60E8248CC6D4AE95C8E6052B2066E638A7B0850186DCEF1D3386E934
source_language	98	F964922708782B9E9B666748C6B9A9C086CE3233E91A59D620C8C4217FF646B8
source_language	99	45C44B62BDBCE273A2340BF612E0EE56FFF3086A830F13F8CA61E8DFFF36CECF
