decision_id,evidence_class,authority_role,unit_id,source_term_or_delta,source_locator,target_locator,chosen_english_or_action,normalization_class,adverse_delta,rejected_alternative,motivation,status,confidence,record_revision,continuation_cursor,revisit_condition
SGA2-VIII-Q15A-TERM-001,terminology,corrected_french_tex,SGA2-VIII-Q15A,complexe simple associe,French line2611,opening sentence,simple complex associated with,SGA_wide_register,none,total complex associated with,retain source register and relation,self_choice_applied_independent_review_pending,high,1,French source line2618 after blank line2617,SGA-wide register revision
SGA2-VIII-Q15A-TERM-002,terminology,corrected_french_tex,SGA2-VIII-Q15A,aboutissement,French lines2611 and2616,first and final abutment statements,abutment,SGA_wide_register,none,limit,standard spectral-sequence register,self_choice_applied_independent_review_pending,high,1,French source line2618 after blank line2617,SGA-wide register revision
SGA2-VIII-Q15A-TERM-003,terminology,corrected_french_tex,SGA2-VIII-Q15A,homologie de underlined-F P-bullet,French line2611,first paragraph,homology of underlined-F P-bullet,source_register_preservation,candidate flattens underlined functor,cohomology or plain F,preserve authority term and functor typography,self_choice_applied_independent_review_pending,high,1,French source line2618 after blank line2617,independent homological review
SGA2-VIII-Q15A-TERM-004,correction_branch,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q15A,sisi libre projectif de type fini,French lines2611 and2616,projective clauses,projective of finite type,source_correction_preservation,current authority deletes free,free of finite type,follow corrected branch confirmed in direct PDF,self_choice_applied_independent_review_pending,high,1,French source line2618 after blank line2617,authority revision
SGA2-VIII-Q15A-TERM-005,notation,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q15A,Hom-bullet,French lines2611-2612,Hom displays,operatorname Hom with bullet exponent,source_notation_preservation,none,ordinary Hom without complex exponent,preserve complex notation,self_choice_applied_independent_review_pending,high,1,French source line2618 after blank line2617,notation policy revision
SGA2-VIII-Q15A-TERM-006,notation,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q15A,CA-bullet,French lines2611-2612,map a and map b displays,CA-bullet,source_notation_preservation,candidate changes CA to C-sub-A,C-sub-A-bullet,preserve printed source notation,self_choice_applied_independent_review_pending,high,1,French source line2618 after blank line2617,independent notation review
SGA2-VIII-Q15A-TERM-007,terminology,corrected_french_tex,SGA2-VIII-Q15A,homomorphisme,French lines2611-2614,map transitions,homomorphism,source_register_preservation,none,map,retain source register while formulas expose maps,self_choice_applied_independent_review_pending,high,1,French source line2618 after blank line2617,SGA-wide register revision
SGA2-VIII-Q15A-TERM-008,terminology,corrected_french_tex,SGA2-VIII-Q15A,resolution injective,French line2616,claim after equation1.5,injective resolution,SGA_wide_register,none,injective replacement,standard homological-algebra term,self_choice_applied_independent_review_pending,high,1,French source line2618 after blank line2617,SGA-wide register revision
SGA2-VIII-Q15A-TERM-009,terminology,corrected_french_tex,SGA2-VIII-Q15A,homotopiquement equivalent,French line2616,Proposition1.4 consequence,homotopy equivalent,SGA_wide_register,none,homotopically equivalent,standard concise English register,self_choice_applied_independent_review_pending,high,1,French source line2618 after blank line2617,SGA-wide register revision
SGA2-VIII-Q15A-TERM-010,cross_reference,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q15A,introduite plus haut Ref1.1,French line2616,I-bullet clause,introduced above in equation1.1,source_structure_preservation,none,omit equation number,preserve explicit dependency,self_choice_applied_independent_review_pending,high,1,French source line2618 after blank line2617,cumulative integration review
SGA2-VIII-Q15A-TERM-011,notation,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q15A,underlined cF,French lines2611 and2616,all functor occurrences,underlined F,source_notation_preservation,candidate flattens functor,plain F,preserve source functor distinction,self_choice_applied_independent_review_pending,high,1,French source line2618 after blank line2617,independent notation review
SGA2-VIII-Q15A-TERM-012,notation,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q15A,H-star and R-star,French line2616,final abutment,H-star and R-star,source_notation_preservation,candidate uses bullet exponents,H-bullet and R-bullet,preserve exact source grading marks,self_choice_applied_independent_review_pending,high,1,French source line2618 after blank line2617,independent formula review
SGA2-VIII-Q15A-TERM-013,punctuation_normalization,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q15A,Ref1.4 followed by period-comma,French line2616 and physical78,Proposition1.4 clause,normalize to Proposition1.4 comma and record source form,recorded_typographic_normalization,"source prints Proposition 1.4.,",copy period-comma or silently normalize,grammatical English punctuation with durable adverse-choice evidence,self_choice_applied_independent_review_pending,high,1,French source line2618 after blank line2617,editorial punctuation policy revision
SGA2-VIII-Q15A-TERM-014,comparison_policy,comparison_only_not_authority,SGA2-VIII-Q15A,jcreinhold ordinary prose agreement,jcreinhold lines197-219,comparison audit,accept wording only after exact French and PDF match,comparison_only_policy,one LLM lineage is not independent corroboration,promote candidate as authority,translation remains controlled by corrected French and direct PDF,self_comparison_choice_recorded_independent_review_pending,high,1,French source line2618 after blank line2617,upstream candidate revision
SGA2-VIII-Q15A-TERM-015,boundary_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q15A,blank2617 and initial term at2618,French lines2616-2618,target close,exclude line2618 and continue there,bounded_unit_control,none,include initial-term computation because same physical page,maintain nonoverlapping source-aligned units,self_boundary_applied_independent_review_pending,high,1,French source line2618 after blank line2617,independent boundary review
SGA2-VIII-Q15A-TERM-016,source_functor_typography_and_numbering,corrected_french_tex_style_plus_direct_compiled_pdf,SGA2-VIII-Q15A-NOTATION,cF macro and equation1.5 numbering,sga2-smf.sty line323 French lines2611-2616 and direct PDF physical77-78,uF macro and equation1.5 environment,use upright underlined roman F and automatic counter initialized to4,source_notation_and_pdf_navigation_preservation,self draft used italic underlined F and manual tag1.5,retain italic functor typography or manual tag,source style explicitly defines roman F and automatic counter gives durable unique equation.5 destination,closed_independent_source_notation_and_anchor_repair,high,1,French source line2618 after blank line2617,authority style or target hyperlink toolchain change
SGA2-VIII-Q15A-TERM-017,independent_seal_confirmation,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q15A,all source terminology notation punctuation and bounded scope,French lines2611-2618 direct PDF physical77-78 and final target,complete bounded unit through final abutment,preserve simple complex abutment projective branch maps resolution homotopy relation H-star R-star upright underlined F and cursor2618,source_formula_notation_boundary_preservation,none,adopt comparison-only C-sub-A flat F bullet exponents or line2618 continuation,independent review confirms source choices with recorded punctuation normalization and no remaining adverse notation,sealed_independently_source_reviewed_bounded_unit,high,2,French source line2618 after blank line2617,authority replacement or cumulative integration conflict
