source_term,spanish,japanese,notes
Differential- und Differenzenausdrücke,expresiones diferenciales y de diferencias,微分式および差分式,Retroactive title standardization for Paper 17 cumulative output.
Zerlegung einer Gruppe,descomposición de un grupo,群の分解,Paper 17 §10.
vollständig reduzibel,completamente reducible,完全可約,Continue Paper 17 convention.
irreduzibel / vollständig irreduzibel,irreducible / completamente irreducible,既約 / 完全既約,Theorem IX and §10 proof.
Restgruppe / endliche Restgruppe,grupo residual / grupo residual finito,剰余群 / 有限剰余群,Paper 17 §11 definition.
Differentialgleichungssystem,sistema de ecuaciones diferenciales,微分方程式系,Paper 17 §11.
Integrale,integrales,積分,In ODE-system sense; not integral elements.
gewöhnliche Differentialgleichung,ecuación diferencial ordinaria,常微分方程式,Paper 17 §12 examples.
gemeinsames Vielfaches,múltiplo común,公倍元,Paper 17 §12 module divisibility.
Resultantenform,forma resultante,終結式形式,Paper 18 Hentzelt note.
Grundmodul,módulo básico,基礎加群,Paper 18 elimination-theory module norm.
Primärideal,ideal primario,準素イデアル,Use Japanese 準素 rather than 一次.
primärer Faktor,factor primario,準素因子,Paper 18 abstract ideal-theory interpretation.
Komplement,complemento,補元,Paper 18 decomposition notation [Q,L].
