source_term,spanish,japanese,notes
isomorphe Abbildung,aplicación isomorfa,同型写像,Paper 10 title/core term; keep mapping language rather than category-theoretic modernism.
Funktionalgleichungen,ecuaciones funcionales,関数方程式,Paper 10 title/core term.
eindeutig / ein-eindeutig,unívoco / biunívoco,一価 / 一対一,Distinguish single-valued from one-to-one.
umkehrbar eindeutig,biyectivo / biunívoco,一対一対応,Use when inverse uniqueness is explicit.
rationale Basis,base racional,有理基底,Noether/Steinitz basis term.
algebraische Basis,base algebraica,代数的基底,Noether/Steinitz basis term.
Abschnittskörper,cuerpo de segmento,切片体,Keep literal Noether construction term.
Abbildungskörper,cuerpo de imagen,像の体,Image field under the isomorphic mapping.
Primkörper,cuerpo primo,素体,"Cumulative term from earlier papers, reused in Paper 10."
extrem unstetig,extremadamente discontinuo,極端に不連続,Hamel/Noether discontinuity terminology.
Rang,rango,階数,Rank of the complex solution as real-linear relation rank.
lineare Mannigfaltigkeit,variedad lineal,線形多様体,Do not modernize to manifold in the differential-geometric sense.
Wohlordnung,buen orden / orden bien fundado,整列,Use buen orden in running Spanish prose.
