source_id,term_probe,pattern,count,first_line,first_context
AZ-ARTI-2025-ALGEBRA-ICT,NOETHER_LATIN,Noether|Noeter|Nyoter|N[oö]ter,0,,
AZ-ARTI-2025-ALGEBRA-ICT,NOETHER_CYRILLIC,Н[ёе]тер|Н[её]терл,0,,
AZ-ARTI-2025-ALGEBRA-ICT,RING_LATIN_TURKIC,\bhalqa\w*|\bhalqasi\b|\bhalqa\b|\bhalqalar\w*,2,59,"ndən istifadə edir? Modelləşdirməni zəruri - Cəbri strukturlar: qrup, halqa, mey-"
AZ-ARTI-2025-ALGEBRA-ICT,RING_AZ,\bhalqa\b|\bhalqanın\b|\bhalqalar\b,1,59,"ndən istifadə edir? Modelləşdirməni zəruri - Cəbri strukturlar: qrup, halqa, mey-"
AZ-ARTI-2025-ALGEBRA-ICT,RING_KZ_CYR,сақина\w*|сакина\w*|кольц\w*|колец\w*|кольцо\w*,0,,
AZ-ARTI-2025-ALGEBRA-ICT,IDEAL,\bideal\w*|идеал\w*,1,66,aşağıdakı elementləri mövcuddur: vizuallaşdırılması üçün ideal vasitələrdir;
AZ-ARTI-2025-ALGEBRA-ICT,POLYNOMIAL,polinom\w*|полином\w*|polynomial\w*|көпмүше\w*|көпмүш\w*,0,,
AZ-ARTI-2025-ALGEBRA-ICT,MODULE,\bmodul\w*|модул\w*|module\w*,0,,
AZ-ARTI-2025-ALGEBRA-ICT,OPERATOR,operator\w*|оператор\w*,0,,
KZ-STK-159,NOETHER_LATIN,Noether|Noeter|Nyoter|N[oö]ter,2,14016,"13 Noether, E. Abstrakter Aufbau der Idealtheorie in algebraischen Zahl- und"
KZ-STK-159,NOETHER_CYRILLIC,Н[ёе]тер|Н[её]терл,1,13605,широкое применение в начале 20-го века благодаря теоремам Эмили Нётер [13]:
KZ-STK-159,RING_LATIN_TURKIC,\bhalqa\w*|\bhalqasi\b|\bhalqa\b|\bhalqalar\w*,0,,
KZ-STK-159,RING_AZ,\bhalqa\b|\bhalqanın\b|\bhalqalar\b,0,,
KZ-STK-159,RING_KZ_CYR,сақина\w*|сакина\w*|кольц\w*|колец\w*|кольцо\w*,12,3689,5 и 7 – уплотнительные кольца; 6 – рабочее колесо;
