difficulty_id,recorded_at,time_precision,work_unit,category,stable_symptom,choice_or_control,evidence_classes,resolution_state,residual_risk,related_decision_ids,related_structural_ids,supersession_state,review_state,next_cursor,previous_record_sha256,record_sha256
NOE-P07-KO-HARD-001,2026-08-04T03:20:00.317Z,system clock recorded once for this initialization batch; millisecond field retained,P07 U01--U08 authority cursor,authority_cursor_control,A path-only citation can silently drift when the German canon pointer advances.,"Freeze this producer tranche to pointer NOETH-DE-AUTH-v003-20260804 plus exact authority, interval, and unit hashes.",source_fact|computation,active_control,A later canonical correction may require a new synchronized tranche rather than silent replacement.,,NOE-P07-KO-STR-001,active initial record,unchecked,Independent Korean checker using the exact v003 cursor,,816493ECDC955A44D9CAFB1BD85857F4D9CD8525627CB2C5606AF65E0D22D719
NOE-P07-KO-HARD-002,2026-08-04T03:20:00.317Z,system clock recorded once for this initialization batch; millisecond field retained,P07 interval boundary,scope_boundary,Layout controls immediately after substantive text can be mistaken for translatable content or used to widen the unit.,Cover local lines 1--113 only; exclude blank whole line 5955 and clearpage whole line 5956.,source_fact|computation|editorial_inference,scope_resolved,A future assembler could misread the omission as accidental unless custody accompanies the targets.,,NOE-P07-KO-STR-051,active initial record,unchecked,Checker confirms substantive completeness only within local lines 1--113,816493ECDC955A44D9CAFB1BD85857F4D9CD8525627CB2C5606AF65E0D22D719,C4C319261C57E35D66223DD2B38C3BA81D0A86CABFDD2896B62C4695EF4908C7
NOE-P07-KO-HARD-003,2026-08-04T03:20:00.317Z,system clock recorded once for this initialization batch; millisecond field retained,P07 U02--U07 terminology,historical_semantic_distinction,The historical phrase ganze rationale can be mistranslated as arbitrary rational rather than polynomial.,Render ganze rationale as 다항 while reserving 유리 for later rationale invariants and representations.,source_fact|editorial_inference|model_preference,held,A checker may prefer 정유리 to preserve historical register.,,NOE-P07-KO-STR-010|NOE-P07-KO-STR-037|NOE-P07-KO-STR-045,active initial record,unchecked,Korean checker adjudicates the polynomial/rational contrast,C4C319261C57E35D66223DD2B38C3BA81D0A86CABFDD2896B62C4695EF4908C7,CC69949377A255519E27EC15040A5299D2111C0C4F79D4A1154704236494C209
NOE-P07-KO-HARD-004,2026-08-04T03:20:00.317Z,system clock recorded once for this initialization batch; millisecond field retained,"P07 U01, U03--U06, U08 terminology",terminology_consistency,"volles System names a finite polynomial generating family, while the Korean draft alternates 완전계 and 완전 불변식계.",Retain the producer variation visibly and require the checker to unify or justify it.,source_fact|editorial_inference|model_preference,held,Unchecked publication could alternate terms for the same object.,,NOE-P07-KO-STR-005|NOE-P07-KO-STR-017|NOE-P07-KO-STR-034|NOE-P07-KO-STR-035|NOE-P07-KO-STR-045,active initial record,unchecked,Korean checker selects and documents the complete-system term,CC69949377A255519E27EC15040A5299D2111C0C4F79D4A1154704236494C209,022424A547576678744C5F5C7B8BF8E5D82B04191691231E1A45CE00B3AEB9F8
NOE-P07-KO-HARD-005,2026-08-04T03:20:00.317Z,system clock recorded once for this initialization batch; millisecond field retained,P07 U02--U03 terminology,trap_prone_source_form,Größenreihe can attract the misleading literal reading magnitude sequence.,Use 변수열 for the ordered tuples of transformed variables.,source_fact|editorial_inference|model_preference,held,The chosen noun may obscure row-wise symmetry.,,NOE-P07-KO-STR-008|NOE-P07-KO-STR-013,active initial record,unchecked,Korean checker tests 변수열 against local invariant-theory usage,022424A547576678744C5F5C7B8BF8E5D82B04191691231E1A45CE00B3AEB9F8,A6D7B70C8D10343312D6423147218781090190CAF9218E4204FEE87809CDF399
NOE-P07-KO-HARD-006,2026-08-04T03:20:00.317Z,system clock recorded once for this initialization batch; millisecond field retained,P07 U03--U04 terminology,trap_prone_source_form,einförmig can be confused with homogeneous or uniform even though the source defines a one-row-per-summand condition.,Use 단일형 and retain the explicit source sense window.,source_fact|editorial_inference|model_preference,held,A reader may not recognize the historical multisymmetric term.,,NOE-P07-KO-STR-013|NOE-P07-KO-STR-019|NOE-P07-KO-STR-020,active initial record,unchecked,Korean checker approves or replaces 단일형,A6D7B70C8D10343312D6423147218781090190CAF9218E4204FEE87809CDF399,3FD8A80FF5C9A7D296589382E3776CBA2D1323DAD334E316BCA084EB34187EC4
NOE-P07-KO-HARD-007,2026-08-04T03:20:00.317Z,system clock recorded once for this initialization batch; millisecond field retained,"P07 U03, U06--U07 terminology",mixed_loan_choice,Resolvente has several competing Korean calques and can be confused with a splitting field.,Use 갈루아 레졸벤트 for the displayed product polynomial.,source_fact|editorial_inference|model_preference,held,Readers may expect a different established Korean resolvent term.,,NOE-P07-KO-STR-015|NOE-P07-KO-STR-017|NOE-P07-KO-STR-035|NOE-P07-KO-STR-037,active initial record,unchecked,Korean checker supplies local-language evidence for resolvent terminology,3FD8A80FF5C9A7D296589382E3776CBA2D1323DAD334E316BCA084EB34187EC4,0E5A84CF5638947E9FAA8A1D7A755846ED6EDF6F901DF71C1D107A5CCA1CEE34
NOE-P07-KO-HARD-008,2026-08-04T03:20:00.317Z,system clock recorded once for this initialization batch; millisecond field retained,P07 U01 terminology,modernization_choice,Modulbasis can attract either the Korean module term 가군 or the global loan 모듈.,Use 가군 기저 정리 provisionally.,source_fact|model_preference,held,The wording may not match Korean histories of Hilbert's basis theorem.,,NOE-P07-KO-STR-005,active initial record,unchecked,Korean checker checks local theorem-title convention,0E5A84CF5638947E9FAA8A1D7A755846ED6EDF6F901DF71C1D107A5CCA1CEE34,DA71C5E71CAEB601C87D05DD50CF1F1345F38B0AE1A1858B9CCFD909C391BE2D
NOE-P07-KO-HARD-009,2026-08-04T03:20:00.317Z,system clock recorded once for this initialization batch; millisecond field retained,P07 U05--U06 terminology,cross_locale_term,Potenzsumme and Ordnung invite South/North Korean lexical divergence and an order-versus-ordering ambiguity.,"Use 거듭제곱합 and 군의 위수; keep 멱합, 누승합, and 차수 as explicitly held alternatives.",source_fact|editorial_inference|model_preference,held,Locale-specific mathematical vocabulary may differ materially.,,NOE-P07-KO-STR-027|NOE-P07-KO-STR-031|NOE-P07-KO-STR-034|NOE-P07-KO-STR-035,active initial record,unchecked,Independent ko-KR checker; separate ko-KP evidence if later authorized,DA71C5E71CAEB601C87D05DD50CF1F1345F38B0AE1A1858B9CCFD909C391BE2D,65879FC5E50ED3A6F98DDC465AFC29FC7F3AF781350547B26143C8BD4F99805F
NOE-P07-KO-HARD-010,2026-08-04T03:20:00.317Z,system clock recorded once for this initialization batch; millisecond field retained,P07 U07--U08 terminology,disciplinary_sense_collision,rationale Darstellung can be mistaken for representation theory rather than rational expression in generators.,"Use 유리 표현 and state that the sense is rational expressibility, not representation theory.",source_fact|editorial_inference|model_preference,held,A modern reader could still hear Darstellung as representation.,,NOE-P07-KO-STR-037|NOE-P07-KO-STR-043|NOE-P07-KO-STR-045,active initial record,unchecked,Korean checker adjudicates rational-expression terminology,65879FC5E50ED3A6F98DDC465AFC29FC7F3AF781350547B26143C8BD4F99805F,4B29C1B0F890E78675C49EEA914D587F6C72430019636BB6114938C9081DF107
