"lane","frontier","role","packet_path","exists","file_count","csv_file_count","manifest_rows","manifest_sha","sha256sums_sha"
"B3 package steward","6034C6B4","second-wave recovery visibility batch; package evidence only","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_19B2AB4B_SECOND_WAVE_RECOVERY_VISIBILITY_BATCH_20260707","True","15","12","13","8C4EE6921EBE4D46D36586253496865EDF19A68873375415C1C20F4A73567902","FCB7E24E937D0F265204528B3F817B44AC24EB3306A1C9115EFC926ADF4A20BC"
"Interlanguage/Fable authority","761BEC88","current frontier authority routing packaged by B3; source-use/adverse context only","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_761BEC88_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707","True","370","240","367","9745F30960DEB7455D784B87DA966F367066A8F2BD4B295C8FE039903C9E906F","15D1435991DD7D7B1963301A312DD5FB164AABD50964519249DE2EE275A53A5C"
"Interlanguage/Fable addendum","761BEC88","local sibling recovery addendum packaged by B3; no accepted terminology","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_761BEC88_LOCAL_SIBLING_RECOVERY_ADDENDUM_20260707","True","25","10","22","099C9107C773EB1B7090AAEC4F06EC676C98FECB32A24135F8C7447B5AB5CEE6","8B64D1D5222DBE48B8D858A5D674987EE86C3646FEEF8915F7BB13C303B72EEA"
"R2 Pan-Turkic","19B2AB4B","frontier correction recovery; source-use/gap/Fable/adverse blockers","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_19B2AB4B_FRONTIER_CORRECTION_RECOVERY_20260707","True","24","18","22","DD88F745C1C6680B81CDEDB70CA2795A7B87724D548DC1EB896D8CFE9E792C22","D3FFF8C9941D2F25CB492729E3C22CCFA573D634866EA9A3764143B4DAF4EC4B"
"R2 Pan-Turkic packaged","761BEC88","B3 packaged R2 recovery root; no bridge/pilot","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_761BEC88_FRONTIER_RECOVERY_20260707","True","27","20","25","DA52BBBE6D22C223ECA008E43D93D83EACC7445058121408145DB218EF5973A0","A69DF52F4175E5D915F3C25A209705C1FF565FE6F6A5FB52802252D4F3236AC4"
"Arabic RTL","19B2AB4B","live-head source-use/gap recovery","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_19B2AB4B_LIVE_HEAD_AFTER_761BEC88_SOURCE_USE_GAP_RECOVERY_20260707","True","405","298","400","7EE8B02883A8563E916CF70CB25CFED36BBC867971DF4BEE740BCDF89EA0B324","0CE195023B7E6D55055314CC80E6A023B2A9487E406D3B4F5EE5097489142DE2"
"CJK native/source","19B2AB4B","source-use/codepoint/Fable/adverse frontier correction","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_19B2AB4B_FRONTIER_CORRECTION_SOURCE_USE_CODEPOINT_FABLE_20260707","True","26","19","23","C87DB157D1B25E99A4F0955DF27D2EF230D060BF404D9BA6207455FA4942D6D8","BB191F6D16875FBA2BCF2099C1EA5E03346E5D8D2FF8B014D7AC893ACEB662DD"
"CJK draft","19B2AB4B","current-frontier recovery; manual-review/draft boundaries","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_19B2AB4B_CURRENT_FRONTIER_RECOVERY_20260707","True","28","25","26","B09020B5BF8BED897916D44CDFC6BEA3C2C9E87DF238667EFCA1348D41D412F7","26060A348F10B140C1B1F17C436087B161F0D5A4251D76D32D2D8524DF6B70CD"
"Persianate/Tajik","761BEC88","B3 frontier recovery; fa_IR/prs_AF separation and Tajik discovery-only","C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_761BEC88_B3_FRONTIER_RECOVERY_20260707","True","34","26","31","DD5ABABC3A6D95AE1773A8F1D8F278FFF9E66D657C9C60D2FE901F80FF389DFD","80B82FD4EBA23354D2720EA89658217769D9749504AD7B541BF703B52784E9CA"
"Romance","761BEC88","same-frontier dedup recovery; French/Spanish source-use/gap carryforward","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_761BEC88_SAME_FRONTIER_DEDUP_RECOVERY_20260707","True","11","4","8","6D151ABBF4262A4157F0D4C81F36AA8D7BD72452D3C539B23B083E848F5655D4","98E872149039CF49B84640B553B08F66A616BEE3A8731B9751F15E521378BB1B"
