"branch_head","support_id","language_gate","concept","target_rendering","source_context_locator","resolved_source_path","resolved_sha256","authority_checks_applied","allowed_scope","output_label"
"212dfb1c7728f7c23274714434aa35d590e1aab7","POSTPUSH-C2-DRAFT-0001","ar","Noetherian ring","الحلقة النوثرية","pdf-page-1:line-15:utf16-33","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","source-use; adverse/do-not-use; formula-neighboring; draft/noncanonical boundary","own language gate only","generated-draft; non-canonical; not-native-reviewed"
"212dfb1c7728f7c23274714434aa35d590e1aab7","POSTPUSH-C2-DRAFT-0002","ar","Noetherian ring","حلقات نوثرية","pdf-page-1:line-15:utf16-69","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","source-use; adverse/do-not-use; formula-neighboring; draft/noncanonical boundary","own language gate only","generated-draft; non-canonical; not-native-reviewed"
"212dfb1c7728f7c23274714434aa35d590e1aab7","POSTPUSH-C2-DRAFT-0003","ar","Noetherian ring","النوثرية","pdf-page-1:line-15:utf16-40","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","source-use; adverse/do-not-use; formula-neighboring; draft/noncanonical boundary","own language gate only","generated-draft; non-canonical; not-native-reviewed"
"212dfb1c7728f7c23274714434aa35d590e1aab7","POSTPUSH-C2-DRAFT-0004","ar","ideal","مثالي","pdf-page-1:line-16:utf16-6","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","source-use; adverse/do-not-use; formula-neighboring; draft/noncanonical boundary","own language gate only","generated-draft; non-canonical; not-native-reviewed"
"212dfb1c7728f7c23274714434aa35d590e1aab7","POSTPUSH-C2-DRAFT-0005","ar","Noetherian ring","النوثرية","pdf-page-1:line-18:utf16-18","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","source-use; adverse/do-not-use; formula-neighboring; draft/noncanonical boundary","own language gate only","generated-draft; non-canonical; not-native-reviewed"
"212dfb1c7728f7c23274714434aa35d590e1aab7","POSTPUSH-C2-DRAFT-0006","ar","ideal","مثالي","pdf-page-1:line-18:utf16-81","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","source-use; adverse/do-not-use; formula-neighboring; draft/noncanonical boundary","own language gate only","generated-draft; non-canonical; not-native-reviewed"
"212dfb1c7728f7c23274714434aa35d590e1aab7","POSTPUSH-C2-DRAFT-0007","ar","Noetherian ring","الحلقة النوثرية","pdf-page-1:line-24:utf16-85","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","source-use; adverse/do-not-use; formula-neighboring; draft/noncanonical boundary","own language gate only","generated-draft; non-canonical; not-native-reviewed"
"212dfb1c7728f7c23274714434aa35d590e1aab7","POSTPUSH-C2-DRAFT-0008","ar","Noetherian ring","النوثرية","pdf-page-1:line-24:utf16-92","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","source-use; adverse/do-not-use; formula-neighboring; draft/noncanonical boundary","own language gate only","generated-draft; non-canonical; not-native-reviewed"
"212dfb1c7728f7c23274714434aa35d590e1aab7","POSTPUSH-C2-DRAFT-0009","ar","ideal","مثالي","pdf-page-3:line-26:utf16-42","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","source-use; adverse/do-not-use; formula-neighboring; draft/noncanonical boundary","own language gate only","generated-draft; non-canonical; not-native-reviewed"
"212dfb1c7728f7c23274714434aa35d590e1aab7","POSTPUSH-C2-DRAFT-0010","ar","ideal","مثالي","pdf-page-4:line-30:utf16-43","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","source-use; adverse/do-not-use; formula-neighboring; draft/noncanonical boundary","own language gate only","generated-draft; non-canonical; not-native-reviewed"
"212dfb1c7728f7c23274714434aa35d590e1aab7","POSTPUSH-C2-DRAFT-0011","ar","ideal","مثالي","pdf-page-4:line-31:utf16-57","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","source-use; adverse/do-not-use; formula-neighboring; draft/noncanonical boundary","own language gate only","generated-draft; non-canonical; not-native-reviewed"
"212dfb1c7728f7c23274714434aa35d590e1aab7","POSTPUSH-C2-DRAFT-0012","ar","ideal","المثالي","pdf-page-4:line-31:utf16-55","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","source-use; adverse/do-not-use; formula-neighboring; draft/noncanonical boundary","own language gate only","generated-draft; non-canonical; not-native-reviewed"
"212dfb1c7728f7c23274714434aa35d590e1aab7","POSTPUSH-C2-DRAFT-0013","ar","ideal","مثالي","pdf-page-4:line-35:utf16-69","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","source-use; adverse/do-not-use; formula-neighboring; draft/noncanonical boundary","own language gate only","generated-draft; non-canonical; not-native-reviewed"
