"branch_head","authority_table","lane","category","required_surface","coverage_status","required_next_action","evidence_path","source_gated_routing_rows","boundary"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_COVERAGE_AUDIT_212DFB.csv","Persianate/Tajik","lane-coverage","current-head lane application","current-212DFB-source-backed-routing-present","owner lane may begin or continue generated-draft/noncanonical rendering rows only after formula-neighboring and adverse/do-not-use checks; authority lane does not approve wording","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\PERSIANATE_TAJIK_SOURCE_BACKED_ROUTING_ROWS_212DFB.csv","474","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_COVERAGE_AUDIT_212DFB.csv","Arabic","lane-coverage","current-head lane application","shared-212DFB-rules-present; lane-specific-212DFB-application-gap-open","create current-head lane packet applying branch-weight, marginal-intelligibility, source-use, adverse/do-not-use, normalization, marker-table, and formula-neighboring checks to actual lane bodies","","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Persianate/Tajik","branch-weighting","branch_weight_ledger.csv","shared-rule-and-current-routing-present; owner-lane application still noncanonical","fill term/register/formula-neighboring rows only under owner-lane source context","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv","474","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Persianate/Tajik","marginal-intelligibility","marginal_intelligibility.csv","shared-rule-and-current-routing-present; owner-lane application still noncanonical","fill term/register/formula-neighboring rows only under owner-lane source context","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARGINAL_INTELLIGIBILITY_LEDGER.csv","474","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Persianate/Tajik","source-use","source_use_status.csv / source_documents.csv","shared-rule-and-current-routing-present; owner-lane application still noncanonical","fill term/register/formula-neighboring rows only under owner-lane source context","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_SOURCE_USE_LEDGER.csv","474","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Persianate/Tajik","adverse-evidence","adverse_evidence_ledger.csv","shared-rule-and-current-routing-present; owner-lane application still noncanonical","fill term/register/formula-neighboring rows only under owner-lane source context","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_ADVERSE_DO_NOT_USE_LEDGER.csv","474","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Persianate/Tajik","normalization","normalization_decisions / forms.csv","shared-rule-and-current-routing-present; owner-lane application still noncanonical","fill term/register/formula-neighboring rows only under owner-lane source context","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_NORMALIZATION_LEDGER.csv","474","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Persianate/Tajik","marker-table","marker-table / interlinear scaffolding rows","shared-rule-and-current-routing-present; owner-lane application still noncanonical","fill term/register/formula-neighboring rows only under owner-lane source context","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARKER_INTERLINEAR_LEDGER.csv","474","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Persianate/Tajik","do-not-use","do_not_use.csv / false_friend_ledger.csv","shared-rule-and-current-routing-present; owner-lane application still noncanonical","fill term/register/formula-neighboring rows only under owner-lane source context","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\DO_NOT_USE_APPLICATION_ROWS_212DFB.csv","474","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Persianate/Tajik","Interslavic-correction","Interslavic correction ledger; current State C row","not-lane-owned; monitor only","no owner-lane application unless this lane proposes Slavic/Interslavic forms","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv","474","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Arabic","branch-weighting","branch_weight_ledger.csv","shared-rule-present; exact lane-current-head-application-gap","produce branch_weight_ledger.csv application rows linked to lane source bodies and hashes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
