path,role,sha256,bytes,publication_status
Noether_Paper20_English_R823_SourceChecked.tex,"promoted editable English source",DD84E3FCB4E13DB76D77E69BA31A82C1702BB4A9A01CDAF36A5B938FDE8BD0D2,34872,"component-ready"
output/pdf/Noether_Paper20_English_R823_SourceChecked.pdf,"promoted compiled English reader",86540B805885B6266D112D8A393979F6E3C83C996E5EB993CBDB2432337EF492,271919,"component-ready"
output/pdf/Noether_Paper20_English_R823_SourceChecked.log,"final pdflatex transcript",21BD2F2E9621A3E2D365547BAF3199A83FA1EF6966DA21D2F65DF84D22B88DD6,28196,"qa-support"
source/Noether_Paper20_English_FINAL_AUDITED_control_slice_20260614.tex,"prior audited English control",AD2197BD392E947FF33A6E71009EA93CE0797730BC3A59E9275AF7716CA16912,20337,"source-control"
source/Noether_Paper20_German_FINAL_AUDITED_control_slice_20260614.tex,"prior audited German control",7C65D1DD57456036B4A05BAAB6A16B260F6A3366AE103CE1C5D51414AA7B53F4,21143,"source-control"
source/Noether_Paper20_German_R823_authority.tex,"current German authority extraction",44A8343BD50B9178737D4AAB6A70BDD17E92B0BACB0172294F443E1F1DB33E10,21163,"source-control"
CORRECTION_LEDGER.csv,"R823 and facsimile correction disposition",C79706CD4E282586F4371101ACF7953002D6AF1163C94D0787FDFEA891A60562,4752,"audit-support"
SOURCE_DEPENDENCY.md,"authority paths hashes and adjudications",D4F1F57817CF28161E4B43AC472F77CF11583CA7180559145B85C76020083463,3022,"audit-support"
STATUS.md,"scope and continuation cursor",552EDB8A27B966F1213ED5536AB497E1F2641F79CE0B02E53381EAF94A869F4A,1718,"audit-support"
BUILD_AND_VISUAL_QA.md,"compile render and visual-QA record",7DFF209D328F3E9DF3BF00CE0A2256C48607FE912CAD1ADCEB59F364067639F5,1722,"qa-support"
PUBLICATION_READINESS.md,"publication gate decision",5BB196F3B9DA79BCDC2B06FDA425A5106B6DFA6CD1366ECC5B4AA5D6E7D6D6BF,1279,"zenodo-hold"
ZENODO_PAYLOAD_MANIFEST.csv,"proposed next-version component routing",F29F019403AFA24F1D6B2264DECEA4C63B21627ECAB24719698E0BCB93DD2E7F,990,"zenodo-hold"
render_check/paper20-1.png,"final visual-QA page 1",A2471F4FF2B166725D37DCEE8ACB7B56BCDDD7EA6678CD1DF709E25A1592DBE0,419510,"qa-support"
render_check/paper20-2.png,"final visual-QA page 2",C31801E45948E1B6AD31758AAFE129BE2920A0185967C20074DDC11CA104F9C9,443065,"qa-support"
render_check/paper20-3.png,"final visual-QA page 3",3D87C9A2FB51C502ADD884616F6A05CC66DC354C26AD6B6D09942470E82A70E7,377841,"qa-support"
render_check/paper20-4.png,"final visual-QA page 4",7CD6C270728AC64D126BE1312E95AEB86773D762081074FB978FE3884A1A4E6E,424035,"qa-support"
render_check/paper20-5.png,"final visual-QA page 5",D7777DD182DF4952D5499A5ECE883C4536547FF48CCDAE3E2576EB954F532759,206447,"qa-support"
