member,pages,zip_compressed_bytes,pdf_bytes,sha256
08__bhaskara_ii__bijaganita__part_06_of_09__pages_0096-0114.pdf,19,6935926,7169044,f309e3656288ea4b5af0ea8001b7d25c93fd48875058a00c82de325c21795acb
08__bhaskara_ii__bijaganita__part_07_of_09__pages_0115-0133.pdf,19,7352054,7577883,57b39b06cb6007eb32d1f78d27e2d67d6c81186e54d38d74b447ba99ba9adb05
08__bhaskara_ii__bijaganita__part_08_of_09__pages_0134-0152.pdf,19,6175680,6402499,c6def228868c88b0e17d659d50326b0126a44dbeee08a12ea979a35f0e477210
08__bhaskara_ii__bijaganita__part_09_of_09__pages_0153-0170.pdf,18,4781587,4975648,895140e09dedb405818d818bd9391a2e7523df68ad04f3e5d62aac541040f0ff
09__Sunzi__Sunzi suanjing__Chinese scan.pdf,86,1677663,1770639,a377aadf78f8e61f4dffbe84fb115913dfee8ff229be8a841491791457976e8e
10__Yang Hui__詳解九章算法__Part I.pdf,223,5565355,5811515,feba0e8e9e3beb459a752efde408289a99f3f6dd550609986e232b45bf203f9b
11__Yang Hui__詳解九章算法__Part II.pdf,69,1785176,1861741,2e3113405e406bd53dc993df22e292066b15ba937dc4be49a1bdef549478d860
12__Yang Hui__詳解九章算法__Part III.pdf,87,1917558,2011914,d4636e06223be6ec62ef83f6a4c718e54a38bce49132844102bd03241bcbddd5
13__Nine Chapters + Liu Hui__九章算術__Vols. 1–3 fascicle.pdf,142,4051159,4188391,03813f314abadf3167f87bee45b48725dce1f8b3df628612e5649a6a25588959
14__Nine Chapters + Liu Hui__九章算術__Vols. 4–6 fascicle.pdf,188,5441747,5626636,be29455d6887d1e23ab07dac5829bdb3951e3b33bd430138b1d28c521bea15c5
15__Nine Chapters + Liu Hui__九章算術__Vols. 7–9 fascicle.pdf,198,6063839,6251372,4b79178d15293444f93f9bad4fe3d69ce51dd1756d9c12bae48545c4c91c2ad6
16__Qin Jiushao__數學九章__Fascicle 1.pdf,171,4494488,4660566,9f8ae1cefde0074184d8dce5cecae93f9b99a5b53dc0bf8b202dfeecd6c3e35c
17__Qin Jiushao__數學九章__Fascicle 2.pdf,165,3935359,4099810,bb236f0671da52ed42359e9fba91aa85557c33b66e208177527179c5224b1746
18__Qin Jiushao__數學九章__卷三上~卷四下.pdf,209,5221948,5428769,58a86157ede353907eb7bd83e274d11247c8a5806eef83288fca24f4e8e91a78
19__Qin Jiushao__數學九章__卷五上~卷五下.pdf,126,3154618,3280207,9acb62421fd548a954d383652f595e30dadb4eda78dd7b0da7630b07c26f38e0
20__Qin Jiushao__數學九章__Fascicle 6.pdf,102,2351378,2454319,e0ae4acfe42c65171fa44d0293c2ad6f57af85a1aa80109ea4859a10f1536820
21__Qin Jiushao__數學九章__卷七上~卷七下.pdf,155,4083887,4234536,f7ac7586e25f033292420b0e644722e9e3d3213ad0912521edae2879297d553b
22__Qin Jiushao__數學九章__卷八上~卷九下.pdf,219,4951918,5169669,f0f4ddd7e0979e75a595ddb22cf30e7fa8ab45cb0189e850b8117d9366952981
23__Zhu Shijie__新編算學啟蒙__Part I.pdf,123,2636059,2768662,3bf3452bd51cdb3c8b6c69b0ae89238a4d1d2ced1bce3bab0453ec104bc08638
24__Zhu Shijie__新編算學啟蒙__Part II.pdf,179,3554955,3747227,8aba8357e0888d0ae429d22689cab51e92768b9fae84b613d0e4313b4c1144a5
25__Li Ye__測圓海鏡__卷一~卷三.pdf,150,4536166,4679615,2441d8aad50400962a1470cbca01056ab6283337cd875ff3ba5c64d9a093177f
26__Li Ye__測圓海鏡__卷四~卷六.pdf,124,4060390,4174572,fdc24fc42c75a0aa9a0976767a5eb6bb0bd01a3af095b24921c12781e31e029f
27__Li Ye__測圓海鏡__Vols. 7–9 fascicle.pdf,129,3909298,4032447,bc5a7425e82051e0e32f6a32971062f26e089cee07fac1a809c2595f33b25543
28__Li Ye__測圓海鏡__卷十~卷十二.pdf,91,2869364,2957961,ef9ca27a0a9be6160961435753062dd3fbccf7ecc585c9eade9a9a9c095f84df
29__Li Ye__測圓海鏡分類釋術__Vols. 1–3 fascicle.pdf,134,3433466,3567148,1ef91a9aa1f5715b3766e0186decc4b8f9a4aebc187769a001f92ae79f071f60
30__Li Ye__測圓海鏡分類釋術__Vols. 4–5 fascicle.pdf,139,3647439,3784578,47cb99ce6517a217bd6f78bd3a0d3222d2f5053f320ba89c7afd8ea1fdfd03a4
31__Li Ye__測圓海鏡分類釋術__卷六~卷十.pdf,225,6371828,6590849,7800457cd8ed753170ad7d5be61f38fc5f982705415346e72f36859883c2e16d
43__Central_Asia_reference__CA01__Said_al-Andalusi__Kitab_Tabaqat_al-Umam__Cheikho_1912.pdf,158,73101147,73222968,18ca988c2c97b00481251297e2f81804b611beb7b1c6d79b6afef2d9b1036044
44__Central_Asia_reference__CA02__Ibn_al-Nadim__Kitab_al-Fihrist__Flugel_ed.pdf,725,28943714,29422539,8fe3c170ef42023d85e8a84e6125adc5361145a944e44fae9b85f7de2ee5eb00
45__Central_Asia_reference__CA03__Ibn_al-Qifti__Tarikh_al-Hukama__Lippert_1903.pdf,525,23713219,24157611,e30128042f0a827f78c3d42a2f200cbbe04e00d865c82a1c88d4e36cd0b96e04
46__Central_Asia_reference__CA04__al-Muqaddasi__Ahsan_al-taqasim__de_Goeje_1906_lo.pdf,529,47867338,48779671,20a450b206b4fae077e4309790062fcef984665ca74b95b7f03558dce83db514
47__Central_Asia_reference__CA05__Smith_Karpinski__The_Hindu-Arabic_Numerals__1911.pdf,184,9529041,9704177,c3bb817725e15dd2c1084b863259173af4440c8d893ce68fbb0cfa7fd27acdf7
48__Central_Asia_reference__CA06__al-Khwarizmi_Rosen__The_Algebra_of_Mohammed_ben_Musa__1831.pdf,378,18528813,18890784,2c7c7ab14216a5348e4c920f1a787f5d8790ffab813e17f7ff56bb486290660a
49__Central_Asia_reference__CA07__al-Khwarizmi_Karpinski__Robert_of_Chester_Latin_Translation__1915.pdf,204,8511619,8696341,d39b931f9386dd4087182ffd1044e64e9ede6e359d6828fb09f663019efe7d62
50__Central_Asia_reference__CA08__Julius_Ruska__Zur_aeltesten_arabischen_Algebra_und_Rechenkunst__1917.pdf,130,24988195,25063638,f4923b94bd709a68592c9cd6c2e6ab1b391641676f1f7e11da6f36bb48886f40
