"current_live_head","prior_frontier","prior_branch_subject","carried_from_packet","row_set","prior_recorded_frontier","verified_branch_subject","previous_local_head","observed_head","language","bcp47","hard_row","source_use_label","exact_source_status","permitted_use","not_permitted_use","closure_allowed","reviewer_return_required","boundary"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","source-use-boundary","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","Bashkir","ba","L-NOETHERIAN-RING","source-gated-generated-draft/noncanonical","line 184: * [[Нётер ҡулсаһы]]","source-context note; generated-draft/noncanonical pretranslation support; reviewer routing","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","source-use-boundary","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","Bashkir","ba","L-POLYNOMIAL-RING","source-gated-generated-draft/noncanonical","line 133: күпбыуындар ҡулсаһы with R[x_1,x_2,...,x_n] and R[x][y]=R[x,y]","source-context note; generated-draft/noncanonical pretranslation support; reviewer routing","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","source-use-boundary","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","Bashkir","ba","L-POLYNOMIAL-RING","source-gated-generated-draft/noncanonical","line 11: k[x] [[күпбыуындар ҡулсаһы]] near principal ideals, zero ideal, maximal ideal","source-context note; generated-draft/noncanonical pretranslation support; reviewer routing","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","source-use-boundary","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","Bashkir","ba","L-POLYNOMIAL-RING","source-gated-generated-draft/noncanonical","lines 44-47: күпбыуындар балдағы properties over domains, factorial rings, and fields","source-context note; generated-draft/noncanonical pretranslation support; reviewer routing","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","source-use-boundary","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","Azerbaijani","az","L-NOETHERIAN-RING","gap/recovery/blocker-preservation","no zero-row payload row found","gap ledger; recovery-search planning; blocker preservation","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","source-use-boundary","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","Azerbaijani","az","L-POLYNOMIAL-RING","gap/recovery/blocker-preservation","no zero-row payload row found","gap ledger; recovery-search planning; blocker preservation","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","source-use-boundary","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","Kazakh","kk","L-NOETHERIAN-RING","gap/recovery/blocker-preservation","no zero-row payload row found","gap ledger; recovery-search planning; blocker preservation","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","source-use-boundary","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","Kyrgyz","ky","L-NOETHERIAN-RING","gap/recovery/blocker-preservation","searched-path blocker row; no exact source body","gap ledger; recovery-search planning; blocker preservation","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","source-use-boundary","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","Kyrgyz","ky","L-POLYNOMIAL-RING","gap/recovery/blocker-preservation","searched-path blocker row; ring-neighbor body only","gap ledger; recovery-search planning; blocker preservation","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","source-use-boundary","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","Tatar","tt","L-NOETHERIAN-RING","gap/recovery/blocker-preservation","searched-path blocker row; no exact source body","gap ledger; recovery-search planning; blocker preservation","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
