lane,category,required_surface,branch_head,shared_212dfb_rule_rows,shared_212dfb_source_linked_rows,lane_source_gated_rows,coverage_status,evidence_path,required_next_action,boundary,b3_route
Pan-Turkic,branch-weighting,branch_weight_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,647,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv,produce branch_weight_ledger.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Pan-Turkic,marginal-intelligibility,marginal_intelligibility.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,647,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARGINAL_INTELLIGIBILITY_LEDGER.csv,produce marginal_intelligibility.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Pan-Turkic,source-use,source_use_status.csv / source_documents.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,74,74,647,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_SOURCE_USE_LEDGER.csv,produce source_use_status.csv / source_documents.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Pan-Turkic,adverse-evidence,adverse_evidence_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,131,131,647,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_ADVERSE_DO_NOT_USE_LEDGER.csv,produce adverse_evidence_ledger.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Pan-Turkic,normalization,normalization_decisions / forms.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,59,59,647,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_NORMALIZATION_LEDGER.csv,produce normalization_decisions / forms.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Pan-Turkic,marker-table,marker-table / interlinear scaffolding rows,212dfb1c7728f7c23274714434aa35d590e1aab7,17,17,647,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARKER_INTERLINEAR_LEDGER.csv,produce marker-table / interlinear scaffolding rows application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Pan-Turkic,do-not-use,do_not_use.csv / false_friend_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,131,131,647,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\DO_NOT_USE_APPLICATION_ROWS_212DFB.csv,produce do_not_use.csv / false_friend_ledger.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Pan-Turkic,Interslavic-correction,Interslavic correction ledger; current State C row,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,647,not-lane-owned; monitor only,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv,no owner-lane application unless this lane proposes Slavic/Interslavic forms,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Persianate/Tajik,branch-weighting,branch_weight_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,474,shared-rule-and-current-routing-present; owner-lane application still noncanonical,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv,fill term/register/formula-neighboring rows only under owner-lane source context,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Persianate/Tajik,marginal-intelligibility,marginal_intelligibility.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,474,shared-rule-and-current-routing-present; owner-lane application still noncanonical,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARGINAL_INTELLIGIBILITY_LEDGER.csv,fill term/register/formula-neighboring rows only under owner-lane source context,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Persianate/Tajik,source-use,source_use_status.csv / source_documents.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,74,74,474,shared-rule-and-current-routing-present; owner-lane application still noncanonical,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_SOURCE_USE_LEDGER.csv,fill term/register/formula-neighboring rows only under owner-lane source context,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
