metric,value
package,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_212DFB_ENFORCEMENT_GAP_AUDIT_20260706
timestamp_utc,2026-07-06T07:51:42Z
branch,codex/noether-pc-20260629
branch_head,212dfb1c7728f7c23274714434aa35d590e1aab7
remote_verified,true
source_body_rows_212dfb,26
input_blockers_212dfb,14
standardization_recovery_rows_212dfb,63
compare_rows_212dfb,53
b3_artifact_rows_212dfb,5127
source_gated_routing_rows_total,13015
source_witness_rows_total,13015
fable_requirement_rows_212dfb,10
lane_count,10
lane_category_coverage_rows,80
exact_gap_rows,64
blocker_recovery_rows,24
category_totals,"{""Interslavic-correction"": {""row_count"": 195, ""source_file"": ""212DFB_BRANCH_WEIGHT_LEDGER.csv"", ""source_linked_count"": 195}, ""adverse-evidence"": {""row_count"": 131, ""source_file"": ""212DFB_ADVERSE_DO_NOT_USE_LEDGER.csv"", ""source_linked_count"": 131}, ""branch-weighting"": {""row_count"": 195, ""source_file"": ""212DFB_BRANCH_WEIGHT_LEDGER.csv"", ""source_linked_count"": 195}, ""do-not-use"": {""row_count"": 131, ""source_file"": ""DO_NOT_USE_APPLICATION_ROWS_212DFB.csv"", ""source_linked_count"": 131}, ""marginal-intelligibility"": {""row_count"": 195, ""source_file"": ""212DFB_MARGINAL_INTELLIGIBILITY_LEDGER.csv"", ""source_linked_count"": 195}, ""marker-table"": {""row_count"": 17, ""source_file"": ""212DFB_MARKER_INTERLINEAR_LEDGER.csv"", ""source_linked_count"": 17}, ""normalization"": {""row_count"": 59, ""source_file"": ""212DFB_NORMALIZATION_LEDGER.csv"", ""source_linked_count"": 59}, ""source-use"": {""row_count"": 74, ""source_file"": ""212DFB_SOURCE_USE_LEDGER.csv"", ""source_linked_count"": 74}}"
github_issues,not used
git_push,not performed
boundary,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
