concept,lang,form,package,count,file_count,use_category_majority,first_file,first_window
absolutely complete system,fa,دستگاه مطلقاً کامل,rtl_persian_arabic,6,4,draft_or_review_packet_not_witness,sources/arabic_persianate_paper01_review/R3_Paper01_Cumulative_Arabic_Persianate_Review_Packet_20260629T154505Z/sources/persian_farsi/paper01_cumulative_persian_farsi_v001.tex,فروکاست که ناورداها را به عنوان عامل دارند. از ترانسوکسیونِ دستگاه نسبتاً کامل با دستگاه مودول، در حالت نخست دستگاه مطلقاً کامل حاصل می‌شود، و در حالت دوم دستگاه نسبتاً کامل و دستگاه مطلقاً کامل یکی می‌شوند. بنا بر برها
algebra,es,algebra,romance_es_fr,614,104,language_family_witness_candidate,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/AlgebraConmutativa.tex,apuntes Álgebra Conmutativa Alberto Parramón Guillermo Julián 15/16 C2 fancysprefs tikz enumitem tikz-cd tikztools po
algebra,fa,جبر,rtl_persian_arabic,132,52,language_family_witness_candidate,sources/fa_3blue1brown_linear_algebra_notes/linear-algebra-3blue1brown-notes-master/README.md,اتحاد زیر را به روش جبری ثابت کنید. m k + m+1 k + m+2 k + ... + n k = n+1 k+1 - m k+1
algebra,fr,algebre,romance_es_fr,712,38,language_family_witness_candidate,sources/fr_es_compact_corpus/tex_corpus/french/1508.04495v1/1508_unpacked/annexeA.tex,"'il y a une bijection entre les classes d'isomorphismes des formes tordues d'une algèbre préalablement fixée et un ensemble de cohomologie galoisienne. Voir à ce sujet Bgalois aux pages 118 et 119. Dans cette annexe, se"
algebra,zh,代数,cjk_zh_ja,3148,108,language_family_witness_candidate,sources/zh_AlJabr_1/AlJabr-1-master/Al-jabr-1.tex,"elegantbook cinta today=small 具体数论与代数 数论与代数的计算性导论 王立斌 华南师范大学 0.9999 自定义 AI封面版本 The purpose of computing is insight, not numbers. --- Richard Hamm"
automorphism,es,automorfismo,romance_es_fr,109,31,language_family_witness_candidate,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/AlgebraConmutativa_Ejs.tex,"orden de cualquier elemento de un grupo tiene que dividir al orden del grupo. Dado que ^* es un grupo con la multiplicación de orden p^n - 1 , por lo que ∀x ∈ ^* tenemos que x^ p^n - 1 = . Si operamos, tenemos que x^ p^n"
automorphism,fr,automorphisme,romance_es_fr,55,16,language_family_witness_candidate,sources/fr_es_compact_corpus/tex_corpus/french/0911.2903v2/0911.2903_unpacked/Exp.1014.B.Keller.tex,"n finie et _Q admet un foncteur de Serre , c'est- a-dire une auto- equivalence S: _Q _Q telle qu'on ait des isomorphismes bifonctoriels D (X,Y) = (Y,SX) o u D= _ (?, ) est la dualit e des espaces vectoriels complexes. La"
basis,es,base,romance_es_fr,1820,224,language_family_witness_candidate,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/2_AnillosII.tex,"mize Considero a_1 a1,a2 a_1,a_2,a_3 ... . Esta cadena creciente de ideales nunca estabiliza. Lo cual es contradictorio porque entonces podría haber definido = a_1 , a_1 , a_1,a_2 ,..., a_1,a_2,...,a_n ,.... y no tiene e"
basis,fa,پایه,rtl_persian_arabic,197,59,language_family_witness_candidate,sources/arabic_persianate_paper01_review/R3_Paper01_Cumulative_Arabic_Persianate_Review_Packet_20260629T154505Z/sources/persian_farsi/paper01_cumulative_persian_farsi_v001.tex,( f_ n جمله n ام دنباله فیبوناچی می‌باشد؛ شمارش را از یک آغاز کردیم). از استقرا قوی استفاده می‌کنیم. itemize پایه استقرا: برای n = 3 داریم f_3 = 2 < ^ 3-2 و برای n = 4 داریم: f_4 = 3 < ^ 4-2 = ^ 2 = 3 + 5 2 که هر دو گزا
basis,fr,base,romance_es_fr,924,104,language_family_witness_candidate,sources/fr_es_compact_corpus/tex_corpus/french/0605499v2/indice1.tex,") + 2 ind ( g , a ). 12mm L'indice du normalisateur d'un centralisateur 2.1. ~Soit e un el ement nilpotent d'une alg ebre de Lie simple g (le corps de base est, pour moi, le corps des complexes). On note z le centralisat"
basis,zh,基,cjk_zh_ja,2032,100,language_family_witness_candidate,sources/zh_AlJabr_1/AlJabr-1-master/Errata-Al-jabr-1-v0.tex,"结论：任意整数都是素数的乘积的唯一分解。即任意给定整数 n ,都可以表示为: n=p_1^ _1 p_2^ _2 p_k^ _k , 其中 p_i 是素数， _i 是正整数，并且这种表示方式是唯一的。这个定理被称为 算术基本定理 ，是数论的基石。 其次，B ezout定理的发现者是18世纪的法国数学家。假定他非常熟悉Euclid的贡献将非常合理。 思考 首先，以算术基本定理为基础，考虑如何求整数 a 和 b 的最大公因子，而又不使用 算"
