entry_id,lemma,class,policy_class,variant_count,variants,branch_profile,draft_verdict,note,status,action_band,recommended_action
reg-znati,znati,knowledge_marker,dominant_lemma_with_variant_scatter,5,poznana; poznano; poznany; znano; znati,znan/poznat-: W62/S494/E0; izvestn(E/bg): W0/S0/E0; wiadom/vedom-: W4/S0/E0,pan-root anchor: znan/poznat-; branch aliases: W=['wiadom/vedom-'] S=[],,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
step,korak,proof_grammar,dominant_lemma_with_variant_scatter,5,korak; koraka; korakov; krokov; kroky,korak-: W0/S30/E0; krok(W): W51/S0/E0; stъpka(bg): W0/S0/E0; čekor(mk): W0/S0/E0,W/S doublet (F12b): keep both — W=krok(W) | S=korak-; dropping either costs that branch,,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
corresponds,sootvětstvovati,proof_predicate,dominant_lemma_with_variant_scatter,5,odgovara; odpovídá; sootvet; sootvęt; sootvět,odpovídá/odpowiada(W): W111/S0/E0; odgovara(S): W0/S30/E0; ustreza(sl): W0/S8/E0; sootvetstv(E/bg): W0/S5/E0,"W/S doublet (F12b): keep both — W=odpovídá/odpowiada(W) | S=odgovara(S), ustreza(sl), sootvetstv(E/bg); dropping either costs that branch",,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
reg-ležati,ležati,set_membership_predicate,dominant_lemma_with_variant_scatter,4,lezet; ležati; ležet; leži,lež-: W34/S33/E0,pan-root anchor: lež-,,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
reg-sostojati,sostojati,structure_predicate,dominant_lemma_with_variant_scatter,4,sostaji; sostoj; sostojati; sostoji,sostoji/sastoji(S/E): W0/S25/E0; skládá(cs/sk): W10/S0/E0; składa(pl): W20/S0/E0; skladajecca(be): W0/S0/E0,"W/S doublet (F12b): keep both — W=skládá(cs/sk), składa(pl) | S=sostoji/sastoji(S/E); dropping either costs that branch",,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
holds-is-valid,važi,proof_grammar,dominant_lemma_with_variant_scatter,4,platn; vazi; važi; važiti,važi-: W0/S0/E0; vrijedi/vredi(hr/sr): W0/S103/E0; platí(cs/sk): W317/S0/E0; zachodzi(pl): W57/S0/E0; velja(sl): W0/S296/E0,"W/S doublet (F12b): keep both — W=platí(cs/sk), zachodzi(pl) | S=vrijedi/vredi(hr/sr), velja(sl); dropping either costs that branch",,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
entirely,sovsěm,discourse_adverb,dominant_lemma_with_variant_scatter,4,popolno; sasvim; sovsem; sovsěm,sovsěm-: W0/S0/E0; sasvim-: W0/S44/E0; popolnoma/potpuno-: W0/S31/E0; zcela/úplně(cs): W11/S0/E0; całkowicie/zupełnie(pl): W4/S0/E0; sosema(mk): W0/S0/E0,"W/S doublet (F12b): keep both — W=zcela/úplně(cs), całkowicie/zupełnie(pl) | S=sasvim-, popolnoma/potpuno-; dropping either costs that branch",,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
carry-out,provesti / izvesti,proof_operation,dominant_lemma_with_variant_scatter,4,izved; izvesti; proved; provesti,provés/proved(cs/sk): W20/S1/E0; przeprowadz(pl): W33/S0/E0; izved/izvesti(S): W0/S72/E0; sprovesti(sr): W0/S4/E0,"W/S doublet (F12b): keep both — W=provés/proved(cs/sk), przeprowadz(pl) | S=izved/izvesti(S), sprovesti(sr); dropping either costs that branch",,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
reg-nastavati,nastavati,sequence_predicate,inflectional_or_orthographic_cluster,7,nastaja; nastaje; nastal; nastalo; nastane; nastavaje; nastavati,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
reg-pokazati,pokazati,proof_predicate,inflectional_or_orthographic_cluster,6,pokaz; pokazano; pokazati; pokazuje; pokazyva; pokaže,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
