concept_id,concept,stratum,fill_status_recommendation,es_forms,fr_forms,es_count,fr_count,first_es_file,first_fr_file
C2-coefficient,coefficient,curriculum_algebra,witness_candidate_sourcebody_context_review,coeficiente; coeficientes,coefficient; coefficients,1032,224,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/2_AnillosII.tex,sources/fr_es_compact_corpus/tex_corpus/french/0911.2903v2/0911.2903_unpacked/Exp.1014.B.Keller.tex
C2-determinant,determinant,curriculum_algebra,witness_candidate_sourcebody_context_review,determinante; determinantes,déterminant; determinant; déterminants; determinants,379,28,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/4_Tma_ceros_Hilbert.tex,sources/fr_es_compact_corpus/tex_corpus/french/1508.04495v1/1508_unpacked/chapitre2.tex
C2-dimension,dimension,curriculum_algebra,witness_candidate_sourcebody_context_review,dimensión; dimension; dimensiones,dimension; dimensions,1887,1842,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/AlgebraConmutativa.tex,sources/fr_es_compact_corpus/tex_corpus/french/0605499v2/indice1.tex
C2-direct_sum,direct sum,curriculum_algebra,witness_candidate_sourcebody_context_review,suma directa,somme directe; sommes directes,16,132,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/AlgebraConmutativa_Ejs.tex,sources/fr_es_compact_corpus/tex_corpus/french/0605499v2/indice1.tex
C2-element,element,curriculum_algebra,witness_candidate_sourcebody_context_review,elemento; elementos,élément; element; éléments; elements,3974,1212,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex,sources/fr_es_compact_corpus/tex_corpus/french/0605499v2/indice1.tex
C2-function,function,curriculum_algebra,witness_candidate_sourcebody_context_review,función; funcion; funciones,fonction; fonctions,13785,408,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex,sources/fr_es_compact_corpus/tex_corpus/french/0605500v2/indice2.tex
C2-image,image,curriculum_algebra,witness_candidate_sourcebody_context_review,imagen; imágenes; imagenes,image; images,1306,979,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex,sources/fr_es_compact_corpus/tex_corpus/french/0611861v1/0611861_unpacked/article3-introb.tex
C2-kernel,kernel,curriculum_algebra,witness_candidate_sourcebody_context_review,núcleo; nucleo; kernel,noyau; kernel,656,398,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex,sources/fr_es_compact_corpus/tex_corpus/french/0605499v2/indice1.tex
C2-polynomial,polynomial,curriculum_algebra,witness_candidate_sourcebody_context_review,polinomio; polinomios,polynôme; polynome; polynômes; polynomes,2752,152,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex,sources/fr_es_compact_corpus/tex_corpus/french/1508.04495v1/1508_unpacked/chapitre2.tex
C2-set,set,curriculum_algebra,witness_candidate_sourcebody_context_review,conjunto; conjuntos,ensemble; ensembles,4707,1111,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex,sources/fr_es_compact_corpus/tex_corpus/french/0605499v2/indice1.tex
C2-subset,subset,curriculum_algebra,witness_candidate_sourcebody_context_review,subconjunto; subconjuntos,sous-ensemble; sous ensembles; sous-ensembles,727,61,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex,sources/fr_es_compact_corpus/tex_corpus/french/1508.04495v1/1508_unpacked/chapitre1.tex
C2-vector,vector,curriculum_algebra,witness_candidate_sourcebody_context_review,vector; vectores,vecteur; vecteurs,1898,115,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/4_Tma_ceros_Hilbert.tex,sources/fr_es_compact_corpus/tex_corpus/french/0605500v2/indice2.tex
C2-vector_space,vector space,curriculum_algebra,witness_candidate_sourcebody_context_review,espacio vectorial; espacios vectoriales,espace vectoriel; espaces vectoriels,439,244,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/2_AnillosII.tex,sources/fr_es_compact_corpus/tex_corpus/french/0605499v2/indice1.tex
C2-absolutely_complete_system,absolutely complete system,noether_corpus,gap_after_probe,,,0,0,,
C2-binary_form,binary form,noether_corpus,witness_candidate_sourcebody_context_review,forma binaria,,2,0,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Neurocomputacion/tex/Neurocomputacion_Ejs.tex,
C2-biquadratic_form,biquadratic form,noether_corpus,gap_after_probe,,,0,0,,
C2-complete_system,complete system,noether_corpus,witness_candidate_sourcebody_context_review,sistema completo,,54,0,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Ecuaciones diferenciales ordinarias/tex/edo_5_SistemasLineales.tex,
C2-contravariant,contravariant,noether_corpus,witness_candidate_sourcebody_context_review,contravariante; contravariantes,contravariant,47,23,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Geometria Diferencial/tex/GD_I_FormasDiferenciales.tex,sources/fr_es_compact_corpus/tex_corpus/french/1508.04495v1/1508_unpacked/chapitre2.tex
C2-covariant,covariant,noether_corpus,witness_candidate_sourcebody_context_review,covariante; covariantes,covariant; covariants,62,15,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Geometria Diferencial/tex/GD_I_FormasDiferenciales.tex,sources/fr_es_compact_corpus/tex_corpus/spanish/2409.15681v1/2409_unpacked/main.tex
C2-form_system,form system,noether_corpus,gap_after_probe,,,0,0,,
