volume,relative_path,kind,start_line,bytes_removed,sha256,preview
sga2,parts/01_expose_I.tex,project_footnote,34,350,7075FEA9050670BC5D0C3430F66F82F9F32A777076C0E405662B8C81785D68CF,\footnote{At this single occurrence the French printed and TeX sources underline $\Gamma_Z$. The defining equation~\eqref{eq:I.2} and the systematic distinction used thereafter ide
sga2,parts/01_expose_I.tex,project_footnote,555,44,F1DA985A94E116C6441984CFE9FE10C2534AB91200AC7EC313B898EA3808B617,\footnote{See the preceding editorial note.}
sga2,parts/01_expose_I.tex,standalone_project_note,462,179,59C158F5282F3FD93C41271077E590DEFD4DBF32A0E891D78526003CB8FE238D,\noindent\textit{Editorial note.} This proposition is numbered \hyperref[I.2.3bof]{2.3} in the original edition; the corrected branch designates it \hyperref[I.2.3bis]{2.3 bis}.
sga2,parts/01_expose_I.tex,standalone_project_note,526,175,2F154C3AA2B6A1C85903EF9E97CAD3BB7507E510F88D344307ED6A3AAB22CCDE,\noindent\textit{Editorial note.} The original edition cited \hyperref[I.1.10]{Proposition~1.10} at this point; the corrected branch cites \hyperref[eq:I.18]{equation~(18)}.
sga2,parts/01_expose_I.tex,standalone_project_note,561,347,E8B0C027AACC0191EF9E223B26C353A3AE6394ABF859A6296368917E0DADBEB1,"\noindent\textit{Source note.} The corrected French TeX prints $\Gamma(C(F))$ in the middle term of~\hyperref[eq:I.25]{(25)}. \hyperref[eq:I.24]{Equation~(24)}, the construction fr"
sga2,parts/01_expose_I.tex,standalone_project_note,647,240,55FF952FE79FDFB0343F63B9C2E3AA3FBF066BFE408E70922400FE9ED4EA84E1,\noindent\textit{Source note.} The French display~\hyperref[eq:I.28]{(28)} omits the argument $(F)$ from $\uH_A^1$. The explanatory sentence immediately following the display suppl
sga2,parts/01_expose_I.tex,standalone_project_note,673,216,96AEFC3892C0D8391CDD7A035A80F9AD1928CDD3A6E88537321CD4D26C4F4AE4,"\noindent\textit{Editorial note.} At both corresponding occurrences in the French proof, the original edition cited \hyperref[I.2.9]{Corollary~2.9}; the corrected branch specifies"
sga2,parts/01_expose_I.tex,standalone_project_note,713,220,4D758DE669E992FE37F81DCC3934D780A8356EED7E61F97E61A488EA908CC0DB,"\noindent\textit{Editorial note.} At both corresponding occurrences in the French text, the original edition cited \hyperref[I.2.6]{Theorem~2.6}; the corrected branch specifies \hy"
sga2,parts/01_expose_I.tex,standalone_project_note,751,279,865C23CB37BBF6539EE1868EE89A77F3A22BA01DE58AC18DD465BEFBD87D2FBF,"\noindent\textit{Source note.} The corrected French prose prints lowercase $x$ where the ambient space must be $X$, and its sentence defining $\uT_{Y,X}$ is grammatically incomplet"
sga2,parts/02_expose_II.tex,project_footnote,106,127,B6358B1F2FF6511B4B308C6B3DFF6A864AF6AD25C43BBDB9CFA42CB89AFAA8E2,"\footnote{The corrected French source adds: ``For consistency and clarity, only equations have been numbered in parentheses.''}"
sga2,parts/02_expose_II.tex,standalone_project_note,101,285,EC033E3E231668B32EBB1FDC98E4C8A0059C6A192CEA4C7243DDE528172D9D80,\noindent\textit{Editorial note.} The corrected branch replaces the original citation of \hyperref[II.1]{Proposition~1} by \hyperref[II.2]{Corollary~2} in the first sentence of thi
