"record_id","record_type","lineage_group","revision_or_unit","measurement","sha256_or_commit","evidence_basis","rights_or_quality_caveat","classification"
"FR_ARCHIVE_V2","authority","FRENCH_ARXIV_AUTHORITY","math/0206203v2 revised 2004-01-04","324080 bytes","0A33C9C06908705A2525690FAAE02F6F07980A4AA069A8B6CFF9B1D9BC39ACD3","original arXiv v2 source archive","availability is not treated as a blanket open-content license","verified_authority"
"FR_DRIVER","authority_control","FRENCH_ARXIV_AUTHORITY","archive member with corrected-version switch","3312 bytes","DB1CFDFC8356CA532415EDBE7A2147CB1F078569FAD7BC6ABBF5C6E4A1928B31","driver selects corrected source body","modified-version notice requires archive review","verified"
"FR_MAIN_TEX","authority","FRENCH_ARXIV_AUTHORITY","archive member","1094587 bytes","754E9FD6BC04BA52359D0CF4102AA01D2805A00B0E3E298CCD7396564CC7702D","complete corrected French TeX body","sole textual authority for this workpass","verified_authority"
"FR_SLICE_I_0_I_1","authority_slice","FRENCH_ARXIV_AUTHORITY","lines 556-604 inclusive","one bounded unit","F70D084F60A77DC3CAAFB00F107333E93E5A827669CFEDC468958AD630F09750","exact raw-byte slice with preserved line endings","no source excerpt is distributed","verified_closed_unit"
"FR_SLICE_I_2","authority_slice","FRENCH_ARXIV_AUTHORITY","lines 605-652 inclusive","one bounded unit","B4AF85951DA7F743BF937FBABA0BB228655BEC769319040DE726414A262ED1F1","exact raw-byte slice with preserved line endings","no source excerpt is distributed","verified_closed_unit"
"FR_SLICE_I_3","authority_slice","FRENCH_ARXIV_AUTHORITY","lines 653-799 inclusive","one bounded unit","DEEF1A81B628C92C4CF94362C4DD409C069C64172127406AE763D9E87D45E83B","exact raw-byte slice with preserved line endings","no source excerpt is distributed","verified_closed_unit"
"FR_SLICE_I_4","authority_slice","FRENCH_ARXIV_AUTHORITY","lines 800-951 inclusive","5391 bytes","79166CFD547D89146345794F943D231FFA469C129B714C645A7D8A7BCD552BEB","exact raw-byte slice with preserved line endings","no source excerpt is distributed","verified_closed_unit"
"JM_REPO","external_english_control","HOSGOOD_DERIVATIVE_LINEAGE","HEAD 29ac35daa1c5096203eb89377ce008c59c717dc1 and tree ad687317b570b3c373b740f18433535ac5b42325","48 commits","29ac35daa1c5096203eb89377ce008c59c717dc1","clean clone and strict Git integrity check","unofficial sparse unresolved target-language control","verified_control_only"
"JM_LICENSE","license_evidence","HOSGOOD_DERIVATIVE_LINEAGE","HEAD 29ac35d","1090 bytes","A874EC104C99EC83F7EFB9FDBADF5D38E84E55813DB0B7B513E0BCF9DB55E3A4","repository MIT file","does not establish accuracy or underlying-source rights","verified"
"JM_SNAPSHOT","frozen_control","HOSGOOD_DERIVATIVE_LINEAGE","HEAD 29ac35d","25 tracked files","6B907EE41CE3E3723DC0A184BCD481169A4BD45EDF71F36A51C3AB01B8EF0BCC","tar and expanded tree agree","excluded from publication payload","verified_control_only"
"TH_REPO","external_english_control","HOSGOOD_DERIVATIVE_LINEAGE","HEAD c4fd0e84d4387a6d6f337efaf31cbd9788ed4ff7 and tree 2b020e763d57cb9167517cb7fd7e80211ca82f1c","282 commits","c4fd0e84d4387a6d6f337efaf31cbd9788ed4ff7","clean clone strict Git check and authorship history","no root translation license and personal-use notice","verified_control_only"
"TH_I_1","external_english_unit","HOSGOOD_DERIVATIVE_LINEAGE","HEAD c4fd0e8","1432 bytes","26FC387AE5D3A8E27CC3F0FCC7205A9224450060D3D8081D2833A5686E93A167","tracked unit and Git history","correlated with earlier repository and excluded from payload","verified_control_only"
