decision_id,source_lines,decision_category,selected_english_convention,rejected_regression_category,evidence_channel,review_status
I01-001,564-566,scope ambiguity,at least after no. I.2 with ambiguity preserved,unsupported directional resolution,French TeX and independent source-first review,closed_literal_ambiguity_preserved
I01-002,568-569,heading register,Notions of differential calculus,flattened heading register,French TeX heading comparison,closed
I01-003,570-573,alternate notation,retain both diagonal notations,notation omission,French TeX and notation anchor,closed
I01-004,570,base relation,prescheme over Y,nonstandard base relation,French TeX and lane terminology baseline,closed
I01-005,577-581,parenthetical structure,retain N.B. dashes and terminal ellipsis,structural loss or unsupported addition,French TeX structure review,closed
I01-006,578-579,lexical register,farcical with no added location adverb,semantic weakening or unsupported addition,French lexical evidence and source-first review,closed
I01-007,580,source-exact notation,preserve the authority subscript exactly,silent mathematical repair,exact formula-token comparison,closed_source_exact
I01-008,581-584,prose register,may be regarded and active we denote it,colloquial or needlessly passive recasting,French prose and formula comparison,closed
I01-009,587-588,technical term,behaves well under base change,uncontrolled literalism or expansion,French TeX and manager terminology baseline,closed
I01-010,588-590,formula layout,inline equality with calligraphic P,display conversion or font-family substitution,French TeX layout and token comparison,closed
I01-011,592-596,emphasis and number,emphasized rings and singular resulting prescheme,loss of emphasis or plural restructuring,French TeX structure review,closed
I01-012,596,spelling,n-th infinitesimal neighborhood,British spelling drift,French TeX and shared style baseline,closed
I01-013,600,logic term,singular sorites,unnecessary lexical replacement or plural agreement,French lexical evidence and English technical usage,closed
I01-014,600-601,citation placement,although rather long with footnote before semicolon,conditional shift or footnote relocation,French TeX citation structure,closed
I01-015,601-603,closing sense,speak only when there is something useful to say in connection with smooth morphisms,instrumental-use shift or unsupported exclusivity,French prose and lexical review,closed
I01-016,570-603,paragraph structure,one continuous paragraph,paragraph or display restructuring,French TeX paragraph structure,closed
I01-017,556-603,structural apparatus,retain labels notation anchors and qualified source-page marker; defer printed index entry,silent loss or misleading standalone index,French TeX structural mapping,closed_with_documented_index_omission
