file,start_line,end_line,chars,possible_translated_python_keywords,sample
digital_modulation.rst,298,299,0,,
digital_modulation.rst,320,321,0,,
digital_modulation.rst,334,335,0,,
filters.rst,118,133,871,,    h =  [ 9.92977939e-04  1.08410297e-03  8.51595307e-04  1.64604862e-04 |      -1.01714338e-03 -2.46268845e-03 -3.58236429e-03 -3.55412543e-03 |      -1.68583512e-03  2.10562324e-03  6.93100252e-03  1.09302641e-02 |       1.
filters.rst,192,220,1851,,"    h =  [-0.00025604525581002235, 0.00013669139298144728, 0.0005385575350373983, |     0.0008378280326724052, 0.000906112720258534, 0.0006353431381285191, |     -9.884083502996931e-19, -0.0008822851814329624, -0.00173231423"
filters.rst,223,239,361,,    import numpy as np |     from scipy import signal |     import matplotlib.pyplot as plt |  |     num_taps = 51 # it helps to use an odd number of taps |     cut_off = 3000 # Hz |     sample_rate = 32000 # Hz |  |     # create our lo
filters.rst,249,257,270,\bв\b,"    # будуємо частотну характеристику |     H = np.abs(np.fft.fft(h, 1024)) # взяти 1024-точкове ШПФ та амплітуду |     H = np.fft.fftshift(H) # робимо 0 Гц в центрі |     w = np.linspace(-sample_rate/2, sample_rate/2, len(H))"
filters.rst,283,309,961,,"    # (h було знайдено за допомогою першого фрагмента коду) |  |     #  Зсуваємо фільтр за частотою множенням на exp(j*2*pi*f0*t) |     f0 = 10e3 # величина, на яку будемо зсувати |     Ts = 1.0/sample_rate # період дискретизаці"
filters.rst,493,501,200,,"    import numpy as np |     import matplotlib.pyplot as plt |     H = np.hstack((np.zeros(20), np.arange(10)/10, np.zeros(20))) |     w = np.linspace(-0.5, 0.5, 50) |     plt.plot(w, H, '.-') |     plt.show() | "
filters.rst,517,524,162,,"    h = np.fft.ifftshift(np.fft.ifft(np.fft.ifftshift(H)) |     plt.plot(np.real(h)) |     plt.plot(np.imag(h)) |     plt.legend(['real','imag'], loc=1) |     plt.show() | "
filters.rst,531,536,92,,"    H_fft = np.fft.fftshift(np.abs(np.fft.fft(h, 1024))) |     plt.plot(H_fft) |     plt.show() | "
filters.rst,545,550,138,,"    # Після створення h за допомогою попереднього коду, створюємо і застосовуємо вікно |     window = np.hamming(len(h)) |     h = h * window | "
filters.rst,557,564,179,,"    H = np.hstack((np.zeros(200), np.arange(100)/100, np.zeros(200))) |     w = np.linspace(-0.5, 0.5, 500) |     plt.plot(w, H, '.-') |     plt.show() |     # (решта коду не змінюється) | "
frequency_domain.rst,333,334,0,,
frequency_domain.rst,347,348,0,,
frequency_domain.rst,353,356,374,,"    S = array([-0.01865008 +0.00000000e+00j, -0.01171553 -2.79073782e-01j,0.02526446 -8.82681208e-01j, 3.50536075 -4.71354150e+01j, -0.15045671 +1.31884375e+00j, -0.10769903 +7.10452463e-01j, -0. 09435855 +5.01303240e-01"
frequency_domain.rst,387,388,0,,
frequency_domain.rst,393,394,0,,
frequency_domain.rst,434,435,0,,
frequency_domain.rst,465,466,0,,
frequency_domain.rst,485,486,0,,
frequency_domain.rst,539,540,0,,
iq_files.rst,35,60,1130,\bв\b,"    import numpy as np |     import matplotlib.pyplot as plt |  |     num_symbols = 10000 |  |     # Масив x_symbols міститиме комплексні числа, що представляють символи QPSK. Кожен символ буде комплексним числом |     # з модулем 1"
iq_files.rst,65,77,352,,"    import numpy as np |     import matplotlib.pyplot as plt |  |     samples = np.fromfile('qpsk_in_noise.iq', np.complex64) # Читаємо у файл.  Треба вказати, у якому він форматі |     print(samples) |  |     # Побудуємо сузір'я, щ"
iq_files.rst,84,85,0,,
iq_files.rst,90,91,0,,
iq_files.rst,102,103,0,,
iq_files.rst,113,114,0,,
iq_files.rst,129,130,0,,
