name,pdf,status,pages,flagged_pages,flags
prior_format_qc,[working build path],audited,144,0,
delta_format_checked,[working build path],audited,19,0,
zuazua_ch01_03_format_checked,[working build path],audited,34,1,blank_or_low_content
sensor_fusion_2410_event,[working build path],audited,8,0,
sensor_fusion_2506_full,[working build path],audited,19,0,
antenna_peeterjoot_format_checked,[working build path],audited,23,1,blank_or_low_content
autonomous_robots_correll_format_checked,[working build path],audited,45,0,
roth_robust_filter,[working build path],audited,9,0,
spark_micro_lie_partial,[working build path],audited,4,0,
blackman_working_ocr_gap_format_checked,[working build path],audited,10,0,

