"source_artifact","file_kind","path","relative_path","sha256","bytes","indexed_utc"
"r3_source_canon_witness_layer","captured_source_payload","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\ar_pdf_hiast_algebra_vol2_linear_algebra.pdf","fetched\ar_pdf_hiast_algebra_vol2_linear_algebra.pdf","9E1A2EC4E2CD27889748DF75DCB9F631734F105A2E19BF542AD52F26470DB06F","9490179","20260704T204214Z"
"r3_source_canon_witness_layer","captured_source_payload","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\ar_wikibooks_linear_systems_raw.wiki.txt","fetched\ar_wikibooks_linear_systems_raw.wiki.txt","1C42729D36326EAAE4F8C528D26B9777D61A0DCD87840FFB6CEB295BA4FD72DC","3696","20260704T204214Z"
"r3_source_canon_witness_layer","captured_source_payload","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\ar_wikibooks_matrices_raw.wiki.txt","fetched\ar_wikibooks_matrices_raw.wiki.txt","F1FADB95A074728BF7B5C6A03468EEFD63BA000BE75A9BE4302B2CD3479FC87E","3060","20260704T204214Z"
"r3_source_canon_witness_layer","captured_source_payload","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\ar_wikipedia_frank_grosshans_raw.wiki.txt","fetched\ar_wikipedia_frank_grosshans_raw.wiki.txt","D8F9C4774F628E5C9041C20F11E34A6F83327574EEA532F4E0FA7E45151EC592","2377","20260704T204214Z"
"r3_source_canon_witness_layer","captured_source_payload","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\ar_wikipedia_linear_algebra_raw.wiki.txt","fetched\ar_wikipedia_linear_algebra_raw.wiki.txt","3762E086A6268F425014603D2E31867CB8B2A566F4AA1D9559D511E9B8173103","22214","20260704T204214Z"
"r3_source_canon_witness_layer","captured_source_payload","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\ar_wikipedia_vector_space_raw.wiki.txt","fetched\ar_wikipedia_vector_space_raw.wiki.txt","0281433D2944392DB236F4650CB57007F28AF0BDA36B2454A853EDDAC93380CA","14506","20260704T204214Z"
"r3_source_canon_witness_layer","captured_source_payload","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\dari_knu_opac_linear_algebra_record.html","fetched\dari_knu_opac_linear_algebra_record.html","E8BD851458C1EC5BED1DCC121CF7B979FA43B2106507E510F953E4093F109241","59588","20260704T204214Z"
"r3_source_canon_witness_layer","captured_source_payload","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\dari_knu_software_engineering_curriculum_linear_algebra.pdf","fetched\dari_knu_software_engineering_curriculum_linear_algebra.pdf","960C27E2A150E660616BF98DF251ED22188169D0392A5C62A91FE75E7F2120C8","3620606","20260704T204214Z"
"r3_source_canon_witness_layer","captured_source_payload","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\fa_github_sirejeff_persian_main_tex.tex","fetched\fa_github_sirejeff_persian_main_tex.tex","AA4207AE05BA1804FFB3BBE8265954571BE276E75A8CB7A1656A72ED92417427","6280","20260704T204214Z"
"r3_source_canon_witness_layer","captured_source_payload","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\fa_github_sirejeff_repo_metadata.json","fetched\fa_github_sirejeff_repo_metadata.json","11720593D60DB2D657DA344CB250B254B0324084010446F9C8E402EAB23AF56A","6385","20260704T204214Z"
