record_id,record_type,parent_id,revision,revision_of,supersedes,superseded_by,volume,expose,unit,source_lines,source_locator,authority_role,authority_sha256,source_reading,target_reading,decision,status,confidence,evidence_path,evidence_bytes,evidence_sha256,raw_cursor,substantive_cursor,release_state,revisit_condition
SGA2-X-L3555-L3566-L39P-INDEPENDENT-SEAL@1,independent_seal,,1,,,,SGA2,X,Lemma 3.9 proof,3555-3566,printed120-121;physical104-105;running96-97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,complete source proof,complete source-aligned English proof,independently seal bounded unit,independent_review_pass,high,INDEPENDENT_FINAL_AUDIT.md,2698,C07B84088B595A42C6C57557A0C309B10BDDC61AAF29AB85D9A1BFB73A8CC7AF,3567,3568,internal_archive_eligible_pending_custody_handoff,archive_custody_and_rights_gate
SGA2-X-L39P-IR-AUTHORITY@1,authority_control,SGA2-X-L3555-L3566-L39P-INDEPENDENT-SEAL@1,1,,,,SGA2,X,authority,3555-3566,printed120-121;physical104-105;running96-97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,corrected arXiv TeX,authority unchanged,bind exact authority,authority_pass,high,INDEPENDENT_SOURCE_LINES_3555_3566_LATIN1_LF.tex,1649,63C502072142A4EB0648176F8744C9BE11453BD0FE089C41098D2146C3DBB289,3567,3568,internal_archive_eligible_pending_custody_handoff,archive_custody_and_rights_gate
SGA2-X-L39P-IR-BOUNDARY@1,boundary_control,SGA2-X-L3555-L3566-L39P-INDEPENDENT-SEAL@1,1,,,,SGA2,X,boundary,3555-3568,printed120-121;physical104-105;running96-97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,proof lines then blank and next proof,raw3567/substantive3568,exclude adjacent units,boundary_pass,high,INDEPENDENT_SOURCE_LINES_3555_3566_LATIN1_LF.tex,1649,63C502072142A4EB0648176F8744C9BE11453BD0FE089C41098D2146C3DBB289,3567,3568,internal_archive_eligible_pending_custody_handoff,archive_custody_and_rights_gate
SGA2-X-L39P-IR-LOCATORS@1,locator_control,SGA2-X-L3555-L3566-L39P-INDEPENDENT-SEAL@1,1,,,,SGA2,X,locators,3555-3566,printed120-121;physical104-105;running96-97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,printed120-121;physical104-105;running96-97,same three distinct locators,record line3566 page span,locator_pass,high,INDEPENDENT_RENDERED_VISUAL_QA.md,2024,B54BB7B56E83C8BCEC551A407355F084353125D8AE9DBA3F0C5F7B857C556729,3567,3568,internal_archive_eligible_pending_custody_handoff,archive_custody_and_rights_gate
SGA2-X-L39P-IR-TRANSLATION@1,translation_control,SGA2-X-L3555-L3566-L39P-INDEPENDENT-SEAL@1,1,,,,SGA2,X,translation,3555-3566,printed120-121;physical104-105;running96-97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,complete French proof,complete English proof,preserve meaning and logical direction,translation_pass,high,INDEPENDENT_FINAL_AUDIT.md,2698,C07B84088B595A42C6C57557A0C309B10BDDC61AAF29AB85D9A1BFB73A8CC7AF,3567,3568,internal_archive_eligible_pending_custody_handoff,archive_custody_and_rights_gate
SGA2-X-L39P-IR-SCHEME-DIAGRAM@1,diagram_control,SGA2-X-L3555-L3566-L39P-INDEPENDENT-SEAL@1,1,,,,SGA2,X,scheme square,3561-3562,printed120-121;physical104-105;running96-97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,four vertices/four arrows,same vertices and directions,preserve scheme square,diagram_pass,high,INDEPENDENT_TARGET_PAGE_001_200DPI.png,315030,625192D85474BE268CC5B59C1E2086DE4F4EB2AE457F5BF4718ABE45682902DD,3567,3568,internal_archive_eligible_pending_custody_handoff,archive_custody_and_rights_gate
SGA2-X-L39P-IR-CATEGORY-DIAGRAM@1,diagram_control,SGA2-X-L3555-L3566-L39P-INDEPENDENT-SEAL@1,1,,,,SGA2,X,category square,3561-3562,printed120-121;physical104-105;running96-97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,four Et vertices/eight total arrows,"a,d right; c,b down",preserve category square,diagram_pass,high,INDEPENDENT_TARGET_PAGE_001_200DPI.png,315030,625192D85474BE268CC5B59C1E2086DE4F4EB2AE457F5BF4718ABE45682902DD,3567,3568,internal_archive_eligible_pending_custody_handoff,archive_custody_and_rights_gate
SGA2-X-L39P-IR-ET@1,notation_control,SGA2-X-L3555-L3566-L39P-INDEPENDENT-SEAL@1,1,,,,SGA2,X,Et notation,3557-3566,printed120-121;physical104-105;running96-97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,Et unhatted,Et unhatted; formal argument hatted,reject hatted Et,notation_pass,high,INDEPENDENT_JCREINHOLD_COMPARISON_LINES416_444.md,1787,992EBE36A224A50EC0468E84DA5F9357BB0CE825E904346508D0812A177634C9,3567,3568,internal_archive_eligible_pending_custody_handoff,archive_custody_and_rights_gate
SGA2-X-L39P-IR-LEFF@1,notation_control,SGA2-X-L3555-L3566-L39P-INDEPENDENT-SEAL@1,1,,,,SGA2,X,Leff notation,3566,printed120-121;physical104-105;running96-97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,"Leff(X,Y)","Leff(X,Y)",preserve technical predicate,notation_pass,high,INDEPENDENT_TARGET_EXTRACTED_TEXT.txt,3141,14F424754538CC6C3595C67FBC6DE83DFAE3F0D38F103B3436C3B4EDDC74E65C,3567,3568,internal_archive_eligible_pending_custody_handoff,archive_custody_and_rights_gate
SGA2-X-L39P-IR-LOGIC-I@1,logic_control,SGA2-X-L3555-L3566-L39P-INDEPENDENT-SEAL@1,1,,,,SGA2,X,part i,3564,printed120-121;physical104-105;running96-97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,"c,d equivalences; b fully faithful",same properties and hypotheses,preserve distinctions,logic_pass,high,INDEPENDENT_TARGET_EXTRACTED_TEXT.txt,3141,14F424754538CC6C3595C67FBC6DE83DFAE3F0D38F103B3436C3B4EDDC74E65C,3567,3568,internal_archive_eligible_pending_custody_handoff,archive_custody_and_rights_gate
