"row_type","witness_id","language","source_title","source_url","source_type","local_path","sha256","bytes","text_path","text_sha256","text_bytes","http_status","content_type","pdf_signature","access_license_signal","topic_tags","evidence_status","result_class","context_hit_summary","hard_row_hit_summary","source_canon_value_and_gap","next_gate","non_claim_boundary"
"control_or_register","CTRL-AGENTS","control","repository instructions","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\AGENTS.md","EE41CF302952ADC624160B9A94CC5AE4CD3EB61B309115F61D1316D0EF039548","6731","","","0","local","","","local coordination/control artifact","repository instructions","observed","control_anchor","","","Repository instruction hash anchor.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"control_or_register","CTRL-COPILOT","control","copilot instructions","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\.github\copilot-instructions.md","CBF1788357F102CE372EF35606FD931AE8A79F782C1B495C96B78351A93AE34A","2369","","","0","local","","","local coordination/control artifact","copilot instructions","observed","control_anchor","","","Copilot instruction hash anchor.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"control_or_register","CTRL-PARENT","control","parent ledger","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","6A62B3E8AFF39A6A55B682915ADF4213CBC4C977551696AAC776D99F8279F995","521142","","","0","local","","","local coordination/control artifact","parent ledger","observed","control_anchor","","","Parent ledger hash anchor for Event 051.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"control_or_register","CTRL-STEERING","control","source-canon steering","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","4993","","","0","local","","","local coordination/control artifact","source-canon steering","observed","control_anchor","","","Source-canon-first steering hash anchor.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"control_or_register","R2-REGISTER-BOUNDARY","control","R2 normalized register","","register_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv","5BFD1920A01B1079A1C1047553ABD4313276185B8EA4C7D26A809B22092A49D7","75220","","","0","local","","","local coordination/control artifact","R2 normalized register","observed","control_anchor","","","rows=61; source_level_tex_archive_rows=0; explicit_hard_blocker_gap_rows=8","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"control_or_register","R2-HARD-ROWS","control","R2 hard-row ledger","","hard_rows_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_HARD_ROWS_20260704.csv","8B7D4BA66E9311E7475984148DB296E81DF7D66A7804E515239D2F0B061301CE","1398","","","0","local","","","local coordination/control artifact","R2 hard-row ledger","observed","control_anchor","","","rows=8; Turkmen open_gap=2; all_open_gap=6; candidate_only=2","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"current_turkmen_source_probe","TK-CUR-051-001","Turkmen","Scribd Hudaýberenow Ýokary Matematika 2018","https://www.scribd.com/document/713967058/Huda%C3%BDberenow-O-%C3%9Dokary-Matematika-2018-Turkmen-Dowlet-Ne%C5%9Fir%C3%BDat-Gullugy","html_or_error_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-001_scribd_yokary_matematika_2018.html","32ED63159C77E21EE19CA1B9AA3213CCF0218EB59539560B132A8E68EF0E18EA","3038","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-001_scribd_yokary_matematika_2018.txt","7A4D2066C8CE04BE2529591F02CC22D3FD9993C1649863BD537A2D4421087D14","3040","200 OK","text/html; charset=utf-8","False","Scribd page; public web text; page states all rights reserved; no license clearance","Turkmen;higher mathematics;polynomial context search lead","html_captured_no_local_context_hits","low_access_web_capture_not_source_row","0","0","Search-visible Turkmen higher-mathematics textbook lead, but local HTML capture contained no configured Turkmen math context or hard-row hits. Treat as access/provenance attempt only.","Need accessible PDF/TXT/source body with local text before using as source witness.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"current_turkmen_source_probe","TK-CUR-051-002","Turkmen","Scribd 7 Algebra","https://www.scribd.com/document/685386439/7-Algebra","html_or_error_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-002_scribd_7_algebra.html","32ED63159C77E21EE19CA1B9AA3213CCF0218EB59539560B132A8E68EF0E18EA","3038","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-002_scribd_7_algebra.txt","7A4D2066C8CE04BE2529591F02CC22D3FD9993C1649863BD537A2D4421087D14","3040","200 OK","text/html; charset=utf-8","False","Scribd page; public web text; no license clearance","Turkmen;algebra;polynomial context search lead","html_captured_no_local_context_hits","low_access_web_capture_not_source_row","0","0","Search-visible Turkmen algebra textbook lead, but local HTML capture contained no configured Turkmen math context or hard-row hits. Treat as access/provenance attempt only.","Need accessible PDF/TXT/source body with local text before using as source witness.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"current_turkmen_source_probe","TK-CUR-051-003","Turkmen","PubHTML5 Ýokary matematika analytic geometry and higher algebra","https://pubhtml5.com/znfx/acte/basic/","html_or_error_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-003_pubhtml5_yokary_matematika_algebra.html","529140AD0CCA99F844B4025E2ADACF972B79ED8F49F48B517F7F7B563ACA9B11","193077","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-003_pubhtml5_yokary_matematika_algebra.txt","C0322569A6E6D8CB266AF932BF902996E5BE97C9598BFBE5243D0A267267E349","193079","200 OK","text/html; charset=UTF-8","False","PubHTML5 web page; public HTML; license not established","Turkmen;higher mathematics;higher algebra;polynomial context","html_captured_context_hits","source_corpus_web_witness_context_only","köpagza=1; halka=1; Ýokary matematika=19; algebra=143; Algebra=1","0","Captured public HTML with local Turkmen higher-mathematics/algebra context hits including köpagza and halka. No exact polynomial-ring or Noetherian-ring hard-row hit surfaced.","Use as Turkmen source-corpus context only; exact ring source row still needed.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"current_turkmen_source_probe","TK-CUR-051-004","Turkmen","Kitaphana electronic book 2157","https://kitaphana.net/electronic-book/2157","pdf_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-004_kitaphana_2157.pdf","130F081CA7A90ECB9C023F24193ED4D3B4EF79E47B40262A82FCCA8529CF84A0","811729","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-004_kitaphana_2157.txt","37C0FB08E3568157AD49F287C5C40C2A6BDDA3BE2BB9EBFA2E51E185A198415E","98540","200 OK","application/octet-stream","True","Kitaphana public PDF response; license not established","Turkmen;higher mathematics;algebra;polynomial context","pdf_captured_text_extracted_context_hits","source_corpus_pdf_witness_context_only","köpagza=9; Köpagza=1; Ýokary matematika=1; Algebra=2","0","Captured actual PDF from Kitaphana book URL and extracted text. Local text has köpagza/Algebra context but no exact polynomial-ring or Noetherian-ring hard-row hit.","Use as Turkmen PDF source-corpus context only; exact ring source row still needed.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
