"field","value","source","boundary"
"current_frontier","330ab7bd9ef731ead2816975e0cde76d5435838d","git ls-remote origin refs/heads/codex/noether-pc-20260629","current OLP route visibility frontier"
"current_subject","Add 2BBE OLP 02F route packet set","git show 330ab7bd","B3 route packet set visibility only"
"parent_frontier","2bbebc4e7883ce89ec1dbee8543e47ce84356d19","git show 330ab7bd --parents","prior OLP packet frontier lineage"
"parent_subject","Add 02F 0BF OLP Persianate source-gap returns","git show 2bbebc4e","prior source-use/gap route lineage"
"compare_2bbe_to_330_ahead_by","1","git rev-list --count 2bbebc4e..330ab7bd","route delta count only"
"compare_2bbe_to_330_changed_paths","60","git diff --name-only 2bbebc4e..330ab7bd","route delta count only"
"interlanguage_governance_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_330AB7BD_2BBE_OLP_ROUTE_PACKET_SET_GOVERNANCE_20260707","interlanguage/Fable handoff","governance/source-use/gap context only"
"interlanguage_remote_matches_frontier","true","INTERLANGUAGE FINAL_VALIDATION.json","branch verification only"
"interlanguage_manifest_replay","OK=55/NONOK=0","INTERLANGUAGE FINAL_VALIDATION.json","manifest/hash verification only"
"b3_package_roots","3","INTERLANGUAGE FINAL_VALIDATION.json","B3 package visibility only"
"b3_package_files","48","INTERLANGUAGE FINAL_VALIDATION.json","B3 package visibility only"
"b3_manifest_bad","0","INTERLANGUAGE FINAL_VALIDATION.json","B3 verification only"
"b3_sha_bad","0","INTERLANGUAGE FINAL_VALIDATION.json","B3 verification only"
"b3_safety_hits","0","INTERLANGUAGE FINAL_VALIDATION.json","B3 safety context only"
"b3_post_2bbe_olp_packet_set","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_2BBEBC4E_OLP_02F_ROUTE_PACKET_SET_20260707","B3 output discovery","B3 package/reference context only"
"direct_source_body_evidence_changed","false","OLP 330 packet generation and governance handoff","no source-body promotion"
"source_body_promotions","0","OLP 330 route accounting","zero-claim boundary"
"real_reviewer_return_rows","0","OLP 330 review-boundary accounting","no direct reviewer/source return evidence changed"
"mapping_count_delta","0","OLP 330 packet validation","zero unless direct evidence changes"
"translation_count_delta","0","OLP 330 packet validation","zero unless direct evidence changes"
"approval_count_delta","0","OLP 330 packet validation","zero unless direct evidence changes"
"generated_draft_noncanonical_boundary","preserved","interlinear/terminology package guard","no native review or accepted terminology claim"
"five_hour_reset_rule","after any five-hour pause or app/token/rate-limit reset, reread heartbeat/logbook/state, verify branch/frontier if possible, wake stale siblings, and continue from artifacts","current heartbeat/delegation rule","recovery procedure only"
"generated_utc","2026-07-07T17:02:24Z","local packet refresh","artifact timestamp only"
"packet_kind","interlinear/terminology generated-draft/non-canonical","OLP package role","lane support only"
"previous_package","OLP_2BBEBC4E_INTERLINEAR_TERMINOLOGY_02F_ROUTE_20260707","local artifact lineage","prior context only"
