segment_id,source_line_start,source_line_end,logic_role,scope_constraints,target_sentence_ids,review_status,source_text_sha256,source_text
M001,20985,20985,title_metadata,work title explicitly bound as separate metadata range,T-M1,accounted,C1B69C97D7E445D2A55EEE2BB8FBD9C61BC202C1E97DB8224E21AB2C9FC9B596,{\LARGE\bfseries Algebra der hyperkomplexen Größen\par}
M002,20987,20988,course_metadata,lecturer and winter-semester date explicitly bound as separate metadata range,T-M2,accounted,FC4302A2E63743BF4DDFAB8B4DF4B6AB671DD3B5578A918C29507833B2C9D6C4,{\large Vorlesung von Prof. E. Noether\par} ⏎ {\large W. S. 1929/30\par}
M003,20990,20990,byline_metadata,compiler byline explicitly bound as separate metadata range,T-M3,accounted,E2A1002FA1BCDFB342035EC20FF6EFDF339B5D11FF7FFA59721BD0FBD0B05018,{\large Ausgearbeitet von Prof. M. Deuring\par}
S001,21047,21047,heading,Introduction heading preserved,T-H1,accounted,7A5D4289E475E613A39101BD08EE6A24F80741CC46546D5ED5BBB23661D7318F,\section*{Einleitung}\label{einleitung}
S002,21049,21049,course_topic,representation theory modifies rings,T-001,accounted,692E3EC725A04A2656B93797E2946CAF2A1786E6EBF85D1088046633B6C49EB7,"Diese Vorlesung behandelt die allgemeine Darstellungstheorie der Ringe, die aus der Theorie der Darstellungen von endlichen Gruppen einerseits, aus der algebraischen und arithmetischen Theorie der hyperkomplexen Zahlsysteme andererseits hervorgewachsen ist. Diese allgemeinere Auffassung der Darstellungstheorie hat vor der bisherigen (Frobenius, Schur) folgende Vorzüge:"
S003,21049,21049,dual_origin,einerseits/andererseits both retained,T-002;T-003,accounted,692E3EC725A04A2656B93797E2946CAF2A1786E6EBF85D1088046633B6C49EB7,"Diese Vorlesung behandelt die allgemeine Darstellungstheorie der Ringe, die aus der Theorie der Darstellungen von endlichen Gruppen einerseits, aus der algebraischen und arithmetischen Theorie der hyperkomplexen Zahlsysteme andererseits hervorgewachsen ist. Diese allgemeinere Auffassung der Darstellungstheorie hat vor der bisherigen (Frobenius, Schur) folgende Vorzüge:"
S004,21049,21049,comparison_lead,advantages relative to Frobenius/Schur conception,T-004,accounted,692E3EC725A04A2656B93797E2946CAF2A1786E6EBF85D1088046633B6C49EB7,"Diese Vorlesung behandelt die allgemeine Darstellungstheorie der Ringe, die aus der Theorie der Darstellungen von endlichen Gruppen einerseits, aus der algebraischen und arithmetischen Theorie der hyperkomplexen Zahlsysteme andererseits hervorgewachsen ist. Diese allgemeinere Auffassung der Darstellungstheorie hat vor der bisherigen (Frobenius, Schur) folgende Vorzüge:"
S005,21051,21051,causal_generalization,not group but group ring plus broader objects,T-005;T-006,accounted,517D9D64E036552142EADA2144CF14A0314018FC1645B0D60F973B6197836070,"Man kann, weil nicht die Gruppe, sondern der Gruppenring, allgemeiner ein hyperkomplexes System oder ein beliebiger Ring betrachtet wird, die Theorie der Ringe und Ideale verwenden, was zu einer Befreiung der Theorie von vielen unübersichtlichen Rechnungen führt. Diese Verwendung der allgemeinen Ring- und Idealtheorie vereinfacht aber nicht nur die Theorie, sondern bringt sie auch weiter --- z.B. in der Frage nach den Beziehungen einer Gruppe mit ihren Untergruppen --- und erschließt ihr neue Anwendungsgebiete. Man kann mit Hilfe der allgemeinen Darstellungstheorie eine neue, sehr elegante Begründung der galoisschen Theorie geben und --- das ist vielleicht noch wichtiger --- eine galoissche Theorie der nichtkommutativen Körper aufstellen."
S006,21051,21051,result,ring/ideal theory removes opaque calculations,T-007,accounted,517D9D64E036552142EADA2144CF14A0314018FC1645B0D60F973B6197836070,"Man kann, weil nicht die Gruppe, sondern der Gruppenring, allgemeiner ein hyperkomplexes System oder ein beliebiger Ring betrachtet wird, die Theorie der Ringe und Ideale verwenden, was zu einer Befreiung der Theorie von vielen unübersichtlichen Rechnungen führt. Diese Verwendung der allgemeinen Ring- und Idealtheorie vereinfacht aber nicht nur die Theorie, sondern bringt sie auch weiter --- z.B. in der Frage nach den Beziehungen einer Gruppe mit ihren Untergruppen --- und erschließt ihr neue Anwendungsgebiete. Man kann mit Hilfe der allgemeinen Darstellungstheorie eine neue, sehr elegante Begründung der galoisschen Theorie geben und --- das ist vielleicht noch wichtiger --- eine galoissche Theorie der nichtkommutativen Körper aufstellen."
S007,21051,21051,not_only_but_also,logical pairing and subgroup example retained,T-008;T-009,accounted,517D9D64E036552142EADA2144CF14A0314018FC1645B0D60F973B6197836070,"Man kann, weil nicht die Gruppe, sondern der Gruppenring, allgemeiner ein hyperkomplexes System oder ein beliebiger Ring betrachtet wird, die Theorie der Ringe und Ideale verwenden, was zu einer Befreiung der Theorie von vielen unübersichtlichen Rechnungen führt. Diese Verwendung der allgemeinen Ring- und Idealtheorie vereinfacht aber nicht nur die Theorie, sondern bringt sie auch weiter --- z.B. in der Frage nach den Beziehungen einer Gruppe mit ihren Untergruppen --- und erschließt ihr neue Anwendungsgebiete. Man kann mit Hilfe der allgemeinen Darstellungstheorie eine neue, sehr elegante Begründung der galoisschen Theorie geben und --- das ist vielleicht noch wichtiger --- eine galoissche Theorie der nichtkommutativen Körper aufstellen."
