"language","source_use_label","rows","status"
"Azerbaijani","native-source-body","3","from MANIFEST.csv before reset-P support append"
"Azerbaijani","OCR-witness","2","from MANIFEST.csv before reset-P support append"
"Azerbaijani","pointer-only","4","from MANIFEST.csv before reset-P support append"
"Azerbaijani","source-rescribe-workpass","1","from MANIFEST.csv before reset-P support append"
"Bashkir","native-source-body","2","from MANIFEST.csv before reset-P support append"
"Bashkir","pointer-only","2","from MANIFEST.csv before reset-P support append"
"Bashkir","source-rescribe-workpass","2","from MANIFEST.csv before reset-P support append"
"Kazakh","native-source-body","2","from MANIFEST.csv before reset-P support append"
"Kazakh","pointer-only","2","from MANIFEST.csv before reset-P support append"
"Kyrgyz","native-source-body","5","from MANIFEST.csv before reset-P support append"
"Kyrgyz","OCR-witness","3","from MANIFEST.csv before reset-P support append"
"Kyrgyz","pointer-only","2","from MANIFEST.csv before reset-P support append"
"Kyrgyz","source-rescribe-workpass","2","from MANIFEST.csv before reset-P support append"
"package","audit-ledger","1","from MANIFEST.csv before reset-P support append"
"package","generated-draft","3","from MANIFEST.csv before reset-P support append"
"package","manifest","1","from MANIFEST.csv before reset-P support append"
"package","method-note","3","from MANIFEST.csv before reset-P support append"
"Tatar","native-source-body","7","from MANIFEST.csv before reset-P support append"
"Tatar","OCR-witness","3","from MANIFEST.csv before reset-P support append"
"Tatar","pointer-only","2","from MANIFEST.csv before reset-P support append"
"Tatar","rejected","1","from MANIFEST.csv before reset-P support append"
"Tatar","source-rescribe-workpass","3","from MANIFEST.csv before reset-P support append"
"Turkish","native-source-body","55","from MANIFEST.csv before reset-P support append"
"Turkish","OCR-witness","4","from MANIFEST.csv before reset-P support append"
"Turkmen","native-source-body","7","from MANIFEST.csv before reset-P support append"
"Turkmen","OCR-witness","2","from MANIFEST.csv before reset-P support append"
"Turkmen","pointer-only","4","from MANIFEST.csv before reset-P support append"
"Turkmen","source-rescribe-workpass","5","from MANIFEST.csv before reset-P support append"
"Uyghur","native-source-body","11","from MANIFEST.csv before reset-P support append"
"Uyghur","pointer-only","2","from MANIFEST.csv before reset-P support append"
"Uyghur","source-rescribe-workpass","11","from MANIFEST.csv before reset-P support append"
"Uzbek","native-source-body","5","from MANIFEST.csv before reset-P support append"
"Uzbek","pointer-only","2","from MANIFEST.csv before reset-P support append"
