"language","bcp47","term_slot","target_rendering","alternatives","source_context","formula_neighboring_usage","interlinear_scaffold","status"
"Turkish","tr","Noetherian ring","Noether halkası / Noetherian halka","Noether koşulunu sağlayan halka; Noether modül context where source speaks of modules","TR-NOETH-001 and TR-NOETH-002 packaged PDFs/text sidecars","Use around ring/module formulas only where source context has halka/modül/ideal; preserve R, I, M notation.","Noether + halka-si; adjective/name retention varies by source register.","generated-draft; non-canonical; not native-reviewed"
"Turkish","tr","polynomial ring","polinom halkası","polinomlar halkası; R[x] polinom halkası","TR-EXP-001 polynomial rings; TR-EXP-002 finite-field quotient context","Formula-neighboring pattern: R[x], F[x]/(p(x)); retain notation and align case suffixes outside formulas.","polinom + halka-si; possessive/case governed by surrounding Turkish syntax.","generated-draft; non-canonical; not native-reviewed"
"Tatar","tt","polynomial base context","күпбуын (base polynomial context only)","polynomial-ring term not supported","TT-PDF and TT current probe captures show polynomial/algebra lexical context; no exact ring composition","Do not render R[x] row as closure; mark source-acquisition gap near formulas.","base lexical note only; no Pan-Turkic bridge/promotion","generated-draft context note; non-canonical; gap remains"
"Kyrgyz","ky","polynomial base context","көп мүчө (base polynomial context only)","polynomial-ring term not supported","KY-CUR-055-001/002 and Kyrgyz PDFs packaged","Use as context for polynomial, not as polynomial ring without exact witness.","көп + мүчө; no ring-compound closure","generated-draft context note; non-canonical; gap remains"
"Turkmen","tk","polynomial/algebra base context","köpagza / algebra context only","polynomial-ring and Noetherian-ring term not supported","TK current source gate and prior Turkmen captures packaged","Keep R[x] rows blocked pending exact source/reviewer return.","base lexical/context scaffold only","generated-draft context note; non-canonical; gap remains"
"Uyghur","ug","Noetherian ring / polynomial ring","نوئېتېر ھالقىسى / كۆپ ئەزالىق ھالقا (candidate-only)","left/right Noetherian variants appear as separate candidate captures","UG-CUR-052-001..008 packaged; authority gate unresolved","Use only in candidate-draft notes; do not treat as canonical around R[x] or Noetherian hypotheses.","Noether + ring; multi-member/polynomial + ring; Arabic-script candidate only","generated-draft candidate; non-canonical; authority gate remains"
"Azerbaijani","az","ring/module adjacent","halqa; modul; ideal; qrup; cisim/meydan where source context permits","Noetherian/polynomial-ring terms not promoted","AZ institutional PDFs and prior Wikisun/KitabYurdu captures packaged","Align with exact source context for halqa/modul; no Noether/polynomial-ring closure.","adjacent algebra lexical scaffold only","generated-draft adjacent support; non-canonical"
"Uzbek","uz","algebra/linear algebra adjacent","algebra; chiziqli algebra/fazo context where source permits","Noetherian/polynomial-ring terms not supported","UZ encyclopedia and prompt-a3 source captures packaged","Use only for adjacent linear algebra rows; URL gaps must be resolved before publication for prompt-a3 captures.","adjacent row scaffold only","generated-draft adjacent support; non-canonical"
"Kazakh","kk","linear algebra/invariant adjacent","сызықтық алгебра; invariant/invariant context where source permits","Noetherian/polynomial-ring terms not supported","KK text captures packaged","Use only for adjacent invariant/linear algebra contexts.","adjacent row scaffold only","generated-draft adjacent support; non-canonical"
"Bashkir","ba","algebra/math dictionary adjacent","алгебра; модуль; төркөм where source permits","Noetherian/polynomial-ring terms not supported","BA Bashenc algebra and Wikibooks math dictionary captures packaged","Use only for adjacent algebra/dictionary notes; no R2 hard-row closure.","Cyrillic adjacent lexicon scaffold only","generated-draft adjacent support; non-canonical"
