"record_id","append_sequence","recorded_at","unit_ids","category","resolution_state","symptom","residual_risk","mandarin_simplified_dominance_risk","lexical_attractor_basin","related_decision_ids","related_structural_ids","previous_record_sha256","record_sha256","review_state","revisit_condition"
"CJK-KO-P41-HARD-001","1","2026-08-04","U01;U02;U03;U04;U05;U06;U07;U08;U09;U10;U11;U12","authority_binding","resolved","Historical coordinate debt existed even though the preserved interval hash was exact.","R823 retains a one-token divergent ancestor reading and original-print adjudication remains absent.","not_applicable","not_applicable","CJK-KO-P41-001;CJK-KO-P41-003;CJK-KO-P41-004","NOE-P41-KO-WORK-001","","6BDE6C51E15457573FFF1467D21A953018A4AC637C095DDF9E4A9EF7DD010E28","producer_metadata_unchecked","Revisit only if a checker-confirmed primary-source finding is submitted under pointer v003."
"CJK-KO-P41-HARD-002","2","2026-08-04","U01;U02;U03;U04;U05;U06;U07;U08;U09;U10;U11;U12","language_evidence_gap","held","No accessible Korean-native historical algebra corpus or ko-KP evidence authorized the new lexicon.","Some fluent-looking Sino-Korean choices may be unattested or regionally marked.","active_qualitative_control","mixed/contested","CJK-KO-P41-002","NOE-P41-KO-WORK-001","6BDE6C51E15457573FFF1467D21A953018A4AC637C095DDF9E4A9EF7DD010E28","63D8351F084512E35999190F8D7E6516B102943F99EC888B4CED58409ADC8157","producer_metadata_unchecked","Independent Korean and ko-KP specialists must return explicit evidence."
"CJK-KO-P41-HARD-003","3","2026-08-04","U01;U02;U05;U06","terminology","held","The historical scope contrast can be flattened or activated by ordinary-language meanings.","A global replacement may be needed across title, formulations, and proof references.","evidence_debt","modern Sino-xenic coinage/calque","CJK-KO-P41-002","NOE-P41-KO-TITLE-001;NOE-P41-KO-U05","63D8351F084512E35999190F8D7E6516B102943F99EC888B4CED58409ADC8157","0E871D81F892E661FC2927F51F231675EBE351F8BF302BAF0ABA9B741538F84C","producer_metadata_unchecked","Independent Korean class-field-theory checker decision."
"CJK-KO-P41-HARD-004","4","2026-08-04","U01;U02;U03;U05;U06;U08","terminology","held","Several coupled cohomological senses invite literal or mutually inconsistent translations.","연관된 may be weaker than cohomological equivalence; 교차표현 may lack Korean attestation.","evidence_debt","modern Sino-xenic coinage/calque","CJK-KO-P41-002","NOE-P41-KO-U03;NOE-P41-KO-U05;NOE-P41-KO-U08","0E871D81F892E661FC2927F51F231675EBE351F8BF302BAF0ABA9B741538F84C","5F1C8DA14A64D153B3AEF83AB23D9BE58E16EAF076650889AF9DF210F0705C89","producer_metadata_unchecked","Independent Korean algebra/representation-theory checker."
"CJK-KO-P41-HARD-005","5","2026-08-04","U01;U02;U03","terminology","held","Historical order/module/normal-algebra vocabulary collides with modern Korean senses and prior producer choices.","An approved replacement must propagate across multiple papers and structural roles.","evidence_debt","mixed/contested","CJK-KO-P41-002","NOE-P41-KO-U01;NOE-P41-KO-U02;NOE-P41-KO-U03","5F1C8DA14A64D153B3AEF83AB23D9BE58E16EAF076650889AF9DF210F0705C89","8CB0C13F11A0B23DCA16C1C63C3D5AF764041790C167A6B50A399018567CEFFC","producer_metadata_unchecked","Corpus-wide Korean algebra checker decision."
"CJK-KO-P41-HARD-006","6","2026-08-04","U07;U08;U09;U12","terminology","held","Short Korean calques can activate everyday meanings rather than ideal-class structure.","Local substitutions can break the explicit equivalence among three formulations.","evidence_debt","mixed/contested","CJK-KO-P41-002","NOE-P41-KO-U07;NOE-P41-KO-U08;NOE-P41-KO-U09","8CB0C13F11A0B23DCA16C1C63C3D5AF764041790C167A6B50A399018567CEFFC","FC3FAB992801ACE0B6A06604543564340BD21A2D213A56CF51AAB83EFAA18670","producer_metadata_unchecked","Independent Korean class-field-theory checker."
"CJK-KO-P41-HARD-007","7","2026-08-04","U09;U10;U11;U12","terminology","held","Historical local arithmetic terms are false-friend prone and are embedded in a proof chain.","An incorrect term may invert the local/global argument even if formulas remain unchanged.","evidence_debt","mixed/contested","CJK-KO-P41-002","NOE-P41-KO-U09;NOE-P41-KO-U10;NOE-P41-KO-U11;NOE-P41-KO-U12","FC3FAB992801ACE0B6A06604543564340BD21A2D213A56CF51AAB83EFAA18670","D18F5BD4010688EC18C123C903D1DFB42EDA85C6D0325312A721F200DBBE2FC3","producer_metadata_unchecked","Independent Korean number-theory checker."
"CJK-KO-P41-HARD-008","8","2026-08-04","U01;U02;U03;U04","producer_write_failure","resolved","A normal JavaScript string consumed backslashes before inline math delimiters in the first U01-U04 patch payload.","Other TeX escapes could fail if future patch payloads repeat the same string path.","not_applicable","not_applicable","CJK-KO-P41-002","NOE-P41-KO-U01;NOE-P41-KO-U02;NOE-P41-KO-U03;NOE-P41-KO-U04","D18F5BD4010688EC18C123C903D1DFB42EDA85C6D0325312A721F200DBBE2FC3","F72948849ACF74F85ED3434666E393DCC49373023DBED62A782B1EA5FD80B363","producer_metadata_unchecked","Recur if any producer target is written through a normal unescaped JavaScript string."
"CJK-KO-P41-HARD-009","9","2026-08-04","U05;U06;U07;U08","producer_write_failure","resolved","First-return U05-U08 files lost backslashes before many inline delimiters; a first bulk-repair approach was reported unsuccessful before exact local repairs.","Repeated serialization paths can recreate the same defect; failed bulk-repair diagnostics are incomplete.","not_applicable","not_applicable","CJK-KO-P41-002","NOE-P41-KO-U05;NOE-P41-KO-U06;NOE-P41-KO-U07;NOE-P41-KO-U08","F72948849ACF74F85ED3434666E393DCC49373023DBED62A782B1EA5FD80B363","DB4C13B28474A4F98633584EC275C5C8975EF5D70C5DB8F0C247E0A20F546C36","producer_metadata_unchecked","Recur on any TeX target whose first write used unescaped JavaScript strings."
"CJK-KO-P41-HARD-010","10","2026-08-04","U01;U02;U03;U04;U05;U06;U07;U08;U09;U10;U11;U12","metadata_write_failure","resolved","The first choices-file patch used a normal JavaScript string and stripped backslashes from several Markdown math spans.","The same serialization bug affects Markdown containing TeX as well as TeX targets.","not_applicable","not_applicable","CJK-KO-P41-002","NOE-P41-KO-WORK-001","DB4C13B28474A4F98633584EC275C5C8975EF5D70C5DB8F0C247E0A20F546C36","4CC44D8ECB358573CEA342AC869842FD43B29AA4207029E30D57DF6184C471F3","producer_metadata_unchecked","Recur whenever Markdown evidence embeds TeX through JavaScript strings."
"CJK-KO-P41-HARD-011","11","2026-08-04","U01;U02;U03;U04;U05;U06;U07;U08;U09;U10;U11;U12","tooling_failure","resolved","Two bounded metadata commands failed at parse time with An empty pipe element is not allowed.","The idiom can recur in future metadata and inventory commands.","not_applicable","not_applicable","CJK-KO-P41-002","NOE-P41-KO-WORK-001","4CC44D8ECB358573CEA342AC869842FD43B29AA4207029E30D57DF6184C471F3","E8A2753772A5D53319CD1CA0C153907F97532D869FB0FD4369F90E32D41331F5","producer_metadata_unchecked","Recur on the next direct foreach-to-pipeline command."
"CJK-KO-P41-HARD-012","12","2026-08-04","U01;U02;U03;U04;U05;U06;U07;U08;U09;U10;U11;U12","tooling_failure","resolved","The first structural builder run failed with a parser error on $unit: before generated output was accepted.","Similar diagnostic strings can fail before validators run.","not_applicable","not_applicable","CJK-KO-P41-002;CJK-KO-P41-004","NOE-P41-KO-WORK-001;NOE-P41-KO-U12-RECEIPT-001","E8A2753772A5D53319CD1CA0C153907F97532D869FB0FD4369F90E32D41331F5","3752560033A7EE9D0ECC08E5374D992F02E4FEAC0759728FE3B0BC75592F55EA","producer_metadata_unchecked","Recur if a future PowerShell diagnostic interpolates an unbraced variable before punctuation."
"CJK-KO-P41-HARD-013","13","2026-08-04","U01;U02;U03;U04;U05;U06;U07;U08;U09;U10;U11;U12","tooling_failure","resolved","Initial validation found valid record self-hashes but predecessor-hash mismatches on records 002 through 012.","The initializer is reproducible, but any future scope refactor can reintroduce the same chain break.","not_applicable","not_applicable","CJK-KO-P41-002;CJK-KO-P41-004","NOE-P41-KO-WORK-001","3752560033A7EE9D0ECC08E5374D992F02E4FEAC0759728FE3B0BC75592F55EA","4E01704D6AAB25674EE588ECB14E4879B1B751A3106FB1FFC6C09CFB714BD06E","producer_metadata_unchecked","Revisit if the ledger initializer, hash algorithm, or serialization order changes."
"CJK-KO-P41-HARD-014","14","2026-08-04","U01;U02;U03;U04;U05;U06;U07;U08;U09;U10;U11;U12","tooling_failure","resolved","The initializer stopped at line 4 with Append-only ledger already exists before writing corrected bytes.","A future repair may again encounter an occupied canonical path; the guard must remain strict.","not_applicable","not_applicable","CJK-KO-P41-002;CJK-KO-P41-004","NOE-P41-KO-WORK-001","4E01704D6AAB25674EE588ECB14E4879B1B751A3106FB1FFC6C09CFB714BD06E","866888221970F77C34F2E1162F94F1A4B72A57DE383D86FDEACA1E9B3D350136","producer_metadata_unchecked","Revisit whenever initialization output paths already exist."
"CJK-KO-P41-HARD-015","15","2026-08-04","U01;U02;U03;U04;U05;U06;U07;U08;U09;U10;U11;U12","tooling_failure","resolved","The inventory command emitted Cannot convert System.Object[] to System.String for AdditionalChildPath and returned no identities.","The same construction is easy to repeat in compact PowerShell metadata commands.","not_applicable","not_applicable","CJK-KO-P41-004","NOE-P41-KO-WORK-001","866888221970F77C34F2E1162F94F1A4B72A57DE383D86FDEACA1E9B3D350136","7D954DED106337B48A8FD26FE606488AEC4AD8DC86312C0D1076D777D1B594F5","producer_metadata_unchecked","Recur if a future evidence inventory passes multiple intended paths to one Join-Path invocation."
"CJK-KO-P41-HARD-016","16","2026-08-04","U01;U02;U03;U04;U05;U06;U07;U08;U09;U10;U11;U12","tooling_failure_recurrence","resolved","A handoff inventory command again failed at parse time with the already-known direct foreach-to-pipeline pattern; no write occurred.","The unsafe compact idiom remains habitual across parallel metadata workers.","not_applicable","not_applicable","CJK-KO-P41-002;CJK-KO-P41-004","NOE-P41-KO-WORK-001","7D954DED106337B48A8FD26FE606488AEC4AD8DC86312C0D1076D777D1B594F5","DC6FA2D8B46A1C229AE42313D0198FBC8D4650D83ABA973EAC60167C888810B3","producer_metadata_unchecked","Recur whenever another worker attempts a direct foreach-to-pipeline expression."
