"decision_id","source_locator","exact_german_phrase","concept_scope","zh_hans_cn_choice","sense_window","excluded_senses","alternatives_considered","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_form","controlled_hant_status","independent_check_status","producer_note"
"P43-ZH-T001","segment A opening and introduction; §3; §4; segment D §§6–7","Differente","technical different ideal of a ring or order","不同","The ideal-theoretic different obtained from a difference quotient or its evaluated image in Noether's ring and order constructions.","ordinary Chinese adjective 不同 meaning not the same; a numerical difference; finite-difference operator; discriminant","差异理想; 不同理想; 微分理想","mixed/contested","High: the concise form 不同 comes from the Mandarin-Simplified mathematical shelf but strongly collides with ordinary prose; regional Chinese convention has not been established.","producer editorial choice recorded in Hans segments A-D plus inherited Simplified-Chinese drafting witness; independent checking absent","不同","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Hard-control sense window: every bare 不同 in technical loci is intended as the noun Differente, not the ordinary adjective."
"P43-ZH-T002","segment A introduction; §1.3–4; segment B §3.2","definierendes Ideal","ideal of defining polynomial relations","定义理想","The ideal consisting of relations that define the ring over its coefficient subring or define the direct-product construction.","an ideal that is merely used in a definition; a prime defining a variety without the paper's ring construction; a defining equation itself","规定理想; 定义关系理想; 确定理想","modern Sino-xenic coinage/calque","High: 定义理想 is a Mandarin-Simplified calque and its regional lexical conventionality is untested.","producer editorial choice recorded in Hans segments A-D plus inherited Simplified-Chinese drafting witness; independent checking absent","定義理想","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Kept distinct from 定义方程 and 基本方程."
"P43-ZH-T003","segment A introduction; segment B §3.2–3; segment D §6.4","Differentialquotient eines definierenden Ideals","differential quotient of a defining ideal","定义理想的微分商","The ideal-level derivative construction applied to a defining ideal, reducing to a polynomial derivative only in the stated special case.","an arithmetic quotient; a difference quotient; an ordinary derivative of one polynomial in every case","导数商; 微分理想商; 导理想","modern Sino-xenic coinage/calque","High: 微分商 is inherited from the Mandarin-Simplified shelf and may attract calculus meanings more strongly than the historical ideal construction.","producer editorial choice recorded in Hans segments A-D plus inherited Simplified-Chinese drafting witness; independent checking absent","定義理想的微分商","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Explicitly separated from Differenzenquotient/差分商."
"P43-ZH-T004","segment A introduction and §§1–2; segment B §4; segments C–D §§5–6","direktes Produkt","coefficient-extension direct product of rings","直积","The ring construction formed by extending the coefficient domain and satisfying the paper's universal-style representation conditions.","Cartesian product of sets; multiplication of two elements; tensor notation asserted without the paper's hypotheses; direct sum","直接积; 张量积; 乘积","modern Sino-xenic coinage/calque","High: 直积 follows the Mandarin-Simplified algebra shelf; regional usage and the historical construction's preferred label remain untested.","producer editorial choice recorded in Hans segments A-D plus inherited Simplified-Chinese drafting witness; independent checking absent","直積","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Baseline supplied for the production segments was direct product = 直积."
"P43-ZH-T005","segment A introduction and §1 throughout","Koeffizientenbereich","coefficient domain or scalar range","系数域","The subring or field from which coefficients are drawn and which is enlarged in the direct-product construction.","range of a coefficient-valued function; image set; necessarily a field at every occurrence","系数范围; 系数环; 标量域","mixed/contested","High: 系数域 is concise Mainland usage but can overstate fieldhood where the German Bereich is a subring; regional and locus-specific preferences are untested.","producer editorial choice recorded in Hans segments A-D plus inherited Simplified-Chinese drafting witness; independent checking absent","係數域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Producer retained the segment-wide choice; fieldhood overstatement remains for checker review."
"P43-ZH-T006","segment A §2.2","Erweiterungsmodul","scalar-extended module","扩张模","The module generated after extending scalars from the original coefficient ring inside the direct-product ring.","a field extension; an extension module in software; merely a larger unrelated module; ideal extension when no module context is present","延拓模; 扩大模; 标量扩张模","modern Sino-xenic coinage/calque","High: 扩张模 is Mandarin-Simplified terminology and may suppress the scalar-extension nuance; regional evidence is absent.","producer editorial choice recorded in Hans segments A-D plus inherited Simplified-Chinese drafting witness; independent checking absent","擴張模","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Used as the paired term with 收缩模."
"P43-ZH-T007","segment A §2.2; segment C §5.1; segment D §6.2","Verengungsmodul; Verengungsideal","contracted module or contracted ideal","收缩模；收缩理想","The intersection back with the original ring, yielding contraction of a module or ideal from the extended ring.","metric contraction; numerical shrinkage; quotient module; restriction of a map without intersection","缩约模/缩约理想; 限制模/限制理想","modern Sino-xenic coinage/calque","High: 收缩 is the Mainland lexical base and can suggest geometric shrinkage; regional algebra terminology was not consulted.","producer editorial choice recorded in Hans segments A-D plus inherited Simplified-Chinese drafting witness; independent checking absent","收縮模；收縮理想","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Module and ideal forms are grouped because the producer applied the same contraction choice."
"P43-ZH-T008","segment A introduction; segment B §§3–4; segment C §5; segment D §6","Differenzenideal","difference ideal generated by paired-element differences","差分理想","The ideal generated by elements such as x-ξ corresponding under the specified isomorphism.","the ideal-theoretic different; a finite-difference ideal in numerical analysis; a generic ideal difference","差理想; 差异理想; 不同理想","modern Sino-xenic coinage/calque","High: 差分理想 is Mainland mathematical terminology and could attract discrete-calculus readings; regional terminology is untested.","producer editorial choice recorded in Hans segments A-D plus inherited Simplified-Chinese drafting witness; independent checking absent","差分理想","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Kept sharply distinct from Differente/不同."
"P43-ZH-T009","segment A introduction; segment B §§3–4; segment C §5; segment D §6","Differenzenquotient","ideal quotient formed from the difference ideal","差分商","The colon-ideal quotient such as (0):B or M:B associated with the difference ideal.","a numerical difference quotient; the differential quotient; quotient by an equivalence relation; subtraction followed by division","差理想商; 差分理想商; 差商","modern Sino-xenic coinage/calque","High: 差分商 can evoke elementary finite differences in Mainland prose; the ideal-quotient sense needs its local context and regional evidence is absent.","producer editorial choice recorded in Hans segments A-D plus inherited Simplified-Chinese drafting witness; independent checking absent","差分商","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Explicitly separated from Differentialquotient/微分商."
"P43-ZH-T010","segment A introduction; segment C §5; segment D §6.1–2","galoisscher Erweiterungsring","Galois extension ring formed by coefficient extension","伽罗瓦扩张环","The ring obtained by extending the coefficient domain to the relevant Galois field and decomposing into conjugate components.","a Galois field extension itself; a group ring; an arbitrary ring extension; the Galois closure","Galois 扩张环; 伽罗华扩张环; 伽罗瓦延拓环","mixed/contested","Medium: 伽罗瓦 is a global-name transliteration embedded in a Mandarin-Simplified calque; no Taiwan, Hong Kong, Macao, Japanese, or Korean evidence was used.","producer editorial choice recorded in Hans segments A-D plus inherited Simplified-Chinese drafting witness; independent checking absent","伽羅瓦擴張環","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Shared production baseline fixed this form."
