"distribution","path","role","bytes","sha256","pages_or_units","action","supersedes_or_basis","caveat"
"public_file","SGA5_English_WorkingEdition_NotCritical_20260718.pdf","standalone repaired English reader","2060055","0455F60C9318F0080A8ACFD4F307849F67E9C321A4C5FB9BB01A21E862721290","309 pages","proposed upload","00_SGA5_English_SourceChecked_WorkingTranslation_NotCritical_20260717.pdf","ten curated exposes plus index; not complete SGA 5 or critical"
"public_file","SGA5_English_TeX_Ledgers_and_RenderQA_NotCritical_20260718.zip","scan-free editable source and evidence support","12282952","5E53DAD8D7F6C658A76B397202DE152771BA774BED5184B6F02B99704D85152F","54 members","proposed upload","03_SGA5_English_TeX_Audit_and_SourceSupport_NotCritical_20260717.zip","rights caveats remain; no source scan or scan-derived image"
"public_file","SGA5_English_Public_Status_20260718.md","bounded public status and caveats","2941","35B67BA7D0432CF4AEFAD341391438E168893ACEF6E784D778FAC22071DCB896","one status file","proposed upload","earlier SGA5 public status claims","no certification or rights-clearance claim"
"public_file","ZENODO_PAYLOAD_MANIFEST.csv","this payload and member manifest","self; exact bytes in CONTROL/PUBLIC_UPLOAD_SHA256SUMS.csv","self-hash excluded; exact SHA256 in CONTROL/PUBLIC_UPLOAD_SHA256SUMS.csv","one manifest","proposed upload","03_SGA5_English_public_manifest_20260717.csv and 03_SGA5_English_public_sha256_20260717.csv","self-reference handled by external candidate control"
"inside_support_zip","00_EDITION/SGA5_English_WorkingEdition_NotCritical_20260718.tex","editable English TeX","798096","5A79546320606564E0FEF609A13E7F71D42487281325C4CCF97DC20990B7F4C4","1 TeX; 10 curated exposes plus index","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","00_EDITION/SGA5_English_WorkingEdition_NotCritical_20260718.pdf","reader copy inside support","2060055","0455F60C9318F0080A8ACFD4F307849F67E9C321A4C5FB9BB01A21E862721290","309 pages","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","01_BUILD/BUILD_REOPEN_PASS1_20260718_SANITIZED.log","path-sanitized build pass 1","49723","4842DC57268881939F5565FCB6CC473DEBF4B245C16C500058B4C9CD95192946","309-page build","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","01_BUILD/BUILD_REOPEN_PASS2_20260718_SANITIZED.log","path-sanitized build pass 2","49723","4842DC57268881939F5565FCB6CC473DEBF4B245C16C500058B4C9CD95192946","309-page build","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","02_SOURCE_REVIEW/SOURCE_FORMULA_COMPARISON_FINAL.md","source/formula comparison report","6692","3556B419143127ABF75F4D1BF48B7DF56CDB39816EB8B380B934C9031A07AED1","10 curated exposes","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","02_SOURCE_REVIEW/SOURCE_FORMULA_COMPARISON_EXACT.csv","exact source/formula candidate ledger","271987","EB566F2D37B52214FADE9D045EA20A8B9ECAB0C5DED524CD322601A6F9FFB9A4","432 rows","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","02_SOURCE_REVIEW/SOURCE_CORRECTION_FINAL_RESOLUTION.csv","final candidate-resolution ledger","146195","DEEC0D50C22862E4EE5FBB7A207B317B2D4DE4C3F59BE939C29BDE8702C73FB4","432 rows","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","02_SOURCE_REVIEW/SOURCE_CRITICAL_ADDITIONAL_REPAIRS.csv","additional source-critical repair groups","6375","6060649F14E5211B2470594F189F07991BF80EE327ADA1654B3CADB6E2E8E546","21 rows","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","02_SOURCE_REVIEW/TERMINOLOGY_REJECTED_CHOICES.csv","terminology and adverse-choice ledger","10962","70A509E5754B94E9982D612F5BD93BEEECC313F17F77CAB646C705547A5471A3","40 rows","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","02_SOURCE_REVIEW/REOPENED_SOURCE_ADJUDICATION_20260718.csv","p14/p43 source adjudication","1997","911ABC44618BE3894BE502A72BB60B89D14A3D06B0DE12B8EF5793D2732B0816","2 rows","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","02_SOURCE_REVIEW/STRUCTURAL_PARITY_SUMMARY_FINAL.csv","structural parity summary","1174","C4D11398A647301351A0ADDA12DE8EE758ADBD4FC9A68BF824DED715FE79DFA2","10 rows","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","02_SOURCE_REVIEW/STRUCTURAL_PARITY_DIFFERENCES_FINAL.csv","structural difference ledger","2115","2860C21D2C98C33D695F59FCE4EB9EEACC9A97ACD8C2C3EE1B8F0305A6593A02","34 rows","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","02_SOURCE_REVIEW/STRUCTURAL_PARITY_REPRESENTATION_REVIEW.csv","representation-choice review","3146","F545C18B9AC77670EB8294FDB2553C6C909579A5BE37BAAE1C063511339817C0","9 rows","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","03_RENDERED_QA/REOPENED_VISUAL_QA_20260718.md","render QA report","3077","B4755D477792E23468CB5DDD978A682443C305E25CDA78870B5286EA8285290C","309 private renders; 22 bundled images","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","03_RENDERED_QA/RENDER_COMPATIBILITY_NORMALIZATION.csv","contact-sheet compatibility normalization","6746","99B8E9382F935D9D27EBB37E8934037AC972EF979EE10094ADD8FE321B7885C1","16 rows","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","04_PUBLICATION/FRENCH_CONTROL_RECONCILIATION_20260718.md","French-control contradiction reconciliation","4579","D898EE1B1E212B06EAFC468042C8B4619E5D24881D5E547C9D2A2A08EB65141E","7 external controls","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","04_PUBLICATION/FRENCH_CONTROL_INVENTORY_20260718.csv","French-control exact inventory","2153","8B93A4A0D6B107FE4A70CE1A63427B6A277AA17F9399BD24531D12F6D6369994","7 rows","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","04_PUBLICATION/LICENSE_ATTRIBUTION.md","rights and attribution caveats","3008","34752DCF521FC7B3E10297D6B5A556A4C115C2E92DABCB7C488451DB9A14FE56","one statement","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","04_PUBLICATION/INDEPENDENT_FREEZE_AUDIT.md","independent operational review","4422","7367681876D74C522F2600DF7D2F3DA0C1AEEC60D1EA3636C38F0993777737DA","49-file pre-freeze snapshot","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","04_PUBLICATION/MANIFEST.csv","substantive member manifest","9444","283244C6621C8D341A5115E587EE240C7945B24C3BF5CFBADB5719453368D565","52 rows","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","04_PUBLICATION/SHA256SUMS.csv","member checksum manifest","6807","741BBA0B5C854B10B1A5FF6FEECD1C09F465EBE512B32E724CFC5F80D7FA8C52","53 rows","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"inside_support_zip","04_PUBLICATION/ZENODO_LIVE_STATE_RECHECK_20260718.md","live record control","4724","ABE2D6F03256341FDDC41BC9E531EF1B0C3B5B59EB430BB05204C092E12A1F32","record 21430393 at 2026-07-18T14:59:03Z","include in support ZIP","member of public support ZIP","see bundled rights, scope, and evidence caveats"
"external_control_not_uploaded","French TeX control","pinned source-language control","848165","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","curated ten-expose French workpass","do not upload in replacement","source-language authority at exact hash","conflicting French completeness records are disclosed"
"external_control_not_uploaded","Original LNM 589 scan","audit-only source witness","62025563","B256EBD072A8C68209518412A263C9289C6F1854A346733D86F885930D5FE6CA","source scan","exclude","printed-source ambiguity/formula witness","no redistribution authorization established"
"external_control_not_uploaded","Legacy English TeX witness","inherited target-language witness","756192","6CEAB9D43C519EE7C9585933CC314A4807DC7A95750D1C8E8FAB2752A8EBF8CD","one inherited TeX","exclude","Codex/GitHub lineage control","not source authority"
