"field","value","note"
"packet_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8A7F43FD_B4660802_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260707\R3_8A7F43FD_B4660802_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260707_20260706T230505Z","B3 upload-ready handoff path after validation"
"frontier","8a7f43fdbcd418ad39e60365de9666a7b93be61f","current live branch head verified by fetch/ls-remote"
"prior_frontier","b4660802e7a2464b6a9c65c2429109e02e1eabdb","previous local R3 frontier"
"remote_head_at_generation","8a7f43fdbcd418ad39e60365de9666a7b93be61f","ls-remote value captured during generation"
"fetch_head_at_generation","8a7f43fdbcd418ad39e60365de9666a7b93be61f","FETCH_HEAD captured during generation"
"branch_delta_rows","446","git diff --name-status prior..head rows pinned to commit hash"
"commits","1","git log prior..head rows pinned to commit hash"
"r3_b466_hash_rows","14","Branch-visible R3 B466 packet MANIFEST rows checked against branch blob bytes"
"r3_b466_hash_matches","14","byte and SHA256 matches"
"new_generated_draft_rows","false","8A publication/context did not warrant new target renderings"
"boundary_policy","separate","Arabic/fa_IR/Dari/Tajik/Urdu-Hindustani/Ottoman/Pan-Turkic gates remain separate"
