"id","type","parent_id","order","source_start","source_end","source_bytes","source_sha256","target_path","target_start","target_end","target_bytes","target_sha256","relations","language","translation","review","next_authority_line","evidence_sha256"
"CJK-KO-P09-STR-0001","work","","1","6348","7679","77798","7C9C4970145A374552E0D68C5A5C8B5614447086737D808E2235805E38217FA7","","","","","","[]","ko","partial_producer_draft","unchecked","6492","DDC7096CB2A1E254767365F01AAD985FA25E06CB650FAFBA5320C6BFF0248808"
"CJK-KO-P09-STR-0002","tranche","CJK-KO-P09-STR-0001","1","6348","6491","8332","E9B32D61D5CACC68D74B35013AD7CFC1E1C7BDA1DFD61E41F63B0DEB5A635E89","","","","","","[{""type"":""part_of"",""target_id"":""CJK-KO-P09-STR-0001""}]","ko","draft_complete","unchecked","6492","B31F636C8A6B40A3366860F61972A4FC223FFD848AFB9EBFE09517C111A38746"
"CJK-KO-P09-STR-0003","unit","CJK-KO-P09-STR-0002","1","6348","6355","286","B17295BC6C53A843D4732401728DA5C532EE6C372D93BD27D83DE7FA2015B8E4","targets/T01_U01.tex","1","13","678","0D2C107ED86A97E5E806B80A6761BC52602AC7DED6454AF000E95795C8F02526","[{""type"":""part_of"",""target_id"":""CJK-KO-P09-STR-0002""}]","ko","draft_complete","unchecked","6492","C1C4277E1B9A7EF7EDB812883D4155458DB7486A76184D242F856B13493E53CC"
"CJK-KO-P09-STR-0004","section_title","CJK-KO-P09-STR-0003","1","6348","6348","74","3A862648D48D875A70E49E4483ED14D961E338D467943D0D6A8C998CAE228231","targets/T01_U01.tex","6","6","77","0AD82172343ACD0AFF866D7EE9BCB2CDE9A52E0478E208FECD7FC5ECF3457DD9","[{""type"":""contained_in"",""target_id"":""CJK-KO-P09-STR-0003""}]","ko","draft_complete","unchecked","6492","0A6CACB4BB837D3ACF8ED6B63D4100B6AA5F2FAE64E6A64981383ECCB81B3BB2"
"CJK-KO-P09-STR-0005","publication_header","CJK-KO-P09-STR-0003","2","6349","6355","212","7E4A26AED6AA542D986C523BA7E6CE494A227CDEF709ED077BCDF8F84336AF42","targets/T01_U01.tex","7","13","216","CBA35E776C667785D27603CD0E980487C81056566C1EB810F9BB6835753DD97C","[{""type"":""contained_in"",""target_id"":""CJK-KO-P09-STR-0003""}]","ko","draft_complete","unchecked","6492","97370599620C1F8C340D69C0740A571E63D271C56456CC9D826B892F53A57447"
"CJK-KO-P09-STR-0006","unit","CJK-KO-P09-STR-0002","2","6357","6368","719","42EB26CAD760C4EBE740F601462E03AA79860C70D3035E079FBFB953E00ACCA3","targets/T01_U02.tex","1","12","1109","95A085F7BD828BFEDC5E29E7F57D51AF42441357F723C4847D689182A77AA00D","[{""type"":""part_of"",""target_id"":""CJK-KO-P09-STR-0002""}]","ko","draft_complete","unchecked","6492","DC0F4E3C70199F825F5132836D369300E2EB7A16FEC75B2EBCB7F05174708F4B"
"CJK-KO-P09-STR-0007","closed_prose","CJK-KO-P09-STR-0006","1","6357","6359","220","4D6A9AAB2AABEDC77B5822779B324067CEE0D919DE04560A316D963C42811E9B","targets/T01_U02.tex","6","6","190","F52A6B602077B4161CC4D5728CFFBDE28FB106FD797A4B5430D6A17A32DD3E10","[{""type"":""contained_in"",""target_id"":""CJK-KO-P09-STR-0006""}]","ko","draft_complete","unchecked","6492","9195F5811034D396571385E64BC5A80E725A33CA95B69D90F261ACD7307A61CE"
"CJK-KO-P09-STR-0008","enumeration","CJK-KO-P09-STR-0006","2","6360","6368","499","0E031B9A8FADDC340412546DE477C49128EB450CB3343B31FC63D19313308E94","targets/T01_U02.tex","7","12","534","5075378B911F215B95738EC8FE360D58AD11AC7C5CA8661F22A48AAA95DA0F80","[{""type"":""contained_in"",""target_id"":""CJK-KO-P09-STR-0006""}]","ko","draft_complete","unchecked","6492","B98C7C4E83D7482556A8E1F659E9C3A36B8DBAA96740C1F531EBE7772071C322"
"CJK-KO-P09-STR-0009","list_item","CJK-KO-P09-STR-0006","3","6361","6362","111","ADC9B128C28F1B0D61B6336D07928D55200E7CCE7EB04906FBC3C709DDD51B49","targets/T01_U02.tex","8","8","90","DF41ED33C43071DF127810969D80E6137C902F341B538597E19E7EADC60B4AA3","[{""type"":""contained_in"",""target_id"":""CJK-KO-P09-STR-0006""}]","ko","draft_complete","unchecked","6492","D69EFBBD5A06FAA3F6AC8A6E70056C4067FBDBA98B8DFF816F33147F43ED3D9B"
"CJK-KO-P09-STR-0010","list_item","CJK-KO-P09-STR-0006","4","6363","6363","88","0F338CD804ABF0F404F17D1C319DE91DAB2E5121B2B590A50AB01795FFBDFB8A","targets/T01_U02.tex","9","9","84","B99373AFAF562C5E86AC935933B6D9F1EFED3B906923B12267D94F5C273B3E86","[{""type"":""contained_in"",""target_id"":""CJK-KO-P09-STR-0006""}]","ko","draft_complete","unchecked","6492","85A5410A0E48A343F23E389072CF2DC800EBCF32567298A4F87519773739BEFC"
"CJK-KO-P09-STR-0011","list_item","CJK-KO-P09-STR-0006","5","6364","6364","89","81CD8E2D1E5500B493C201A0140EA141E7CA7F0B90C03A8EA4FF790F08991615","targets/T01_U02.tex","10","10","91","560788AAEA0F2420EA1E3FAFD14371F5D7306549CE9524AEE2140ABA78649440","[{""type"":""contained_in"",""target_id"":""CJK-KO-P09-STR-0006""}]","ko","draft_complete","unchecked","6492","6BC48222AE95E5FB00601D8811A8E813F3055CFDF9E5B12DA755D3BB7AE0499E"
"CJK-KO-P09-STR-0012","list_item","CJK-KO-P09-STR-0006","6","6365","6367","177","C554A9471660E4190746556BA75BE1993C76C96DDB8163BE3DA237C81885CF8E","targets/T01_U02.tex","11","11","235","DCD6CCB56240B0ADA0CECBF7E5C50171FE1541643AC5F0E51BBA8FACE64CCC3E","[{""type"":""contained_in"",""target_id"":""CJK-KO-P09-STR-0006""}]","ko","draft_complete","unchecked","6492","55A52CBBDC298A19EBB2E64814B0F846BF2EBF3578E75CBF491DF64D27250979"
"CJK-KO-P09-STR-0013","source_note","CJK-KO-P09-STR-0006","7","6366","6367","102","9685F47AF972150E157875B3E69B853C04D54D16F8CD0114E1C904B5668B16E0","targets/T01_U02.tex","11","11","235","DCD6CCB56240B0ADA0CECBF7E5C50171FE1541643AC5F0E51BBA8FACE64CCC3E","[{""type"":""contained_in"",""target_id"":""CJK-KO-P09-STR-0006""}]","ko","draft_complete","unchecked","6492","0A8854B39D1BDA938AE6469A827A8131DA0C7210F8203A7FC3B7A150ADDE692C"
"CJK-KO-P09-STR-0014","unit","CJK-KO-P09-STR-0002","3","6370","6383","1011","AE94C006A3F137D23EC76002A6E9A3C41DC9DF9DA47849DDA41FE9BF09B1B6EE","targets/T01_U03.tex","1","6","1392","560961E42EDC935BE289FAA39D86E6214B5A3960C2F912847A125F2FFA05AF9D","[{""type"":""part_of"",""target_id"":""CJK-KO-P09-STR-0002""}]","ko","draft_complete","unchecked","6492","16B9AC87C06D84B4C75CE3E10CDD47122D6B13B40885C18D30B9855F095CE6B4"
"CJK-KO-P09-STR-0015","closed_prose","CJK-KO-P09-STR-0014","1","6370","6383","1011","AE94C006A3F137D23EC76002A6E9A3C41DC9DF9DA47849DDA41FE9BF09B1B6EE","targets/T01_U03.tex","6","6","957","399567A3C595AB17E26958023DD29B155966B0DF6C32AE27A2682ADB744AE63E","[{""type"":""contained_in"",""target_id"":""CJK-KO-P09-STR-0014""}]","ko","draft_complete","unchecked","6492","FD4ED043303EC7482A36F34A6B53BA895622080EDF8AAE6C70575C1D96258FE9"
"CJK-KO-P09-STR-0016","definition","CJK-KO-P09-STR-0014","2","6370","6374","372","2857CD0507EEBEB1EF4A899AA381D43749E0AB730CE95599616B549086835164","targets/T01_U03.tex","6","6","957","399567A3C595AB17E26958023DD29B155966B0DF6C32AE27A2682ADB744AE63E","[{""type"":""contained_in"",""target_id"":""CJK-KO-P09-STR-0014""}]","ko","draft_complete","unchecked","6492","5289F0596CA107893CB751A7E124FD071171B40B1C7C4644DEC06DC06D89C1AD"
