paper,language,type,file,pages
032_weil_II,EN,tex,papers/032_weil_II/EN/deligne_paper_032_weil_II_EN.tex,
032_weil_II,EN,pdf,papers/032_weil_II/EN/deligne_paper_032_weil_II_EN.pdf,74
032_weil_II,FR,tex,papers/032_weil_II/FR/deligne_paper_032_weil_II_FR.tex,
032_weil_II,FR,pdf,papers/032_weil_II/FR/deligne_paper_032_weil_II_FR.pdf,98
042_integration_vanishing_cycle,EN,tex,papers/042_integration_vanishing_cycle/EN/deligne_paper_042_integration_vanishing_cycle_EN.tex,
042_integration_vanishing_cycle,EN,pdf,papers/042_integration_vanishing_cycle/EN/deligne_paper_042_integration_vanishing_cycle_EN.pdf,8
042_integration_vanishing_cycle,FR,tex,papers/042_integration_vanishing_cycle/FR/deligne_paper_042_integration_vanishing_cycle_FR.tex,
042_integration_vanishing_cycle,FR,pdf,papers/042_integration_vanishing_cycle/FR/deligne_paper_042_integration_vanishing_cycle_FR.pdf,5
045_gabber_lemma,EN,tex,papers/045_gabber_lemma/EN/deligne_paper_045_gabber_lemma_EN.tex,
045_gabber_lemma,EN,pdf,papers/045_gabber_lemma/EN/deligne_paper_045_gabber_lemma_EN.pdf,13
045_gabber_lemma,FR,tex,papers/045_gabber_lemma/FR/deligne_paper_045_gabber_lemma_FR.tex,
045_gabber_lemma,FR,pdf,papers/045_gabber_lemma/FR/deligne_paper_045_gabber_lemma_FR.pdf,6
056_heisenberg_reality,EN,tex,papers/056_heisenberg_reality/EN/deligne_paper_056_heisenberg_reality_EN.tex,
056_heisenberg_reality,EN,pdf,papers/056_heisenberg_reality/EN/deligne_paper_056_heisenberg_reality_EN.pdf,8
056_heisenberg_reality,FR,tex,papers/056_heisenberg_reality/FR/deligne_paper_056_heisenberg_reality_FR.tex,
056_heisenberg_reality,FR,pdf,papers/056_heisenberg_reality/FR/deligne_paper_056_heisenberg_reality_FR.pdf,9
057_tame_symbol,EN,tex,papers/057_tame_symbol/EN/deligne_paper_057_tame_symbol_EN.tex,
057_tame_symbol,EN,pdf,papers/057_tame_symbol/EN/deligne_paper_057_tame_symbol_EN.pdf,6
057_tame_symbol,FR,tex,papers/057_tame_symbol/FR/deligne_paper_057_tame_symbol_FR.tex,
057_tame_symbol,FR,pdf,papers/057_tame_symbol/FR/deligne_paper_057_tame_symbol_FR.pdf,4
058_real_mixed_hodge_structures,EN,tex,papers/058_real_mixed_hodge_structures/EN/deligne_paper_058_real_mixed_hodge_structures_EN.tex,
058_real_mixed_hodge_structures,EN,pdf,papers/058_real_mixed_hodge_structures/EN/deligne_paper_058_real_mixed_hodge_structures_EN.pdf,4
058_real_mixed_hodge_structures,FR,tex,papers/058_real_mixed_hodge_structures/FR/deligne_paper_058_real_mixed_hodge_structures_FR.tex,
058_real_mixed_hodge_structures,FR,pdf,papers/058_real_mixed_hodge_structures/FR/deligne_paper_058_real_mixed_hodge_structures_FR.pdf,4
069_braid_group_category,EN,tex,papers/069_braid_group_category/EN/deligne_paper_069_braid_group_category_EN.tex,
069_braid_group_category,EN,pdf,papers/069_braid_group_category/EN/deligne_paper_069_braid_group_category_EN.pdf,13
069_braid_group_category,FR,tex,papers/069_braid_group_category/FR/deligne_paper_069_braid_group_category_FR.tex,
069_braid_group_category,FR,pdf,papers/069_braid_group_category/FR/deligne_paper_069_braid_group_category_FR.pdf,13
070_grothendieck_master_ideas,EN,tex,papers/070_grothendieck_master_ideas/EN/deligne_paper_070_grothendieck_master_ideas_EN.tex,
070_grothendieck_master_ideas,EN,pdf,papers/070_grothendieck_master_ideas/EN/deligne_paper_070_grothendieck_master_ideas_EN.pdf,7
070_grothendieck_master_ideas,FR,tex,papers/070_grothendieck_master_ideas/FR/deligne_paper_070_grothendieck_master_ideas_FR.tex,
070_grothendieck_master_ideas,FR,pdf,papers/070_grothendieck_master_ideas/FR/deligne_paper_070_grothendieck_master_ideas_FR.pdf,7
071_cohomology_algebra_complement,EN,tex,papers/071_cohomology_algebra_complement/EN/deligne_paper_071_cohomology_algebra_complement_EN.tex,
071_cohomology_algebra_complement,EN,pdf,papers/071_cohomology_algebra_complement/EN/deligne_paper_071_cohomology_algebra_complement_EN.pdf,14
071_cohomology_algebra_complement,FR,tex,papers/071_cohomology_algebra_complement/FR/deligne_paper_071_cohomology_algebra_complement_FR.tex,
071_cohomology_algebra_complement,FR,pdf,papers/071_cohomology_algebra_complement/FR/deligne_paper_071_cohomology_algebra_complement_FR.pdf,8
083_nagata_embedding,EN,tex,papers/083_nagata_embedding/EN/deligne_paper_083_nagata_embedding_EN.tex,
083_nagata_embedding,EN,pdf,papers/083_nagata_embedding/EN/deligne_paper_083_nagata_embedding_EN.pdf,7
083_nagata_embedding,FR,tex,papers/083_nagata_embedding/FR/deligne_paper_083_nagata_embedding_FR.tex,
083_nagata_embedding,FR,pdf,papers/083_nagata_embedding/FR/deligne_paper_083_nagata_embedding_FR.pdf,7
084_frobenius_traces,EN,tex,papers/084_frobenius_traces/EN/deligne_paper_084_frobenius_traces_EN.tex,
084_frobenius_traces,EN,pdf,papers/084_frobenius_traces/EN/deligne_paper_084_frobenius_traces_EN.pdf,17
084_frobenius_traces,FR,tex,papers/084_frobenius_traces/FR/deligne_paper_084_frobenius_traces_FR.tex,
084_frobenius_traces,FR,pdf,papers/084_frobenius_traces/FR/deligne_paper_084_frobenius_traces_FR.pdf,1
085_multizetas_brown,EN,tex,papers/085_multizetas_brown/EN/deligne_paper_085_multizetas_brown_EN.tex,
085_multizetas_brown,EN,pdf,papers/085_multizetas_brown/EN/deligne_paper_085_multizetas_brown_EN.pdf,20
085_multizetas_brown,FR,tex,papers/085_multizetas_brown/FR/deligne_paper_085_multizetas_brown_FR.tex,
085_multizetas_brown,FR,pdf,papers/085_multizetas_brown/FR/deligne_paper_085_multizetas_brown_FR.pdf,1
087_semisimplicity_tensor_products,EN,tex,papers/087_semisimplicity_tensor_products/EN/deligne_paper_087_semisimplicity_tensor_products_EN.tex,
087_semisimplicity_tensor_products,EN,pdf,papers/087_semisimplicity_tensor_products/EN/deligne_paper_087_semisimplicity_tensor_products_EN.pdf,22
087_semisimplicity_tensor_products,FR,tex,papers/087_semisimplicity_tensor_products/FR/deligne_paper_087_semisimplicity_tensor_products_FR.tex,
087_semisimplicity_tensor_products,FR,pdf,papers/087_semisimplicity_tensor_products/FR/deligne_paper_087_semisimplicity_tensor_products_FR.pdf,12
088_counting_ladic_sheaves,EN,tex,papers/088_counting_ladic_sheaves/EN/deligne_paper_088_counting_ladic_sheaves_EN.tex,
088_counting_ladic_sheaves,EN,pdf,papers/088_counting_ladic_sheaves/EN/deligne_paper_088_counting_ladic_sheaves_EN.pdf,22
088_counting_ladic_sheaves,FR,tex,papers/088_counting_ladic_sheaves/FR/deligne_paper_088_counting_ladic_sheaves_FR.tex,
088_counting_ladic_sheaves,FR,pdf,papers/088_counting_ladic_sheaves/FR/deligne_paper_088_counting_ladic_sheaves_FR.pdf,25
