layer	reader	reader_sha256	pdf_page	printed_page	render	render_sha256	render_dpi	inspection	math_glyphs_and_labels	clipping_and_overlap	page_note_alignment	observation	status
fr	readers/PAPER_IV_FR_PP065_074.pdf	9834CB88C6F7A2602DA220BAA99CD688176DEA22D3C8DCFABDD610A002747AC6	1	65	qa/visual/fr/page01_p065.png	4A1835E2DF9AD019D34DBA311D946F84DB566116D8696C529424F014D9715E2B	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Title and ordinal heading legible; both rules present; introductory paragraph complete; imprint/signature 9; no invented visible folio.	PASS
fr	readers/PAPER_IV_FR_PP065_074.pdf	9834CB88C6F7A2602DA220BAA99CD688176DEA22D3C8DCFABDD610A002747AC6	2	66	qa/visual/fr/page02_p066.png	D43BB2CAC5D9E01B4D5CA3B70DD6831743A0D614335554C19CB5227EDA2F30AE	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Section 1; all exponents and in-text congruences legible; both quoted assertions; no collision of inline fractions or primes.	PASS
fr	readers/PAPER_IV_FR_PP065_074.pdf	9834CB88C6F7A2602DA220BAA99CD688176DEA22D3C8DCFABDD610A002747AC6	3	67	qa/visual/fr/page03_p067.png	F7E15B977878F2DCE2EE78E267A55774BD6A7BA457CBCFDC7E73F09F03AF7851	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Quoted A,A-prime theorem; section 2; written repeated factors; Legendre definition; page ends mid-sentence at p being / p étant; signature 9*.	PASS
fr	readers/PAPER_IV_FR_PP065_074.pdf	9834CB88C6F7A2602DA220BAA99CD688176DEA22D3C8DCFABDD610A002747AC6	4	68	qa/visual/fr/page04_p068.png	BC635DC1A251554C46F0C96EF8BBFCC55006E43179D929B175A0B6066104F1C1	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Opening continuation and all four paired relation arrays; g/h denominators, minus signs, and primes visually checked; arrays not clipped.	PASS
fr	readers/PAPER_IV_FR_PP065_074.pdf	9834CB88C6F7A2602DA220BAA99CD688176DEA22D3C8DCFABDD610A002747AC6	5	69	qa/visual/fr/page05_p069.png	24FAE51D9144B89F9676CEF652CE1F118AE9392D91909201AFE84D1ED738701B	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Lower-case continuation; both sign cases; all three congruences; parenthesis about (p−1)/4; theorem and final sum-of-squares sentence retained.	PASS
fr	readers/PAPER_IV_FR_PP065_074.pdf	9834CB88C6F7A2602DA220BAA99CD688176DEA22D3C8DCFABDD610A002747AC6	6	70	qa/visual/fr/page06_p070.png	75962FEE06E61984840FC690F4A8EA6A8EF95DA26600DB69153C4FE1B36F5E10	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Two-by-two E,F,K,L identities; primed exponents; legible printed plus in K prose deliberately retained; quoted theorem at end.	PASS
fr	readers/PAPER_IV_FR_PP065_074.pdf	9834CB88C6F7A2602DA220BAA99CD688176DEA22D3C8DCFABDD610A002747AC6	7	71	qa/visual/fr/page07_p071.png	4C90B84E567656C66F64DAB729500A21AE816527F656919D158FB10F33AB7FB2	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Section 3 and reciprocity displays; *) body anchor and complete bottom footnote; bσ²±1 and both norm-identity ± signs legible; no note overflow.	PASS
fr	readers/PAPER_IV_FR_PP065_074.pdf	9834CB88C6F7A2602DA220BAA99CD688176DEA22D3C8DCFABDD610A002747AC6	8	72	qa/visual/fr/page08_p072.png	2A4D43415B817BDC65E622A6123A895E372202557E6A323FA967208F0512873F	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Left labels α, β, β′; all six-entry arrays and product; last colon announces next page’s reciprocity array; no label/math overlap.	PASS
fr	readers/PAPER_IV_FR_PP065_074.pdf	9834CB88C6F7A2602DA220BAA99CD688176DEA22D3C8DCFABDD610A002747AC6	9	73	qa/visual/fr/page09_p073.png	0258CDF19F8EC771920BB958922CC436DFA2F47BFBC134D2E8F401B264A5B220	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Opening g/b,h/b array; γ label; two-case ν reasoning and equals sign; final congruence; sentence continues to p74; imprint/signature 10.	PASS
fr	readers/PAPER_IV_FR_PP065_074.pdf	9834CB88C6F7A2602DA220BAA99CD688176DEA22D3C8DCFABDD610A002747AC6	10	74	qa/visual/fr/page10_p074.png	EF93D062DCB97FA25346111D223AEF5702F92C3736611BF69D7D36CC462C4821	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Initial substitution continuation; theorem and section 4; ψ even and φ odd readings retained; four-identity block complete; no invented terminal rule.	PASS
