printed_page	authority_pdf_page	scope_leaf	dpi	width	height	raster_sha256	equivalence
63	80	1	72	646	827	63A894B0D72BBE83F6F965BCF40DBCF4CD96F956D8980F971A8505F7E72F6AA9	PASS
64	81	2	72	646	827	D89D5BC92FF560CB3D28AE64E2AC76538007AD7C5DB76519D1B2D975C1129D07	PASS
65	82	3	72	646	827	70F121CD6C362E2F727F4DF732E68CBB708A1840FB7C443D9A82146489FEA026	PASS
66	83	4	72	646	827	593CC7AD2F8CA3942D16038B288732AD99AE658030AA07C1E238B7AF47D79719	PASS
67	84	5	72	646	827	60DED056D41973C2BC02AD43C37A872B4C106C09EBF2C18B070C9D7906824842	PASS
68	85	6	72	646	827	FCF180EEC895A5172F790C97E182EFEFDA34801BED1C81967E3B86ECBDC5FACC	PASS
69	86	7	72	646	827	08FF0D903E622F2313CB0B5B9DE1A81E7AF411CF71B0EB1B8CEF00834C541EE3	PASS
70	87	8	72	646	827	103F55DC228C4D49713101D83A39578D5CE243EB82D3D1C3B83DE3D62D6D8E6B	PASS
71	88	9	72	646	827	D0843604FCCFEA170B0F07396B674FDB68A24085C9E1F03730B2F6925D74962E	PASS
72	89	10	72	646	827	5BBE887EBF079E731B800D4791A932AEBBA0C008CD3B426F0A97FCB307ED17BC	PASS
73	90	11	72	646	827	4205E525B983F86050304DF0B33C5FF81B2216042C5BB20A9830F55680F03B78	PASS
74	91	12	72	646	827	451C9B6DF818BEEC3D9A037F347D6B662CC94D8B4231856D3C770243FFBCF204	PASS
75	92	13	72	646	827	2A238BCA15C2911B952E2B9539B9D3C000A570C52E435448ADAEB6D4C4570CFC	PASS
76	93	14	72	646	827	3C2DCCFEC2D7EA728532E762B0B20EDACC04EC2B2902DC9597B540C5E197197C	PASS
77	94	15	72	646	827	663C455E9C419F25DD30BF6227314CF7D0D08D798CED1F3C2DE5F051D0257038	PASS
78	95	16	72	646	827	A806E8A77CA095DE3C60E17725E3637129DBDFE511318557291506C988BECBAF	PASS
79	96	17	72	646	827	F798E8948AC66B8484F7EE67803E9C70922AE2C24417C875DE9E2C10502E064F	PASS
80	97	18	72	646	827	C6DD966989A9EF8EF32CBCDDCEB8FE3139B3BBF991C5EFAF33C98E77B7A97AF9	PASS
81	98	19	72	646	827	5F4C5319808507DD6F3C15C9894D9D142C30F0FEB81ED7F4CDBAA9624D089DA6	PASS
82	99	20	72	646	827	4805D6EC1052794608E91829425FD77E6098B754A7F2D6E37E4702E8C3303435	PASS
83	100	21	72	646	827	A6B09E16E2DD12CD70BC63326FA38DC4237175214642DA56FB4821EBE561DB4E	PASS
84	101	22	72	646	827	D633719741087AF736ABD778ED3A119CD28C1A86DA6499C9DAF0BC9858EFE9FD	PASS
85	102	23	72	646	827	8123D6FEC769CE59785A8357C4397C8643D55EC6DABCB8D9021FA5B1E0B85316	PASS
86	103	24	72	646	827	D162ABCC624E39D9A64D724D382A10CD189A7DB04185F1C343649CB0CC464925	PASS
87	104	25	72	646	827	A7CE9103B44EC61FA6ADB8BEBCB215F0E9002F5CC27210B449D147E549C70E9A	PASS
88	105	26	72	646	827	6553E3B8FDDF93276254BC53BE661F49BF640D078F60B86A9FF6D645B649C00A	PASS
89	106	27	72	646	827	F5EE948D6156C9AEB5C5C8B813E4C19770F977320E36E098CA958FBFED1D132B	PASS
90	107	28	72	646	827	82F1D6F17C2255175255E282C18E2789C6A1DDE5786308BC0F35C4596BC2F022	PASS
91	108	29	72	646	827	1A864ED29AC380A9056856B7DC6592C5D18CB48F28C48C1F29A70CC9ECFE855C	PASS
92	109	30	72	646	827	F9A8E99CD5DDF57A4E8BAB1EC70E6AAB69899677D63B9368C3BCFB62B1F4A5CA	PASS
93	110	31	72	646	827	CF4DEE255C171D0A266BCC31C8ECBE7784A0B22199C6F0738E50536EBCC6A4FD	PASS
94	111	32	72	646	827	C3D5C1BC7387BE592162D666C428F93D4A2145ED6619DEEC739B475B989BBC86	PASS
95	112	33	72	646	827	14530D1B909C33DCB45AE9426C03B260176B720F9BCB19E6E2CE084C455C860D	PASS
96	113	34	72	646	827	079C628B79EEE76C1515152C4CADB81735D789550FC02DCF0497B746988E91AC	PASS
97	114	35	72	646	827	880CA068A57560F1B897EB774CBE4C2920F1CB4C640255A161C2F6AFCF4BFA92	PASS
98	115	36	72	646	827	ADA25A882AB370CCE8725F2327B71E1AFC6452516DAB6C9F62A15A054227685A	PASS
