gate	status	evidence	detail
attached_zip_bytes_and_21_files	PASS	qa/INPUT_VALIDATION.json	21 extracted file members; CRC and path checks passed
all_attached_hashes	PASS	qa/INPUT_HASH_VALIDATION.tsv	24 hash rows, including overlapping inventories; no mismatches
inherited_archives_crc_and_member_hashes	PASS	qa/INHERITED_MEMBER_VALIDATION.tsv	97 member hashes, both ZIP CRCs; no textual acceptance by inheritance
authority_projection_and_fixed_page_map	PASS	qa/PAGEWISE_RASTER_EQUIVALENCE.tsv	36 of 36 rasters match the full authority at 72 dpi; page map exact once
copy_topology	PASS	ledgers/COPY_MATTER_LEDGER.tsv	p63 title and p64 blank logged, excluded from both author readers
r27_preservation_and_witness_replay	PASS	qa/R27_WITNESS_REPLAY.json	All 46 unpacked files rehashed unchanged; ten source-witness pages agree at 72 dpi
french_source_line_and_token_audit	PASS	qa/SOURCE_LINE_AUDIT.tsv	420 editable TeX lines; every author unit replayed against the scan; original line wrapping remains in the witness
inherited_line_audit	PASS	qa/INHERITED_TEX_LINE_AUDIT.tsv	Every physical line of both inherited TeX files classified; content lines replayed; wrappers excluded
full_english_alignment	PASS	qa/UNIT_ALIGNMENT.tsv	54 aligned source/translation units, including headings and rule records
mathematical_tokens	PASS	qa/FORMULA_AUDIT.tsv	415 inline/display segments checked; FR and EN tokens agree excluding translated prose; not a count of distinct equations
author_note	PASS	qa/NOTE_AUDIT.tsv	Full p71 note and *) anchor; all repaired formula variants source-backed
source_print_issues_retained	PASS	qa/SOURCE_PRINT_ISSUES.json	No silent emendation; p66 assertion and p70 plus retained and discussed separately
source_backed_corrections	PASS	SOURCE_BACKED_DIFF.tsv	44 concrete correction/alignment rows; all cite controlling authority leaves
current_page_seams	PASS	qa/PAGE_SEAM_AUDIT.tsv	Nine current seams checked; p74/75 is the next prompt boundary, not audited as a completed seam
independent_readers	PASS	editions/fr/main.tex; editions/en/main.tex	Ten page records per language, each included once; no cross-language source inclusion
double_builds	PASS	qa/BUILD_AND_VISUAL_RECEIPT.json	Two successful runs per reader and apparatus; final logs have no warnings, overfull/underfull boxes or missing-glyph reports; first-pass rerun notices resolved
full_output_visual_audit	PASS	qa/VISUAL_AUDIT.tsv	All 10 French, 10 English and 2 apparatus pages directly inspected after final repairs
output_geometry	PASS	qa/PDF_GEOMETRY_AUDIT.tsv	All text spans within media boxes; visual inspection confirms no clipping
paper_v_exclusion	PASS	qa/PAPER_V_EXCLUSION.json	Boundary title inspected only; no Paper V text transcribed or translated
prior_zero_page_checkpoint	PASS	qa/PRIOR_ACCESS_CHECKPOINT_PRESERVATION.json	Prior evidence preserved unpacked; no accepted text inherited
scope_and_cursor	PASS	state/CURSOR.json	Only Prompt 01 executed; pages65–74 accepted; next cursor2; full-project completion not claimed
