layer	inherited_path	inherited_tex_line	inherited_unit	printed_pages	line	disposition	evidence
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	1				PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	2			\documentclass[11pt]{article}	PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	3			\usepackage[a4paper,margin=30mm]{geometry}	PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	4			\usepackage{fontspec}	PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	5			\setmainfont{DejaVu Serif}	PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	6			\usepackage{amsmath,amssymb}	PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	7			\usepackage{microtype}	PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	8			\usepackage{enumitem}	PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	9			\usepackage{hyperref}	PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	10			\hypersetup{colorlinks=false,pdfborder={0 0 0}}	PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	11			\newcommand{\leg}[2]{\left(\frac{#1}{#2}\right)}	PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	12			\newcommand{\unitid}[1]{\hypertarget{#1}{}}	PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	13			\setlength{\parindent}{1.2em}	PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	14			\setlength{\parskip}{0.25em}	PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	15		65	\begin{document}	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p065_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	16				PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	17		65	\begin{center}	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p065_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	18		65	{\Large\bfseries RECHERCHES SUR LES DIVISEURS PREMIERS D'UNE CLASSE\\	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p065_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	19		65	DE FORMULES DU QUATRIÈME DEGRÉ.}\\[1.2em]	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p065_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	20		65	{1\textsuperscript{er} Mémoire.}	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p065_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	21		65	\end{center}	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p065_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	22				PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	23	par.001	65	\unitid{dirichlet.v1.p04a.par.001}On trouve, dans les annonces littéraires de Gottingue (11 avril 1825), l'extrait d'un mémoire d'analyse indéterminée que M. \textsc{Gauss} a présenté à la Société Royale des Sciences de cette ville, mais qui n'a pas encore été imprimé. Ce mémoire est le premier d'une suite de mémoires que l'illustre auteur des \emph{Disquisitiones arithmeticae} se propose de donner sur la théorie des résidus biquadratiques, et a pour objet de déterminer les caractères distinctifs des nombres premiers diviseurs de la formule $x^4-2$. L'auteur y établit deux théorèmes extrêmement élégants qui peuvent servir à décider, si un nombre premier, diviseur de $x^2-2$, divise ou ne divise pas la formule précédente. Ayant eu connaissance, dans le courant de l'année qui vient de finir, de l'extrait cité qui ne contient que les énoncés des deux théorèmes dont il vient d'être question, et de quelques propositions auxiliaires, j'eus le désir de démontrer de mon côté les beaux théorèmes découverts par M. \textsc{Gauss}. Les recherches que je fis dans cette vue me firent trouver une démonstration fondée sur des considérations extrêmement simples et probablement tout-à-fait différente de celle de M. \textsc{Gauss}, qui paraît exiger des recherches préliminaires très délicates et assez étendues. J'appliquai ensuite des considérations analogues à d'autres questions et particulièrement à la recherche des propriétés qui distinguent les diviseurs premiers de la formule $\alpha x^4+\beta x^2+\gamma$; et je parvins ainsi à un grand nombre de théorèmes intéressants. L'exposition rapide d'une partie des résultats auxquels ces recherches m'ont conduit, est l'objet du présent mémoire. Je commence par poser quelques définitions et par énoncer quelques théorèmes très faciles à établir et sur lesquels nous aurons à nous appuyer dans la suite.	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p065_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	24	par.001			PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	25	par.001	65	\begin{center}1.\end{center}	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p065_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	26	par.001			PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	27	par.002	66	\unitid{dirichlet.v1.p04a.par.002}»Si l'on peut attribuer à l'indéterminée $x$ une valeur telle que $x^4-A$ devienne divisible par $B$, $A$ sera dit résidu biquadratique par rapport à $B$.«	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	28	par.002			PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	29	par.003	66	\unitid{dirichlet.v1.p04a.par.003}Il est facile de voir que, si un nombre $A$ est résidu biquadratique par rapport à un nombre $B$, ou en d'autres termes, si $B$ est diviseur de $x^4-A$, chaque facteur premier de $B$ sera pareillement diviseur de $x^4-A$, et réciproquement, que si cette condition a lieu par rapport à tout facteur premier du nombre $B$, $B$ sera lui-même diviseur de $x^4-A$. On peut donc se borner, lorsqu'il s'agit d'assigner tous les nombres qui divisent la formule $x^4-A$, à ne considérer que les nombres premiers.	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	30	par.003			PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	31	par.004	66	\unitid{dirichlet.v1.p04a.par.004}Il n'est pas moins évident que, pour qu'un nombre divise la formule $x^4-A$, il est nécessaire que ce nombre soit diviseur de $x^2-A$. Il n'y a donc à examiner que les nombres premiers diviseurs de cette dernière formule, c'est-à-dire les nombres premiers par rapport auxquels $A$ est résidu quadratique. On peut ajouter que, relativement à ceux de ces derniers qui sont de la forme $4n+3$, la question ne présente aucune difficulté; car on s'assure par un raisonnement très simple que tout nombre premier $4n+3$, diviseur de $x^2-A$, divise aussi la formule $x^4-A$.	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	32	par.004			PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	33	par.005	66	\unitid{dirichlet.v1.p04a.par.005}Soit $p$ un nombre premier $4n+1$, diviseur de $x^2-A$, $A$ désignant un nombre positif ou négatif, non-divisible par $p$; on a, comme l'on sait,	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	34	par.005	66	\[	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	35	par.005	66	 A^{\frac{p-1}{2}}\equiv 1 \pmod p.	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	36	par.005	66	\]	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	37	par.005	66	On conclut de là,	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	38	par.005	66	\[	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	39	par.005	66	 A^{\frac{p-1}{4}}\equiv \pm 1 \pmod p	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	40	par.005	66	\]	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
