reader	pdf_page	printed_page	content_bbox_pt	page_size_pt	outside_media_box	status
readers/PAPER_IV_FR_PP065_074.pdf	1	65	62.362,63.685,535.050,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_074.pdf	2	66	61.980,38.790,535.035,432.406	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_074.pdf	3	67	62.362,38.790,534.720,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_074.pdf	4	68	62.362,38.790,535.041,646.084	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_074.pdf	5	69	62.362,38.790,534.422,586.879	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_074.pdf	6	70	62.113,38.790,535.050,524.625	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_074.pdf	7	71	61.980,38.790,534.716,784.073	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_074.pdf	8	72	61.937,38.790,534.427,684.786	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_074.pdf	9	73	61.937,38.790,534.425,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_074.pdf	10	74	62.113,38.790,534.714,543.492	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_074.pdf	1	65	61.969,63.685,535.041,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_074.pdf	2	66	61.969,38.790,534.430,432.406	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_074.pdf	3	67	61.969,38.790,535.035,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_074.pdf	4	68	61.969,38.790,535.041,646.717	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_074.pdf	5	69	61.969,38.790,535.039,571.524	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_074.pdf	6	70	61.969,38.790,534.431,540.068	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_074.pdf	7	71	61.969,38.790,534.473,784.071	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_074.pdf	8	72	61.937,38.790,535.039,683.462	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_074.pdf	9	73	61.086,38.790,534.430,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_074.pdf	10	74	61.937,38.790,532.920,528.170	595.280,841.890	NO	PASS
readers/PAPER_IV_APPARATUS_S01.pdf	1	APPARATUS	73.246,71.583,523.701,800.193	595.280,841.890	NO	PASS
readers/PAPER_IV_APPARATUS_S01.pdf	2	APPARATUS	73.297,73.097,523.701,800.193	595.280,841.890	NO	PASS
