printed_page	authority_pdf_page	unit_id	edition_tex_line	tex_line	authority_evidence	status	note
65	82	p065.title	3	\begin{center}	qa/source/p065_authority.png; full PDF 82; scope leaf 3; region_xyxy_fraction=(0.1, 0.23, 0.76, 0.33)	CHECKED_AGAINST_PRINT	Edition source line, not an asserted physical scan-line number; TeX control lines retain structure.
65	82	p065.title	4	{\large RECHERCHES SUR LES DIVISEURS PREMIERS D'UNE CLASSE\\	qa/source/p065_authority.png; full PDF 82; scope leaf 3; region_xyxy_fraction=(0.1, 0.23, 0.76, 0.33)	CHECKED_AGAINST_PRINT	Edition source line, not an asserted physical scan-line number; TeX control lines retain structure.
65	82	p065.title	5	DE FORMULES DU QUATRIÈME DEGRÉ.}\par	qa/source/p065_authority.png; full PDF 82; scope leaf 3; region_xyxy_fraction=(0.1, 0.23, 0.76, 0.33)	CHECKED_AGAINST_PRINT	Edition source line, not an asserted physical scan-line number; TeX control lines retain structure.
65	82	p065.title	6	\vspace{5pt}\rule{18mm}{0.25pt}\par\vspace{5pt}	qa/source/p065_authority.png; full PDF 82; scope leaf 3; region_xyxy_fraction=(0.1, 0.23, 0.76, 0.33)	CHECKED_AGAINST_PRINT	Edition source line, not an asserted physical scan-line number; TeX control lines retain structure.
65	82	p065.title	7	1\textsuperscript{er} Mémoire.	qa/source/p065_authority.png; full PDF 82; scope leaf 3; region_xyxy_fraction=(0.1, 0.23, 0.76, 0.33)	CHECKED_AGAINST_PRINT	Edition source line, not an asserted physical scan-line number; TeX control lines retain structure.
65	82	p065.title	8	\end{center}	qa/source/p065_authority.png; full PDF 82; scope leaf 3; region_xyxy_fraction=(0.1, 0.23, 0.76, 0.33)	CHECKED_AGAINST_PRINT	Edition source line, not an asserted physical scan-line number; TeX control lines retain structure.
65	82	p065.u01	10	\par\indent	qa/source/p065_authority.png; full PDF 82; scope leaf 3; region_xyxy_fraction=(0.1, 0.33, 0.76, 0.76)	CHECKED_AGAINST_PRINT	Edition source line, not an asserted physical scan-line number; TeX control lines retain structure.
65	82	p065.u01	11	On trouve, dans les annonces littéraires de Gottingue (11 avril 1825),	qa/source/p065_authority.png; full PDF 82; scope leaf 3; region_xyxy_fraction=(0.1, 0.33, 0.76, 0.76)	CHECKED_AGAINST_PRINT	Edition source line, not an asserted physical scan-line number; TeX control lines retain structure.
65	82	p065.u01	12	l'extrait d'un mémoire d'analyse indéterminée que M. \textsc{Gauss} a présenté à la	qa/source/p065_authority.png; full PDF 82; scope leaf 3; region_xyxy_fraction=(0.1, 0.33, 0.76, 0.76)	CHECKED_AGAINST_PRINT	Edition source line, not an asserted physical scan-line number; TeX control lines retain structure.
65	82	p065.u01	13	Société Royale des Sciences de cette ville, mais qui n'a pas encore été imprimé.	qa/source/p065_authority.png; full PDF 82; scope leaf 3; region_xyxy_fraction=(0.1, 0.33, 0.76, 0.76)	CHECKED_AGAINST_PRINT	Edition source line, not an asserted physical scan-line number; TeX control lines retain structure.
65	82	p065.u01	14	Ce mémoire est le premier d'une suite de mémoires que l'illustre auteur	qa/source/p065_authority.png; full PDF 82; scope leaf 3; region_xyxy_fraction=(0.1, 0.33, 0.76, 0.76)	CHECKED_AGAINST_PRINT	Edition source line, not an asserted physical scan-line number; TeX control lines retain structure.
