printed_page	authority_pdf_page	scope_leaf	unit_id	structure	fr_tex_lines	en_tex_lines	math_segments	authority_evidence	french_audit	english_audit
65	82	3	p065.title	heading	3-8	3-8	0	qa/source/p065_authority.png; full PDF 82; scope leaf 3; region_xyxy_fraction=(0.1, 0.23, 0.76, 0.33)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
65	82	3	p065.u01	paragraph-start	10-33	10-32	3	qa/source/p065_authority.png; full PDF 82; scope leaf 3; region_xyxy_fraction=(0.1, 0.33, 0.76, 0.76)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
65	82	3	p065.rule	terminal-rule	35-35	34-34	0	qa/source/p065_authority.png; full PDF 82; scope leaf 3; region_xyxy_fraction=(0.33, 0.76, 0.51, 0.78)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
66	83	4	p066.section	heading	3-3	3-3	0	qa/source/p066_authority.png; full PDF 83; scope leaf 4; region_xyxy_fraction=(0.54, 0.14, 0.59, 0.16)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
66	83	4	p066.u01	paragraph-start	5-7	5-7	5	qa/source/p066_authority.png; full PDF 83; scope leaf 4; region_xyxy_fraction=(0.25, 0.16, 0.91, 0.2)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
66	83	4	p066.u02	paragraph-start	9-16	9-15	10	qa/source/p066_authority.png; full PDF 83; scope leaf 4; region_xyxy_fraction=(0.25, 0.2, 0.91, 0.33)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
66	83	4	p066.u03	paragraph-start	18-26	17-24	7	qa/source/p066_authority.png; full PDF 83; scope leaf 4; region_xyxy_fraction=(0.25, 0.33, 0.91, 0.47)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
66	83	4	p066.u04	paragraph-start	28-33	26-32	9	qa/source/p066_authority.png; full PDF 83; scope leaf 4; region_xyxy_fraction=(0.25, 0.47, 0.91, 0.57)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
66	83	4	p066.u05	paragraph-start	35-39	34-39	8	qa/source/p066_authority.png; full PDF 83; scope leaf 4; region_xyxy_fraction=(0.25, 0.57, 0.91, 0.66)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
66	83	4	p066.u06	paragraph-start	41-48	41-48	10	qa/source/p066_authority.png; full PDF 83; scope leaf 4; region_xyxy_fraction=(0.25, 0.66, 0.91, 0.79)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
67	84	5	p067.u01	paragraph-start	3-8	3-8	10	qa/source/p067_authority.png; full PDF 84; scope leaf 5; region_xyxy_fraction=(0.1, 0.13, 0.76, 0.23)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
67	84	5	p067.u02	paragraph-start	10-15	10-15	10	qa/source/p067_authority.png; full PDF 84; scope leaf 5; region_xyxy_fraction=(0.1, 0.23, 0.76, 0.33)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
67	84	5	p067.section	heading	17-17	17-17	0	qa/source/p067_authority.png; full PDF 84; scope leaf 5; region_xyxy_fraction=(0.39, 0.34, 0.44, 0.37)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
67	84	5	p067.u03	paragraph-start; continues through p.68 and p.69	19-39	19-39	35	qa/source/p067_authority.png; full PDF 84; scope leaf 5; region_xyxy_fraction=(0.1, 0.37, 0.76, 0.79)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
68	85	6	p068.u01	continuation of p067.u03	3-13	3-13	8	qa/source/p068_authority.png; full PDF 85; scope leaf 6; region_xyxy_fraction=(0.25, 0.14, 0.91, 0.31)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
68	85	6	p068.u02	continuation	15-29	15-30	16	qa/source/p068_authority.png; full PDF 85; scope leaf 6; region_xyxy_fraction=(0.25, 0.31, 0.91, 0.52)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
68	85	6	p068.u03	continuation	31-37	32-38	1	qa/source/p068_authority.png; full PDF 85; scope leaf 6; region_xyxy_fraction=(0.25, 0.52, 0.91, 0.61)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
68	85	6	p068.u04	continuation	39-45	40-46	1	qa/source/p068_authority.png; full PDF 85; scope leaf 6; region_xyxy_fraction=(0.25, 0.61, 0.91, 0.7)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
68	85	6	p068.u05	continuation	47-53	48-54	1	qa/source/p068_authority.png; full PDF 85; scope leaf 6; region_xyxy_fraction=(0.25, 0.7, 0.91, 0.8)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
69	86	7	p069.u01	continuation of p067.u03	3-18	3-18	13	qa/source/p069_authority.png; full PDF 86; scope leaf 7; region_xyxy_fraction=(0.1, 0.14, 0.76, 0.37)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
69	86	7	p069.u02	continuation	20-34	20-35	12	qa/source/p069_authority.png; full PDF 86; scope leaf 7; region_xyxy_fraction=(0.1, 0.37, 0.76, 0.61)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
69	86	7	p069.u03	paragraph-start	36-40	37-40	10	qa/source/p069_authority.png; full PDF 86; scope leaf 7; region_xyxy_fraction=(0.1, 0.61, 0.76, 0.68)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
69	86	7	p069.u04	paragraph-start	42-46	42-46	1	qa/source/p069_authority.png; full PDF 86; scope leaf 7; region_xyxy_fraction=(0.1, 0.68, 0.76, 0.76)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
