"filename","status","additions","deletions","changes","category","decision","label"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_C4304BFD_45250D8F_R9_OLP_INTERLANGUAGE_PERSIANATE_NONSLAVIC_BATCH_20260707/B3_ACTION_SUMMARY.csv","added","2","0","2","b3_b952_package","source-use/provenance/gap route context only unless owner packet supplies independent source-body evidence","source-use/provenance/gap"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_C4304BFD_45250D8F_R9_OLP_INTERLANGUAGE_PERSIANATE_NONSLAVIC_BATCH_20260707/BRANCH_PR_STATE.csv","added","10","0","10","b3_b952_package","source-use/provenance/gap route context only unless owner packet supplies independent source-body evidence","source-use/provenance/gap"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_C4304BFD_45250D8F_R9_OLP_INTERLANGUAGE_PERSIANATE_NONSLAVIC_BATCH_20260707/MANIFEST.csv","added","9","0","9","b3_b952_package","source-use/provenance/gap route context only unless owner packet supplies independent source-body evidence","source-use/provenance/gap"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_C4304BFD_45250D8F_R9_OLP_INTERLANGUAGE_PERSIANATE_NONSLAVIC_BATCH_20260707/MANIFEST_REPLAY.csv","added","123","0","123","b3_b952_package","source-use/provenance/gap route context only unless owner packet supplies independent source-body evidence","source-use/provenance/gap"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_C4304BFD_45250D8F_R9_OLP_INTERLANGUAGE_PERSIANATE_NONSLAVIC_BATCH_20260707/PACKAGE_FILE_LEDGER.csv","added","140","0","140","b3_b952_package","source-use/provenance/gap route context only unless owner packet supplies independent source-body evidence","source-use/provenance/gap"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_C4304BFD_45250D8F_R9_OLP_INTERLANGUAGE_PERSIANATE_NONSLAVIC_BATCH_20260707/PACKAGE_ROOT_SUMMARY.csv","added","7","0","7","b3_b952_package","source-use/provenance/gap route context only unless owner packet supplies independent source-body evidence","source-use/provenance/gap"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_C4304BFD_45250D8F_R9_OLP_INTERLANGUAGE_PERSIANATE_NONSLAVIC_BATCH_20260707/README.md","added","7","0","7","b3_b952_package","source-use/provenance/gap route context only unless owner packet supplies independent source-body evidence","source-use/provenance/gap"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_C4304BFD_45250D8F_R9_OLP_INTERLANGUAGE_PERSIANATE_NONSLAVIC_BATCH_20260707/SAFETY_SCAN_HITS.csv","added","0","0","0","b3_b952_package","source-use/provenance/gap route context only unless owner packet supplies independent source-body evidence","source-use/provenance/gap"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_C4304BFD_45250D8F_R9_OLP_INTERLANGUAGE_PERSIANATE_NONSLAVIC_BATCH_20260707/SHA256SUMS.txt","added","8","0","8","b3_b952_package","source-use/provenance/gap route context only unless owner packet supplies independent source-body evidence","source-use/provenance/gap"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_C4304BFD_45250D8F_R9_OLP_INTERLANGUAGE_PERSIANATE_NONSLAVIC_BATCH_20260707/SHA256SUMS_REPLAY.csv","added","128","0","128","b3_b952_package","source-use/provenance/gap route context only unless owner packet supplies independent source-body evidence","source-use/provenance/gap"
