visual_id,root_label,original_name,relative_name,bytes,sha256,width_px,height_px,mode,format,modified_local,source_pdf_index_0based,physical_pdf_page_1based,book_folio,expose_scope,page_inference,selection_reason,generator_name,generator_sha256,generator_match,archive_member,canonical
SGA7II-VIS-04910,producer_a,a1.png,a1.png,14438,626F04D31E7A38399AA12FA23F362CB380616BBD91DE8EE16FE285DF97DD5053,5785,727,L,PNG,2026-07-31T05:55:21,,,,unresolved,unresolved,direct_Number12_generator,zoomcrop179.py,4901519280797F3F2293577554A2C2F72349A727A59FDCA2366A55CAA1FD4CBF,nearest_preceding_90s,images/SGA7II-VIS-04910_a1.png,1
SGA7II-VIS-04913,producer_a,a2.png,a2.png,14805,B8F04187FA8E0D3227B7DC49B7820874408E37C1442CDE4A16B2104737EE9CD1,7560,739,L,PNG,2026-07-31T05:55:21,,,,unresolved,unresolved,direct_Number12_generator,zoomcrop179.py,4901519280797F3F2293577554A2C2F72349A727A59FDCA2366A55CAA1FD4CBF,nearest_preceding_90s,images/SGA7II-VIS-04913_a2.png,1
SGA7II-VIS-03867,producer_a,a209_eqs1.png,a209_eqs1.png,47268,02A25250176529FAF504F71DEABBB04D0F6A619302FCBADC80790DFCFA73AAC1,2601,880,L,PNG,2026-07-31T06:13:12,195,196,188,XV,generator_job,direct_Number12_generator,crop195b.py,7988F95205FBE2A0E9AAB4A9B45AA65D545DC15CBF831668A0195AEFC2C1DA3C,nearest_preceding_90s,images/SGA7II-VIS-03867_a209_eqs1.png,1
SGA7II-VIS-03868,producer_a,a209_eqs2.png,a209_eqs2.png,31221,DC7F4B5E7B89AA9FD17E4F42773D56286DA8250539C01FCF38E13B0D3D80973C,2601,992,L,PNG,2026-07-31T06:13:12,195,196,188,XV,generator_job,direct_Number12_generator,crop195b.py,7988F95205FBE2A0E9AAB4A9B45AA65D545DC15CBF831668A0195AEFC2C1DA3C,nearest_preceding_90s,images/SGA7II-VIS-03868_a209_eqs2.png,1
SGA7II-VIS-04065,producer_a,a209_low.png,a209_low.png,74790,EE7EB23B920DC1678493E916F07D89B5153EBE953369B9ED30311C288B4E43B8,2601,1163,L,PNG,2026-07-31T06:13:12,209,210,202,XVI,numeric_filename_inference,direct_Number12_generator,crop195b.py,7988F95205FBE2A0E9AAB4A9B45AA65D545DC15CBF831668A0195AEFC2C1DA3C,nearest_preceding_90s,images/SGA7II-VIS-04065_a209_low.png,1
SGA7II-VIS-03869,producer_a,a209_prop.png,a209_prop.png,52325,D876B3977F55A479CC736D77B055C6805E1D4318BEB3AD6FB4EEA4A6FB3426D8,2601,561,L,PNG,2026-07-31T06:13:12,195,196,188,XV,generator_job,direct_Number12_generator,crop195b.py,7988F95205FBE2A0E9AAB4A9B45AA65D545DC15CBF831668A0195AEFC2C1DA3C,nearest_preceding_90s,images/SGA7II-VIS-03869_a209_prop.png,1
SGA7II-VIS-04118,producer_a,a210_low.png,a210_low.png,58588,58A92C18B21FAB534BB829516C9F126F87B9722A66ED4EC14B8431BFA35780A4,2601,863,L,PNG,2026-07-31T06:13:12,210,211,203,XVI,numeric_filename_inference,direct_Number12_generator,crop195b.py,7988F95205FBE2A0E9AAB4A9B45AA65D545DC15CBF831668A0195AEFC2C1DA3C,nearest_preceding_90s,images/SGA7II-VIS-04118_a210_low.png,1
SGA7II-VIS-03870,producer_a,a210_mid.png,a210_mid.png,85786,FD110E94013B70743A9F836C09586E9D66B2936C47B2AC9782F27346C1EFC3F6,2601,1207,L,PNG,2026-07-31T06:13:12,195,196,188,XV,generator_job,direct_Number12_generator,crop195b.py,7988F95205FBE2A0E9AAB4A9B45AA65D545DC15CBF831668A0195AEFC2C1DA3C,nearest_preceding_90s,images/SGA7II-VIS-03870_a210_mid.png,1
SGA7II-VIS-03871,producer_a,a210_mid2.png,a210_mid2.png,67371,55A4757628D5C4A31925FE3649E8DA23F2E6BA5A06ECDE96FA526D1E346810DE,2601,992,L,PNG,2026-07-31T06:13:12,195,196,188,XV,generator_job,direct_Number12_generator,crop195b.py,7988F95205FBE2A0E9AAB4A9B45AA65D545DC15CBF831668A0195AEFC2C1DA3C,nearest_preceding_90s,images/SGA7II-VIS-03871_a210_mid2.png,1
SGA7II-VIS-03872,producer_a,a210_top.png,a210_top.png,90403,E7C738ABF07D0DF833BCADC3F5082DF37B25474DA94691DBCF9EE6513DCF56AA,2601,1164,L,PNG,2026-07-31T06:13:12,195,196,188,XV,generator_job,direct_Number12_generator,crop195b.py,7988F95205FBE2A0E9AAB4A9B45AA65D545DC15CBF831668A0195AEFC2C1DA3C,nearest_preceding_90s,images/SGA7II-VIS-03872_a210_top.png,1
