"map_id","family","lane","current_evidence_state","reviewer_or_source_owner_route","ethics_guardrail","return_status","blocked_gates","next_action"
"R6-IA-PERU-QA","Indigenous Americas","Quechua Central; Quechua Chanka; Aymara","T2 exact PDF/text captures; T3 candidate official-local authority; no returns","Peru EIB source-context reviewer; Quechua/Aymara educator; language-standard reviewer; qualified Andean math-education reviewer","Keep standards separate; no Quechua macrostandard or Quechua/Aymara bridge","no_filled_reviewer_or_source_owner_return_recorded","source authority; crosswalk; terms; excerpts; translation; constructed surface; pilot","collect row-specific authority/reuse/crosswalk returns"
"R6-IA-BOL-QUECHUA","Indigenous Americas","Bolivia Quechua","one candidate exact curriculum PDF; math-specific longitudes route unresolved","not yet opened; needs source-owner or qualified Bolivia Quechua/EIB reviewer","Candidate exact source is not authority; local knowledge/measurement context must not become algebra authority","no_filled_reviewer_or_source_owner_return_recorded","terms; crosswalk; excerpt; translation; constructed surface; pilot","open request for captured PDF; continue resolving red.minedu longitudes PDF"
"R6-IA-UNRESOLVED","Indigenous Americas","Paraguay Guarani; Ecuador EIB; Guatemala Uspanteko; Mexico Nahuatl/Hnahnu/Maya/Nanahuatzin; Bolivia longitudes","T1 routes; failed captures; HTTP/error payloads; resolver rows","not yet opened; exact source required first","No family bridge or language-standard claim from route-only evidence","no_filled_reviewer_or_source_owner_return_recorded","math witness claim; source authority; terms; translation; pilot","resolve exact official downloads and then create language-specific return requests"
"R6-CR-KREYOL","Creole/contact","Haitian Creole/Kreyol numeracy and STEM","four MIT-Ayiti T2 exact captures; T3 candidate classroom/source route; no returns","source owner; MIT-Ayiti-affiliated maintainer; Kreyol math educator; qualified Kreyol STEM reviewer","Do not infer reuse or term authority from a captured page","no_filled_reviewer_or_source_owner_return_recorded","copied prose/media; excerpts; accepted terms; translation/adaptation; constructed register; pilot","route the four request rows and create return ledger only after dated return"
"R6-CR-OTHER","Creole/contact","Bislama; Papiamento/Papiamentu; Indian Ocean Creoles; Sranan/Guyanas; Jamaican Creole/Patois; Nigerian Pidgin; Krio; Tok Pisin; Cape Verdean Kriolu; Belize Kriol; others","dated Bislama, Aruba, Mauritius, Krio, Tok Pisin, Nigerian Pidgin, and Cape Verdean Kriolu route/capture addenda now exist as source-canon metadata; 0 promoted exact creole STEM source-authority rows","named-language source owner or qualified local-language STEM reviewer after exact source capture","No pan-creole register; no lexifier substitution; comparators stay comparators","no_filled_reviewer_or_source_owner_return_recorded","exact STEM witness promotion; terms; excerpt; translation; constructed surface; pilot","resolve exact Aruba, MIE/Kreol, Nigerian Pidgin, Krio, Tok Pisin, Cape Verdean Kriolu, Belize Kriol, and other named routes; route source-owner/reuse requests where exact captures already exist"
"R6-SL-ASL","Signed language","ASL video-first STEM","ASL-STEM route and ASL-CORE equation/array video routes; labels metadata only","source owner; ASL STEM lexicon maintainer; Deaf/ASL STEM educator; qualified ASL reviewer","Video-first; media rights separate from lexical authority","no_filled_reviewer_or_source_owner_return_recorded","accepted signs; copied media; derived stills; cross-sign transfer; translation; pilot","ingest qualified ASL return before any sign or media movement"
"R6-SL-LSQ","Signed language","LSQ STEM","3 captured source routes; 11 category pointers; 14 candidate concept pointers; no returns","LSQ source owner; LSQ school/STEM reviewer; media/license contact; qualified LSQ access reviewer","Written French labels are metadata only; preserve grade and variant scope","no_filled_reviewer_or_source_owner_return_recorded","accepted signs; copied media; excerpt; translation; constructed surface; pilot","wait for LSQ authority/media return and prioritize categories"
"R6-SL-DGS","Signed language","DGS MINT/math","Sign2MINT app/API route evidence; 8 source routes; 8 category pointers; 12 API concept pointers; 2 Goettingen video pointers","Sign2MINT/source owner; DGS STEM reviewer; media/license contact; Goettingen route owner where relevant","German terms/API/SWU/video URLs are metadata; no media copied","no_filled_reviewer_or_source_owner_return_recorded","accepted signs/SWU; copied media; terms; translation; constructed surface; pilot","resolve source authority, SWU/variant treatment, and media reuse before movement"
"R6-SL-IS","Signed language","International Sign policy/comparator","4 policy/comparator captures; 5 guardrail decisions; no technical lexicon","International Sign interpreter/reviewer; WASLI/EUD/WFD-informed reviewer; qualified signed-language access planner","International Sign is comparator/support context, not default technical lane","no_filled_reviewer_or_source_owner_return_recorded","technical lexicon; one-sign-per-term table; local sign replacement; pilot","keep local lanes first; create request only for explicit cross-border support case"
"R6-OER-CONTROL","Source-pointer control","OLP/OpenIntro proof-literacy and numeracy controls","source-pointer rows only; no selected excerpts or adaptations","target-lane reviewer plus license/reuse clearance needed","Do not import external OER prose into R6 before local authority and license plan","no_filled_reviewer_or_source_owner_return_recorded","copied prose/tables/figures/datasets; adaptation; translation; pilot","choose target lane and license plan only after source/reviewer gates"
