id,location,category,prior_english,current_english,authority,evidence,status
N10-001,"paper title","punctuation","title lacked final period","title ends with source period","R823 German authority and printed p. 536","R823 line 1; source scan p. 536","applied"
N10-002,"opening paratext","source paratext","journal line only","restored By / Emmy Noether in Göttingen byline","R823 German authority and printed p. 536","R823 lines 2-10; source scan p. 536","applied"
N10-003,"paper footnotes","source apparatus","ordinary sequential numerical markers","restored printed local star markers","R823 German authority and ten-page scan","R823 srcfn apparatus; printed pp. 536-545","applied-source-fidelity"
N10-004,"Noether citation","bibliographic correction","Math. Ann. 77 p. 103 (1915)","Math. Ann. 77 p. 103 (1916)","R823 German authority and printed p. 537","R823 line 25; scan p. 537","applied"
N10-005,"section 1 integral-domain formulation","mathematical notation","four uses of fraktur S domain","four uses of fraktur J domain","R823 German authority and printed p. 538","R823 line 38; scan p. 538","applied"
N10-006,"construction item c","mathematical index","i_nu list","i_tau list with source dot leaders","R823 German authority and printed p. 540","R823 line 54; scan p. 540","applied"
N10-007,"construction item d","mathematical index","k_nu list","k_sigma list with source dot leaders","R823 German authority and printed p. 540","R823 line 55; scan p. 540","applied"
N10-008,"factorization in case 2","mathematical notation","F(t; theta)","F(t; theta_i)","R823 German authority and printed p. 541","R823 line 90; scan p. 541","applied"
N10-009,"section 4 linear basis","completeness","definition footnote omitted from standalone and FINAL_AUDITED control","restored definition footnote from source-complete RA10 English","RA10 English plus R823 and printed p. 542","RA10 line 7522; R823 line 105; scan p. 542","applied"
N10-010,"rank-four equations","source typography","compact cdots","three explicit printed dot leaders","R823 German authority and printed p. 543","R823 lines 126-128; scan p. 543","applied-source-fidelity"
N10-011,"rank-two continuous solution","mathematical typography","i adjacent to parenthesized factor","explicit i multiplication dot","R823 German authority and printed p. 544","R823 line 154; scan p. 544","applied"
N10-012,"rank-three exclusion display","mathematical typography","f used a curly delimiter","f uses source round parentheses","R823 German authority and printed p. 545","R823 line 180; scan p. 545","applied"
N10-013,"paper boundary","layout-only delta","standalone omits cumulative clearpage","standalone remains without cumulative clearpage","R823 German authority","R823 paper boundary; standalone packaging rule","disposed-no-English-change"
