check	expected	observed	status
returned_zip_identity	24765905_bytes_SHA256_64188B008AD3001F38ACE0EB62024C5C75C6F60F08F7A764416EE2EDC0F8E1B4	24765905_bytes_SHA256_64188B008AD3001F38ACE0EB62024C5C75C6F60F08F7A764416EE2EDC0F8E1B4	PASS
returned_zip_replay	48_members_no_duplicate_names_no_extracted_mismatch	48_members_25657294_uncompressed_bytes_0_duplicate_names_0_extracted_mismatches	PASS
authority_identity	7_pages_262396_bytes_SHA256_4ADB0A4D7D12F41F92E24FE4D02897CA38695237599E44AE42FB0100ABCE5A5F	7_pages_262396_bytes_SHA256_4ADB0A4D7D12F41F92E24FE4D02897CA38695237599E44AE42FB0100ABCE5A5F	PASS
comparator_identity	7_pages_186438_bytes_SHA256_56DFE5A5D9CD23848ABD3296A962F998AE40AD6733F6062E2D111137F8B2816C	7_pages_186438_bytes_SHA256_56DFE5A5D9CD23848ABD3296A962F998AE40AD6733F6062E2D111137F8B2816C	PASS
zero_accepted_identity	11674283_bytes_SHA256_A2040A641961CFF0BC0DF303AFE5E1EB4DBB99606FAA97293F8591AB94F7BC9E	11674283_bytes_SHA256_A2040A641961CFF0BC0DF303AFE5E1EB4DBB99606FAA97293F8591AB94F7BC9E	PASS
zero_accepted_replay	43_members_no_duplicate_names	43_members_12266345_uncompressed_bytes_0_duplicate_names	PASS
cold_workspace_input_identity	all_source_and_asset_bytes_identical	15_of_15_files_identical	PASS
deterministic_FR	A_equals_B_equals_cold	130874_bytes_SHA256_ACBB7BF1D6B67EB7EA5781C560EA4815DF8901C880AA6309FF2589B3560D47DE	PASS
deterministic_EN	A_equals_B_equals_cold	129739_bytes_SHA256_2DD8AD09E9672F004AE600D53A995E08C6A5CD849BD73A19337ED4F37E6323AA	PASS
deterministic_apparatus	A_equals_B_equals_cold	5178279_bytes_SHA256_8DDAF92E6720FF868C633C50B5EC87817C44407DFA8830D65873B011A7B1C10B	PASS
PDF_page_topology	FR_7_EN_7_apparatus_7	FR_7_EN_7_apparatus_7	PASS
PDF_page_geometry	all_A4	all_595.276_x_841.89_points_A4	PASS
PDF_text_replacement_characters	zero	FR_0_EN_0_apparatus_0	PASS
semantic_markers	22_required_title_label_formula_bibliography_address_and_asset_markers	22_of_22	PASS
reader_diagram_embedding	one_presentation_image_each	FR_1_EN_1	PASS
apparatus_image_embedding	seven_full_pages_plus_raw_and_presentation_diagrams	9_images	PASS
asset_decode	nine_PNG_assets_decode	nine_of_nine	PASS
build_logs	A_B_and_cold_logs_have_no_TeX_errors_or_warnings	nine_logs_checked_zero_problem_logs	PASS
visual_QA	all_FR_EN_and_apparatus_pages_inspected	21_of_21_pages_no_clipping_overlap_missing_glyph_or_image_overflow	PASS
copy_matter_mapping	all_scoped_copy_and_overlap_neighbor_dispositions_explicit	11_rows_bound	PASS
canonical_topology	printed_pages_79_through_85_once_each	seven_rows_and_all_cross_page_boundaries_bound	PASS
first_name_public_surface	zero_case_insensitive_matches	zero_matches_in_twenty_candidate_public_files	PASS
nonpatching_cold_audit	cold_inputs_are_copies_and_no_source_changed	fifteen_input_hashes_identical_and_three_outputs_identical	PASS
