"current_head","row_id","term","blocker_status","exact_blocker","current_frontier_observation","checked_paths","next_recovery_action","labels","same_frontier_dedup_result","verified_head","frontier_correction_note","requested_frontier"
"9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","term-ar-0001","Algebra","source-body/reviewer-open","Direct modern Arabic algebra TeX/LaTeX/LyX/e-print source package remains unrecovered; Wikibooks/native text supports draft context only.","9CFCF1AC adds B3 6034 frontier-advance visibility and sibling route accounting only; no Arabic source/reviewer decision changes.","git diff 6034c6b4126af7268d61e39ddb2e84d4842202f0..9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b; branch-visible-copies; prior-local-carryforward","Search direct Arabic algebra TeX/LaTeX/LyX/e-print/source archive evidence; keep الجبر/جبر/جبور as draft variants only until source package and review authority exist.","generated-draft/non-canonical/source-use/gap/provenance/not-native-reviewed/not-approved","unchanged-at-9737-route-layer","9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","Live-head correction does not alter the Arabic six-row source-use/gap/manual-review blocker state from 28019; adjacent route rows remain provenance context only.","d9ea29b008edeac55aba342edb6948440bdb145d"
"9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","term-ar-0002","Körper / field","source-body/reviewer-open","Field/Körper context has source witnesses, but حقل/جسم register and function/number field specificity remain reviewer-sensitive.","9CFCF1AC adds B3 6034 frontier-advance visibility and sibling route accounting only; no Arabic source/reviewer decision changes.","git diff 6034c6b4126af7268d61e39ddb2e84d4842202f0..9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b; branch-visible-copies; prior-local-carryforward","Continue field/Körper register recovery for حقل versus جسم and function/number-field specificity; require Arabic mathematical source and reviewer authority before narrowing.","generated-draft/non-canonical/source-use/gap/provenance/not-native-reviewed/not-approved","unchanged-at-9737-route-layer","9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","Live-head correction does not alter the Arabic six-row source-use/gap/manual-review blocker state from 28019; adjacent route rows remain provenance context only.","d9ea29b008edeac55aba342edb6948440bdb145d"
"9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","term-ar-0006","Ring / Ringbereich","source-body/reviewer-open","Ring context is strongest, but Ringbereich/nطاق حلقي remains a manual specialist review gap.","9CFCF1AC adds B3 6034 frontier-advance visibility and sibling route accounting only; no Arabic source/reviewer decision changes.","git diff 6034c6b4126af7268d61e39ddb2e84d4842202f0..9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b; branch-visible-copies; prior-local-carryforward","Continue Ringbereich specialist recovery for نطاق حلقي and ring-domain phrasing; ring/halaqa evidence is source-supported but not approved.","generated-draft/non-canonical/source-use/gap/provenance/not-native-reviewed/not-approved","unchanged-at-9737-route-layer","9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","Live-head correction does not alter the Arabic six-row source-use/gap/manual-review blocker state from 28019; adjacent route rows remain provenance context only.","d9ea29b008edeac55aba342edb6948440bdb145d"
"9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","term-ar-0003","Artinisch / Artinian","manual-source-review-open","Manual row: Artinian transliteration versus minimal/descending-chain phrase requires specialist review despite source witnesses.","9CFCF1AC adds B3 6034 frontier-advance visibility and sibling route accounting only; no Arabic source/reviewer decision changes.","git diff 6034c6b4126af7268d61e39ddb2e84d4842202f0..9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b; branch-visible-copies; prior-local-carryforward","Manual/source-review: recover Arabic uses of Artinian, descending-chain condition, and minimal condition in ring/module contexts; no canonicalization of آرتيني/الشرط الأصغري.","generated-draft/non-canonical/source-use/gap/provenance/not-native-reviewed/not-approved","unchanged-at-9737-route-layer","9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","Live-head correction does not alter the Arabic six-row source-use/gap/manual-review blocker state from 28019; adjacent route rows remain provenance context only.","d9ea29b008edeac55aba342edb6948440bdb145d"
"9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","term-ar-0004","Homomorphismus / homomorphism","manual-source-review-open","Manual row: تشاكل versus تجانس/تماثل variants require register review in ring/module context.","9CFCF1AC adds B3 6034 frontier-advance visibility and sibling route accounting only; no Arabic source/reviewer decision changes.","git diff 6034c6b4126af7268d61e39ddb2e84d4842202f0..9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b; branch-visible-copies; prior-local-carryforward","Manual/source-review: recover Arabic uses of homomorphism variants تشاكل/تجانس/تماثل in ring/module contexts; no accepted terminology claim.","generated-draft/non-canonical/source-use/gap/provenance/not-native-reviewed/not-approved","unchanged-at-9737-route-layer","9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","Live-head correction does not alter the Arabic six-row source-use/gap/manual-review blocker state from 28019; adjacent route rows remain provenance context only.","d9ea29b008edeac55aba342edb6948440bdb145d"
"9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","term-ar-0005","Isomorphismus / isomorphism","manual-source-review-open","Manual row: تماثل versus automorphism/isomorphic-map variants require context review and formula-neighboring QA.","9CFCF1AC adds B3 6034 frontier-advance visibility and sibling route accounting only; no Arabic source/reviewer decision changes.","git diff 6034c6b4126af7268d61e39ddb2e84d4842202f0..9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b; branch-visible-copies; prior-local-carryforward","Manual/source-review: recover Arabic isomorphism/automorphism context for تماثل and Aut/End formula neighbors; distinguish isomorphism from automorphism.","generated-draft/non-canonical/source-use/gap/provenance/not-native-reviewed/not-approved","unchanged-at-9737-route-layer","9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","Live-head correction does not alter the Arabic six-row source-use/gap/manual-review blocker state from 28019; adjacent route rows remain provenance context only.","d9ea29b008edeac55aba342edb6948440bdb145d"
"9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","global-arabic-boundary","Arabic RTL lane boundary","boundary-open","Arabic rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman/Turkic, R6, CJK, Romance, OLP, Slavic, bridge, visual inventory, term spine, sign rendering, or any adjacent gate.","9CFCF1AC adds B3 6034 frontier-advance visibility and sibling route accounting only; no Arabic source/reviewer decision changes.","branch delta classification and copied branch-visible route files at 9CFCF1AC","Keep sublane ledgers separate; require independent source bodies and review gates.","generated-draft/non-canonical/source-use/gap/provenance/not-native-reviewed/not-approved","unchanged-at-9737-route-layer","9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","Live-head correction does not alter the Arabic six-row source-use/gap/manual-review blocker state from 28019; adjacent route rows remain provenance context only.","d9ea29b008edeac55aba342edb6948440bdb145d"
"9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","frontier-correction-28019","9CFCF1AC frontier correction","source-use-gap-unchanged","The 9CFCF1AC commit is a branch-visible local-return/B3 and adjacent-lane route upload over 9737E10C; no Arabic literal source body, reviewer-return, accepted terminology, approval, license clearance, gate, source certification, final status, or translation-completion evidence was found in the Arabic source-use/gap check.","","","","generated-draft/non-canonical/source-use/gap/provenance/not-native-reviewed/not-approved","","9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","Live-head correction does not alter the Arabic six-row source-use/gap/manual-review blocker state from 28019; adjacent route rows remain provenance context only.","d9ea29b008edeac55aba342edb6948440bdb145d"
"9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","live-head-correction-after-28019","9CFCF1AC live-head correction","source-use-gap-unchanged","Requested frontier 68e4432b701049f32b2fb386b7801caefcce885c was superseded by verified live head 9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b; delta remains branch-visible route/provenance context for Arabic, not direct six-row Arabic source-body or reviewer authority.","","","","generated-draft/non-canonical/source-use/gap/provenance/not-native-reviewed/not-approved","","9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","Live-head correction does not alter the Arabic six-row source-use/gap/manual-review blocker state from 28019; adjacent route rows remain provenance context only.","d9ea29b008edeac55aba342edb6948440bdb145d"
"9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","live-head-correction-after-28019","9CFCF1AC live-head correction","source-use-gap-unchanged","Requested frontier d9ea29b008edeac55aba342edb6948440bdb145d was superseded by verified live head 9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b; delta remains branch-visible route/provenance context for Arabic, not direct six-row Arabic source-body or reviewer authority.",,,,"generated-draft/non-canonical/source-use/gap/provenance/not-native-reviewed/not-approved",,"9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b",,"d9ea29b008edeac55aba342edb6948440bdb145d"
