alignment_id,evidence_class,authority_role,unit_id,parent_id,source_tex_lines,original_printed_pages,physical_source_pdf_pages,recomposed_running_pages,target_locator,coverage_status,decision,status,confidence,adverse_delta,rejected_alternative,cross_references,continuation_cursor,revisit_condition,record_revision
SGA2-VIII-L12C-ALIGN-001,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12C,,2618-2638,88,78,70,complete bounded proof close,complete,cover initial term exactness derived Ext identification projective resolution conclusion and QED then stop before Section2,independently_source_reviewed_sealed_bounded_unit,high,line2632 sign defect is transparently emended in target while French remains unchanged,retain inconsistent source formula silently,INBOUND:SGA2-VIII-Q15;OUTBOUND:SGA2-VIII-T21,French source line2640 after blank line2639,authenticated French correction or cumulative integration,1
SGA2-VIII-L12C-ALIGN-002,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12C-E2,SGA2-VIII-L12C,2618-2621,88,78,70,initial E2 term,complete,preserve p-q indices first and second homology marks and FQ nesting,independently_formula_reviewed_pass,high,none,flatten prime marks or change index order,SGA2-VIII-L12C-INNER,French source line2640 after blank line2639,authority replacement or cumulative integration,1
SGA2-VIII-L12C-ALIGN-003,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12C-EXACT,SGA2-VIII-L12C,2623-2626,88,78,70,injectivity and exact functor,complete,preserve p in Z CA-p injective finite-type restriction and N mapping,independently_formula_logic_reviewed_pass,high,corrected finite-type restriction branch,omit restriction or injectivity,SGA2-VIII-L12C-INNER,French source line2640 after blank line2639,authority replacement or cumulative integration,1
SGA2-VIII-L12C-ALIGN-004,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12C-INNER,SGA2-VIII-L12C,2627-2629,88,78,70,inner homology isomorphism,complete,preserve double-prime H-q Hom nesting H-negative-q and CA-p,independently_formula_reviewed_pass,high,none,change H-negative-q to H-q,SGA2-VIII-L12C-EXACT;SGA2-VIII-L12C-CORR,French source line2640 after blank line2639,authority replacement or cumulative integration,1
SGA2-VIII-L12C-ALIGN-005,source_alignment_correction,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12C-CORR,SGA2-VIII-L12C,2630-2633,88,78,70,derived Ext_F E2 display,complete,use H-negative-q transparently because line2628 and lemma statement require it,independently_confirmed_editorial_emendation_applied_target_French_unchanged,high,French print and TeX have H-q,retain H-q without notice,SGA2-VIII-L12C-INNER;SGA2-VIII-L12C-ID,French source line2640 after blank line2639,authenticated French correction or documented editorial reversal,1
SGA2-VIII-L12C-ALIGN-006,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12C-ID,SGA2-VIII-L12C,2634-2638,88,78,70,projective resolution identity and proof close,complete,preserve L-prime definition corrected projective branch universal Ext-q identity and substitute negative-q,independently_formula_logic_reviewed_pass,high,candidate reindexes final display directly,change universal q identity or omit substitution,SGA2-VIII-L12C-CORR;SGA2-VIII-L12C-BOUND,French source line2640 after blank line2639,authority replacement or cumulative integration,1
SGA2-VIII-L12C-ALIGN-007,comparison_alignment,comparison_only_not_authority,SGA2-VIII-L12C-CAND,SGA2-VIII-L12C,2618-2638,88,78,70,jcreinhold comparison,complete,record its same sign diagnosis but do not treat one LLM lineage as corroboration,comparison_delta_independently_rechecked_source_only,high,candidate changes both line2632 and final display,treat candidate as authority,SGA2-VIII-L12C-CORR;SGA2-VIII-L12C-ID,French source line2640 after blank line2639,upstream candidate revision,1
SGA2-VIII-L12C-ALIGN-008,source_boundary,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12C-BOUND,SGA2-VIII-L12C,2638-2640,88,78,70,proof close blank2639 and Section2 cursor2640,complete,include QED and stop before Section2 title,independently_boundary_reviewed_pass,high,none,include theorem section or report cursor2639,OUTBOUND:SGA2-VIII-T21,French source line2640 after blank line2639,authority replacement or cumulative integration,1
SGA2-VIII-L12C-ALIGN-009,independent_source_review,corrected_french_tex_plus_fresh_direct_compiled_pdf,SGA2-VIII-L12C-REVIEW,SGA2-VIII-L12C,2618-2640,88-89,78,70,complete formulas note proof close and next heading,complete,independently verify prime levels p-q signs F symbol exactness Hom nesting Ext definition projective branch identity substitution proof close and cursor,independent_source_formula_boundary_review_pass,high,line2632 target emendation confirmed but not source-restored,call compiled PDF an independent original witness,SGA2-VIII-L12C-E2;SGA2-VIII-L12C-EXACT;SGA2-VIII-L12C-INNER;SGA2-VIII-L12C-CORR;SGA2-VIII-L12C-ID;SGA2-VIII-L12C-BOUND,French source line2640 after blank line2639,authenticated French correction or cumulative integration,1
SGA2-VIII-L12C-ALIGN-010,independent_seal_gate,final_built_target_plus_machine_evidence,SGA2-VIII-L12C-BUILD,SGA2-VIII-L12C,2618-2640,88-89,78,70,fresh two-pass build extraction renders and ledgers,complete,require zero build diagnostics one-page A4 embedded fonts clean extraction 300-600dpi review exact hashes and reference closure,independent_build_render_machine_gate_pass,high,none,seal from draft build or omit correction caveat,SGA2-VIII-L12C-QA;SGA2-VIII-L12C-REVIEW,French source line2640 after blank line2639,artifact mutation authority replacement or cumulative integration,1
