decision_id,evidence_class,authority_role,unit_id,source_term_or_delta,source_locator,target_locator,chosen_english_or_action,normalization_class,adverse_delta,rejected_alternative,motivation,status,confidence,record_revision,continuation_cursor,revisit_condition
SGA2-VIII-L12C-TERM-001,terminology,corrected_french_tex,SGA2-VIII-L12C,terme initial,French line2618,opening sentence,initial term,source_close_spectral_sequence_register,none,E2 page,retain source terminology without adding an unprinted page label,applied_and_independently_confirmed,high,1,French source line2640 after blank line2639,SGA-wide spectral-sequence register revision
SGA2-VIII-L12C-TERM-002,terminology,corrected_french_tex,SGA2-VIII-L12C,restreint a la categorie des modules de type fini,French line2623,exact functor sentence,restricted to the category of finitely generated modules,corrected_source_branch,none,omit the restriction,the inserted corrected branch changes the hypothesis scope and must be retained,applied_and_independently_confirmed,high,1,French source line2640 after blank line2639,authority replacement
SGA2-VIII-L12C-TERM-003,notation_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12C,prime and double-prime homology,French lines2618-2629,first two displays,retain first-H and second-H marks,source_notation_preservation,plain text extraction may be fragile,replace by horizontal and vertical cohomology labels,printed notation is formula-sensitive and should remain editable,applied_and_independently_confirmed,high,1,French source line2640 after blank line2639,authority replacement
SGA2-VIII-L12C-TERM-004,source_correction_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12C,H-q in line2632,French line2632 physical78,derived Ext display,use H-negative-q with visible source note,transparent_editorial_emendation,French authority and compiled PDF print H-q,retain H-q or correct silently,line2628 lemma statement and universal identity force negative-q while direct PDF is not an independent original witness,applied_and_independently_confirmed_French_unchanged,high,1,French source line2640 after blank line2639,authenticated French correction or documented editorial reversal
SGA2-VIII-L12C-TERM-005,terminology,corrected_french_tex,SGA2-VIII-L12C,foncteur derive de F compose Hom,French line2630,definition sentence,right-derived functor of F composed with Hom,corrected_source_branch_and_lemma_register,none,derived functor of F-star Hom,preserve corrected composition symbol and the lemma statement's right-derived meaning,applied_and_independently_confirmed,high,1,French source line2640 after blank line2639,authority replacement
SGA2-VIII-L12C-TERM-006,terminology,corrected_french_tex,SGA2-VIII-L12C,resolution projective,French line2634,final paragraph,projective resolution,corrected_source_branch,deleted source branch says free resolution,free resolution,preserve current corrected arXiv authority and cross-unit register,applied_and_independently_confirmed,high,1,French source line2640 after blank line2639,authority replacement
SGA2-VIII-L12C-TERM-007,comparison_policy,comparison_only_not_authority,SGA2-VIII-L12C,jcreinhold sign diagnosis,jcreinhold proof-close note,comparison audit,record diagnosis but reverify wholly from French internal logic,comparison_only_lineage,one LLM lineage is not corroboration,treat candidate as authority or independent witness,standing SGA-wide source-control policy,comparison_choice_independently_source_rechecked,high,1,French source line2640 after blank line2639,upstream candidate revision
SGA2-VIII-L12C-TERM-008,boundary_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12C,QED then Section2,French lines2638-2640 physical78,target close,include conclusion and proof close then stop before Section2,exact_bounded_scope,none,include Section2 title,maintain independently reviewable proof boundary and exact cursor,applied_and_independently_confirmed,high,1,French source line2640 after blank line2639,authority replacement or cumulative integration
SGA2-VIII-L12C-TERM-009,notation_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12C,underlined roman F,French lines2618-2633 and physical78,all functor formulas,retain underlined roman F,source_notation_preservation,mathcal F would change the active Expose VIII convention,plain or calligraphic F,the Lemma1.2 statement and direct print use the underlined functor symbol,applied_and_independently_confirmed,high,1,French source line2640 after blank line2639,authority replacement
SGA2-VIII-L12C-TERM-010,source_correction_disposition,workflow_evidence_not_source_authority,SGA2-VIII-L12C,Claude disposition of line2632 sign report,report and disposition hashes in authority ledger,source note and correction ledger,record independent agreement but not treat it as canonical French modification,transparent_editorial_emendation_with_authority_caveat,Claude confirmed mathematics and did not apply a French-source change,call the French authority corrected or call the compiled PDF independent corroboration,disposition supports bounded target treatment while French source remains byte-unchanged,accepted_as_review_evidence_not_source_authority,high,1,French source line2640 after blank line2639,authenticated French correction or disposition replacement
SGA2-VIII-L12C-TERM-011,seal_policy,final_built_target_plus_machine_evidence,SGA2-VIII-L12C,bounded independent seal,fresh build extraction 300-600dpi source-target review and machine validation,unit status and evidence package,seal only the bounded lines2618-2638 unit,scope_limited_evidence_gate,Section2 and cumulative Expose VIII remain open,claim cumulative full-volume public or source-certified status,all formula boundary build render extraction privacy and machine gates pass,independently_sealed_bounded_internal_unit,high,1,French source line2640 after blank line2639,artifact mutation authority replacement or cumulative integration
