authority_pdf_page	source_volume_page	paper_folio	archive_path	finding	disposition
1	494	143	diagram_aid_primary/images/D018_p001_diag01.png	Title crop; legible title agrees with frozen authority transcription. Comparator-derived and partial. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_PRIMARY; comparison/routing only; authority transcription unchanged
1	494	143	diagram_aid_extracted_copy/images/D018_p001_diag01.png	Title crop; legible title agrees with frozen authority transcription. Comparator-derived and partial. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_EXTRACTED_COPY; comparison/routing only; authority transcription unchanged
1	494	143	diagram_aid_primary/images/D018_p001_diag02.png	Joint-byline crop; P. Deligne and M. Rapoport agree with frozen authority transcription. Comparator-derived and partial. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_PRIMARY; comparison/routing only; authority transcription unchanged
1	494	143	diagram_aid_extracted_copy/images/D018_p001_diag02.png	Joint-byline crop; P. Deligne and M. Rapoport agree with frozen authority transcription. Comparator-derived and partial. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_EXTRACTED_COPY; comparison/routing only; authority transcription unchanged
1	494	143	diagram_aid_primary/images/D018_p001_diag03.png	Notes plus Antwerp venue/footer crop; both notes agree. Witness also includes congress copy matter deliberately excluded from scholarly body and retained only in provenance. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_PRIMARY; comparison/routing only; authority transcription unchanged
1	494	143	diagram_aid_extracted_copy/images/D018_p001_diag03.png	Notes plus Antwerp venue/footer crop; both notes agree. Witness also includes congress copy matter deliberately excluded from scholarly body and retained only in provenance. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_EXTRACTED_COPY; comparison/routing only; authority transcription unchanged
2	495	144	diagram_aid_primary/images/D018_p002_diag01.png	SOMMAIRE heading crop agrees; comparator-derived and partial. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_PRIMARY; comparison/routing only; authority transcription unchanged
2	495	144	diagram_aid_extracted_copy/images/D018_p002_diag01.png	SOMMAIRE heading crop agrees; comparator-derived and partial. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_EXTRACTED_COPY; comparison/routing only; authority transcription unchanged
2	495	144	diagram_aid_primary/images/D018_p002_diag02.png	Overinclusive contents crop through early sections; legible entries and pagination agree; it is not complete page coverage. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_PRIMARY; comparison/routing only; authority transcription unchanged
2	495	144	diagram_aid_extracted_copy/images/D018_p002_diag02.png	Overinclusive contents crop through early sections; legible entries and pagination agree; it is not complete page coverage. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_EXTRACTED_COPY; comparison/routing only; authority transcription unchanged
2	495	144	diagram_aid_primary/images/D018_p002_diag03.png	Overinclusive contents crop around Sections III-IV; legible entries agree; it is not complete page coverage. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_PRIMARY; comparison/routing only; authority transcription unchanged
2	495	144	diagram_aid_extracted_copy/images/D018_p002_diag03.png	Overinclusive contents crop around Sections III-IV; legible entries agree; it is not complete page coverage. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_EXTRACTED_COPY; comparison/routing only; authority transcription unchanged
2	495	144	diagram_aid_primary/images/D018_p002_diag04.png	Fragmentary contents crop around Chapter V stack notation; legible notation agrees, but detector crop is incomplete at line edges. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_PRIMARY; comparison/routing only; authority transcription unchanged
2	495	144	diagram_aid_extracted_copy/images/D018_p002_diag04.png	Fragmentary contents crop around Chapter V stack notation; legible notation agrees, but detector crop is incomplete at line edges. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_EXTRACTED_COPY; comparison/routing only; authority transcription unchanged
3	496	145	diagram_aid_primary/images/D018_p003_diag01.png	Overinclusive page-3 contents crop; legible entries, specialized stack notation, and pagination agree; comparator-derived. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_PRIMARY; comparison/routing only; authority transcription unchanged
3	496	145	diagram_aid_extracted_copy/images/D018_p003_diag01.png	Overinclusive page-3 contents crop; legible entries, specialized stack notation, and pagination agree; comparator-derived. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_EXTRACTED_COPY; comparison/routing only; authority transcription unchanged
4	497	146	diagram_aid_primary/images/D018_p004_diag01.png	Overinclusive introduction crop including displayed definitions and first paragraph; legible content agrees; comparator-derived. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_PRIMARY; comparison/routing only; authority transcription unchanged
4	497	146	diagram_aid_extracted_copy/images/D018_p004_diag01.png	Overinclusive introduction crop including displayed definitions and first paragraph; legible content agrees; comparator-derived. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_EXTRACTED_COPY; comparison/routing only; authority transcription unchanged
4	497	146	diagram_aid_primary/images/D018_p004_diag02.png	Paragraph crop on the principal congruence subgroup; legible content agrees; partial. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_PRIMARY; comparison/routing only; authority transcription unchanged
4	497	146	diagram_aid_extracted_copy/images/D018_p004_diag02.png	Paragraph crop on the principal congruence subgroup; legible content agrees; partial. The two diagram-aid lineages are byte-identical for this crop.	ZERO_ACCEPTED_EXTRACTED_COPY; comparison/routing only; authority transcription unchanged
