map_id,family,lane,current_evidence_state,source_artifacts,reviewer_or_source_owner_route,ethics_guardrail,allowed_current_use,blocked_gates,next_action
R6-IA-PERU-QA,Indigenous Americas,"Quechua Central; Quechua Chanka; Aymara","T2 exact PDF/text captures; T3 candidate official-local authority; no returns","R6_QUECHUA_AYMARA_EIB_SOURCE_AUTHORITY_READER_20260701T134500Z; R6_IMMEDIATE_REVIEWER_SOURCE_OWNER_RETURN_REQUEST_PACKET_20260701T160000Z","Peru EIB source-context reviewer; Quechua/Aymara educator; language-standard reviewer; qualified Andean math-education reviewer","Keep standards separate; no Quechua macrostandard or Quechua/Aymara bridge","source pointers; provenance; attribution planning; reviewer questions","source authority; crosswalk; terms; excerpts; translation; constructed surface; pilot","collect row-specific authority/reuse/crosswalk returns"
R6-IA-BOL-QUECHUA,Indigenous Americas,"Bolivia Quechua","one candidate exact curriculum PDF; math-specific longitudes route unresolved","R6_INDIGENOUS_AMERICAS_EXACT_DOWNLOAD_RESOLVER_PASS3_20260701T211500Z","not yet opened; needs source-owner or qualified Bolivia Quechua/EIB reviewer","Candidate exact source is not authority; local knowledge/measurement context must not become algebra authority","candidate exact source pointer only","terms; crosswalk; excerpt; translation; constructed surface; pilot","open request for captured PDF; continue resolving red.minedu longitudes PDF"
R6-IA-UNRESOLVED,Indigenous Americas,"Paraguay Guarani; Ecuador EIB; Guatemala Uspanteko; Mexico Nahuatl/Hnahnu/Maya/Nanahuatzin; Bolivia longitudes","T1 routes; failed captures; HTTP/error payloads; resolver rows","R6_INDIGENOUS_AMERICAS_EXACT_DOWNLOAD_RESOLVER_PASS3_20260701T211500Z; R6_CURRENT_GAP_RETRY_SOURCE_CAPTURE_REFRESH_20260702T012500Z","not yet opened; exact source required first","No family bridge or language-standard claim from route-only evidence","resolver map and route-risk notes","math witness claim; source authority; terms; translation; pilot","resolve exact official downloads and then create language-specific return requests"
R6-CR-KREYOL,Creole/contact,"Haitian Creole/Kreyol numeracy and STEM","four MIT-Ayiti T2 exact captures; T3 candidate classroom/source route; no returns","R6_KREYOL_NUMERACY_SOURCE_AUTHORITY_READER_20260701T132500Z; R6_CREOLE_CONTACT_LICENSE_AND_RETURN_LEDGER_20260630T220000Z","source owner; MIT-Ayiti-affiliated maintainer; Kreyol math educator; qualified Kreyol STEM reviewer","Do not infer reuse or term authority from a captured page","link pointers; route metadata; source-context questions; reuse questions","copied prose/media; excerpts; accepted terms; translation/adaptation; constructed register; pilot","route the four request rows and create return ledger only after dated return"
R6-CR-OTHER,Creole/contact,"Bislama; Papiamento/Papiamentu; Indian Ocean Creoles; Sranan/Guyanas; Jamaican Creole/Patois; Nigerian Pidgin; Krio; Tok Pisin; others","dated Bislama, Aruba, Mauritius, Krio, and Tok Pisin route/capture addenda now exist as source-canon metadata; 0 promoted exact creole STEM source-authority rows","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z; R6_RETURN_INGESTION_AND_EXACT_SOURCE_RESOLVER_QUEUE_20260701T224500Z; NOETHER_R6_BISLAMA_OFFICIAL_SOURCE_RETRY_ADDENDUM_20260705.csv; NOETHER_R6_ARUBA_PAPIAMENTO_SOURCE_ROUTE_RETRY_ADDENDUM_20260705.csv; NOETHER_R6_MAURITIUS_KREOL_MIE_SOURCE_ROUTE_ADDENDUM_20260705.csv; NOETHER_R6_KRIO_SIERRA_LEONE_MBSSE_SOURCE_ROUTE_ADDENDUM_20260705.csv; NOETHER_R6_TOK_PISIN_PNG_FODE_SOURCE_ROUTE_ADDENDUM_20260705.csv","named-language source owner or qualified local-language STEM reviewer after exact source capture","No pan-creole register; no lexifier substitution; comparators stay comparators","context/source-pointer, retry provenance, route-blocker metadata, and resolver notes","exact STEM witness promotion; terms; excerpt; translation; constructed surface; pilot","resolve exact Aruba, MIE/Kreol, Nigerian Pidgin, Krio, Tok Pisin, and other named routes; route source-owner/reuse requests where exact captures already exist"
R6-SL-ASL,Signed language,"ASL video-first STEM","ASL-STEM route and ASL-CORE equation/array video routes; labels metadata only","R6_ASL_VIDEO_FIRST_SOURCE_AUTHORITY_READER_20260701T133500Z; R6_SIGN_LANGUAGE_RETURN_LEDGER_AND_MEDIA_SIDECAR_20260630T220000Z","source owner; ASL STEM lexicon maintainer; Deaf/ASL STEM educator; qualified ASL reviewer","Video-first; media rights separate from lexical authority","video/link pointers; category metadata; reviewer/media questions","accepted signs; copied media; derived stills; cross-sign transfer; translation; pilot","ingest qualified ASL return before any sign or media movement"
R6-SL-LSQ,Signed language,"LSQ STEM","3 captured source routes; 11 category pointers; 14 candidate concept pointers; no returns","R6_LSQ_STEM_SOURCE_AUTHORITY_READER_20260701T190000Z; R6_LSQ_REVIEWER_SOURCE_OWNER_RETURN_REQUEST_PACKET_20260701T191500Z","LSQ source owner; LSQ school/STEM reviewer; media/license contact; qualified LSQ access reviewer","Written French labels are metadata only; preserve grade and variant scope","source-route and category planning only","accepted signs; copied media; excerpt; translation; constructed surface; pilot","wait for LSQ authority/media return and prioritize categories"
R6-SL-DGS,Signed language,"DGS MINT/math","Sign2MINT app/API route evidence; 8 source routes; 8 category pointers; 12 API concept pointers; 2 Goettingen video pointers","R6_DGS_DYNAMIC_SOURCE_AUTHORITY_READER_20260701T193000Z; R6_DGS_REVIEWER_SOURCE_OWNER_RETURN_REQUEST_PACKET_20260701T194500Z","Sign2MINT/source owner; DGS STEM reviewer; media/license contact; Goettingen route owner where relevant","German terms/API/SWU/video URLs are metadata; no media copied","API/source-route metadata; media HEAD metadata; reviewer queue design","accepted signs/SWU; copied media; terms; translation; constructed surface; pilot","resolve source authority, SWU/variant treatment, and media reuse before movement"
R6-SL-IS,Signed language,"International Sign policy/comparator","4 policy/comparator captures; 5 guardrail decisions; no technical lexicon","R6_INTERNATIONAL_SIGN_POLICY_COMPARATOR_GUARDRAIL_20260701T200000Z","International Sign interpreter/reviewer; WASLI/EUD/WFD-informed reviewer; qualified signed-language access planner","International Sign is comparator/support context, not default technical lane","policy guardrail and comparator planning","technical lexicon; one-sign-per-term table; local sign replacement; pilot","keep local lanes first; create request only for explicit cross-border support case"
R6-OER-CONTROL,Source-pointer control,"OLP/OpenIntro proof-literacy and numeracy controls","source-pointer rows only; no selected excerpts or adaptations","R6_OLP_PROOF_LITERACY_SOURCE_POINTER_SIDECAR_20260701T152000Z; R6_OPENINTRO_NUMERACY_STATISTICS_SOURCE_POINTER_SIDECAR_20260701T152000Z","target-lane reviewer plus license/reuse clearance needed","Do not import external OER prose into R6 before local authority and license plan","candidate reviewer-question design only","copied prose/tables/figures/datasets; adaptation; translation; pilot","choose target lane and license plan only after source/reviewer gates"
