"lane","target_language_or_access_target","source_title","source_author_or_owner","topic_tags","evidence_tier","source_type","source_url","local_path","license_or_access_signal","sha256_or_other_hash","source_language","is_target_language_witness","is_source_level_tex_or_archive","is_pdf_docx_or_text_fallback","gap_or_blocker_note","non_claim_boundary","witness_id","fetch_url","retrieval_status","fetched_content_type","byte_length","routed_consumer_lane","source_upload_policy","search_or_discovery_basis","created_utc"
"R3 Arabic/Persianate/Adjacent Linear Algebra - Arabic source-canon gap refresh","Controlled Arabic / Arabic RTL","Prüfer ring and Arithmetical ring / حلقة برفير والحلقة الحسابية","Damascus University Journal for the Basic Sciences","Prüfer ring; arithmetical ring; reduced ring; Artinian ring; Noetherian ring","B_pdf_publication_fallback","pdf","https://journal.damascusuniversity.edu.sy/index.php/basj/ar/article/view/3694/1220","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_GAP_REFRESH_20260704T202708Z\fetched\ar_damascus_prufer_arithmetical_ring_noetherian_pdf.pdf","journal-hosted PDF; no license clearance claimed in this pass","8957E428CACBADA148C65E9894FCF73C0931BDA5722C8CC8A842F23150BE69C4","Arabic","True","False","True","Improves Arabic Noetherian/ring provenance but is not TeX/arXiv/source archive and does not close Arabic invariant-theory source-package gap.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push.","ar_damascus_prufer_arithmetical_ring_noetherian_pdf","https://journal.damascusuniversity.edu.sy/index.php/basj/ar/article/view/3694/1220","fetched_and_hashed","application/pdf","433859","Arabic RTL source-canon lane","Manifest/hash/URL provenance only unless B3 creates a gated source-canon package.","Arabic Noetherian ring PDF search; Damascus University journal article page and PDF.","20260704T202708Z"
"R3 Arabic/Persianate/Adjacent Linear Algebra - Arabic source-canon gap refresh","Controlled Arabic / Arabic RTL","Cayley-Hamilton application and matrix algebraic structure Arabic article","Damascus University Journal for the Basic Sciences","Cayley-Hamilton theorem; matrices; algebraic structure; Noetherian ring; linear algebra","B_pdf_publication_fallback","pdf","https://journal.damascusuniversity.edu.sy/index.php/basj/ar/article/view/1133/844","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_GAP_REFRESH_20260704T202708Z\fetched\ar_damascus_cayley_hamilton_noetherian_matrix_pdf.pdf","journal-hosted PDF; no license clearance claimed in this pass","01E37F125A62322451388F068E71BBF7E28F0448F1A112F62252E821E65EC6D4","Arabic","True","False","True","Adjacent Arabic matrix/ring witness; does not authorize invariant-theory bridge terms or source-package closure.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push.","ar_damascus_cayley_hamilton_noetherian_matrix_pdf","https://journal.damascusuniversity.edu.sy/index.php/basj/ar/article/view/1133/844","fetched_and_hashed","application/pdf","619610","Arabic RTL source-canon lane","Manifest/hash/URL provenance only unless B3 creates a gated source-canon package.","Arabic Noetherian ring PDF search; Damascus University PDF result.","20260704T202708Z"
"R3 Arabic/Persianate/Adjacent Linear Algebra - Arabic source-canon gap refresh","Controlled Arabic / Arabic RTL","Comparative study of Kronecker and Hadamard product effects on matrix algebraic structure","Fezzan University Scientific Journal","matrix algebra; Kronecker product; Hadamard product; ideals; Noetherian ring; Artinian ring","B_pdf_publication_fallback","pdf","https://fezzanu.edu.ly/fusj/index.php/FUAJ/article/download/343/189/326","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_GAP_REFRESH_20260704T202708Z\fetched\ar_fezzan_kronecker_hadamard_noetherian_matrix_ring_pdf.pdf","journal-hosted PDF; no license clearance claimed in this pass","971692613BFD9312B364BD0740F8401BB6372635CF3BF092F7B3DCBE601D2A15","Arabic","True","False","True","Arabic adjacent linear-algebra/ring provenance; not specialist invariant theory and not TeX/source package.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push.","ar_fezzan_kronecker_hadamard_noetherian_matrix_ring_pdf","https://fezzanu.edu.ly/fusj/index.php/FUAJ/article/download/343/189/326","fetched_and_hashed","application/pdf","536609","Arabic RTL source-canon lane","Manifest/hash/URL provenance only unless B3 creates a gated source-canon package.","Arabic Noetherian ring PDF search; Fezzan University result.","20260704T202708Z"
"R3 Arabic/Persianate/Adjacent Linear Algebra - Arabic source-canon gap refresh","Controlled Arabic / Arabic RTL","اللاتغيرية ونظرية النظم: الجوانب الجبرية والهندسية","Shamra Academia page for A. Tannenbaum article","invariance; system theory; algebraic geometry; geometric invariant theory; weak Arabic secondary summary","D_weak_secondary_or_metadata_not_source_authority","html","https://shamra-academia.com/show/f0597758b3ef43","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_GAP_REFRESH_20260704T202708Z\fetched\ar_shamra_invariance_system_theory_secondary_html.html","public HTML page; Arabic summary/metadata only; no source or reuse clearance claimed","1C96766B86AD1336829B8A387B1E1E2626298E59B7A6B3AA8F2C17C45ABB0C2F","Arabic summary around an English article","False","False","True","Records Arabic invariant-theory phrase evidence only; not an Arabic specialist publication/source package and must not close the Arabic invariant-theory gap.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push.","ar_shamra_invariance_system_theory_secondary_html","https://shamra-academia.com/show/f0597758b3ef43","fetched_and_hashed","text/html; charset=UTF-8","237597","novel_or_blocked_gap_registry","Manifest/hash/URL weak-candidate record only.","Arabic invariant theory search result; page explicitly describes an English A. Tannenbaum article.","20260704T202708Z"
"R3 Arabic/Persianate/Adjacent Linear Algebra - Persian/Farsi source-canon gap refresh","Persian/Farsi (Iran), fa_IR","کاربرد نظریه هم ارزی کارتان در معادلات دیفرانسیل / Application of Cartan equivalence method in differential equations","ResearchGate record for Persian PhD thesis; owner/repository not independently verified in this pass","invariants; Cartan equivalence; differential equations; Persian PDF candidate; not algebraic invariant theory source package","D_fetch_blocked_pdf_candidate","pdf_candidate","https://www.researchgate.net/profile/Mehdi-Nadjafikhah/publication/309668551_Hesamiarshad_-_Application_of_Cartan%27s_equivalence_method_in_differential_equations_-_PhD_Thesis_-_2014/links/581c4e8b08aea429b291a79e/Hesamiarshad-Application-of-Cartans-equivalence-method-in-differential-equations-PhD-Thesis-2014.pdf","","ResearchGate access; direct fetch may be forbidden; no redistribution or license clearance claimed","","Persian/Farsi","False","False","True","Candidate Persian invariant-method PDF only; direct fetch is expected to fail under access controls and it does not close Persian algebraic invariant-theory TeX/source gap. | Response status code does not indicate success: 403 (Forbidden).","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","fa_researchgate_cartan_invariant_method_pdf_fetch_blocked","https://www.researchgate.net/profile/Mehdi-Nadjafikhah/publication/309668551_Hesamiarshad_-_Application_of_Cartan%27s_equivalence_method_in_differential_equations_-_PhD_Thesis_-_2014/links/581c4e8b08aea429b291a79e/Hesamiarshad-Application-of-Cartans-equivalence-method-in-differential-equations-PhD-Thesis-2014.pdf","fetch_failed","","0","Persianate/Tajik source-canon lane, fa_IR review-only candidate","If fetch fails, publish URL/error as blocker only; no payload.","Persian invariant theory PDF search; ResearchGate result.","20260704T202708Z"
"R3 Arabic/Persianate/Adjacent Linear Algebra - Dari/Afghan Persian source-canon gap refresh","Dari/Afghan Persian, prs_AF","الجبر معاصر / Algebra - Abdullah Momand","Textbooks of Afghan universities / eCampus Afghanistan; Abdullah Momand","abstract algebra; groups; rings; fields; operations; Afghanistan university textbook","B_pdf_textbook_fallback","pdf","https://ecampus-afghanistan.org/wp-content/uploads/2021/10/Algebra-Abdullah-Momand.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_GAP_REFRESH_20260704T202708Z\fetched\prs_af_ecampus_algebra_abdullah_momand_pdf.pdf","eCampus Afghanistan hosted textbook PDF; no license clearance claimed in this pass","5145F1EFA0AB4275AD3CBF03C0016A3362D5D7A6EDE3444FDE512719E813D8F4","Dari/Afghan Persian with Afghanistan academic context","True","False","True","Strengthens prs_AF abstract-algebra source provenance, but does not authorize fa_IR, Tajik, Urdu, Hindustani, Pan-Turkic, or TeX/source-package closure.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","prs_af_ecampus_algebra_abdullah_momand_pdf","https://ecampus-afghanistan.org/wp-content/uploads/2021/10/Algebra-Abdullah-Momand.pdf","fetched_and_hashed","application/pdf","7993810","Persianate/Tajik source-canon lane, prs_AF separate gate only","Manifest/hash/URL provenance only unless B3 creates a gated source-canon package.","Dari/Afghan algebra PDF search and Persianate/Tajik external lane pointer.","20260704T202708Z"
"R3 Arabic/Persianate/Adjacent Linear Algebra - Afghan adjacent source-canon gap refresh","Pashto/Afghan adjacent; not prs_AF unless independent Dari evidence is isolated","Linear Algebra - Dr Abdullah Mohmand","Textbooks of Afghan universities / eCampus Afghanistan; Dr Abdullah Mohmand","linear algebra; matrices; vectors; Afghanistan university textbook; Pashto adjacent","B_pdf_textbook_fallback_adjacent_language","pdf","https://ecampus-afghanistan.org/wp-content/uploads/2021/10/Linear-Algebra-Dr-Abdullah-Mohmand.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_GAP_REFRESH_20260704T202708Z\fetched\ps_af_ecampus_linear_algebra_abdullah_momand_pdf_adjacent.pdf","eCampus Afghanistan hosted textbook PDF; no license clearance claimed in this pass","743773B7AE7ED7D44BF8537D7281E6572C3239C7681268305FD668152567168A","Pashto/Afghan Arabic-script; not Persian/Farsi/Dari authorization without page-level review","False","False","True","Adjacent Afghan linear-algebra witness only. Do not merge with Dari/Persian, Tajik, Urdu, Hindustani, or Pan-Turkic rows.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","ps_af_ecampus_linear_algebra_abdullah_momand_pdf_adjacent","https://ecampus-afghanistan.org/wp-content/uploads/2021/10/Linear-Algebra-Dr-Abdullah-Mohmand.pdf","fetched_and_hashed","application/pdf","6020046","novel_or_blocked_gap_registry","Manifest/hash/URL adjacent-language record only unless a separate Pashto gate is opened.","Dari/Afghan linear algebra search surfaced Pashto/Afghan eCampus PDF.","20260704T202708Z"
"R3 Arabic/Persianate/Adjacent Linear Algebra - Tajik Cyrillic source-canon gap refresh","Tajik Cyrillic, tg_Cyrl_TJ","Асосҳои математикаи олӣ. Ҷилди 2","Zarowadk Tajik book repository page; book attribution Shukurov H. R. / Tabarov A. H. per source listing","Tajik higher mathematics; linear algebra; analytic geometry; probability; mathematical statistics","B_pdf_textbook_fallback","pdf","https://zarowadk.ru/dnld/matem/files/asos_matemat_oli_2.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_GAP_REFRESH_20260704T202708Z\fetched\tg_zarowadk_asos_matemat_oli_2_linear_algebra_pdf.pdf","repository page offers free download; no explicit open license or redistribution clearance found in this pass","E6EB2E8D9B1E493667E3C9851EBCBFC115503ED2D0917634B7D2BC5CAD6E33F8","Tajik Cyrillic","True","False","True","Strengthens Tajik linear-algebra provenance beyond wiki, but not abstract algebra/invariant-theory source package.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","tg_zarowadk_asos_matemat_oli_2_linear_algebra_pdf","https://zarowadk.ru/dnld/matem/files/asos_matemat_oli_2.pdf","fetched_and_hashed","application/pdf","11122231","Persianate/Tajik source-canon lane, tg_Cyrl_TJ separate gate only","Manifest/hash/URL provenance only unless B3 creates a gated source-canon package.","Tajik linear algebra PDF search; Zarowadk source page exposes delayed PDF URL.","20260704T202708Z"
"R3 Arabic/Persianate/Adjacent Linear Algebra - Tajik Cyrillic source-canon gap refresh","Tajik Cyrillic, tg_Cyrl_TJ","ПАЁМИ / ВЕСТНИК / BULLETIN №1(195) 2022","Bokhtar State University bulletin host","Tajik higher algebra; MATLAB teaching; bibliography for abstract and computer algebra textbook; source lead","C_pdf_bibliographic_or_proceedings_lead","pdf","https://bgu-vestniki.tj/wp-content/uploads/2022/06/%E2%84%961-195-2022.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_GAP_REFRESH_20260704T202708Z\fetched\tg_bgu_vestnik_2022_higher_algebra_bibliographic_pdf.pdf","university bulletin PDF; no license clearance claimed in this pass","02CD5D8A47F7A273B67DD6A445911332AD948C26CB88A65778B18D92E9B457A9","Tajik/Russian mixed bulletin context","False","False","True","Bibliographic/source-shelf lead for Tajik abstract/computer algebra material, not the abstract-algebra source body itself.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","tg_bgu_vestnik_2022_higher_algebra_bibliographic_pdf","https://bgu-vestniki.tj/wp-content/uploads/2022/06/%E2%84%961-195-2022.pdf","fetched_and_hashed","application/pdf","3851845","Persianate/Tajik source-canon lane, tg_Cyrl_TJ lead only","Manifest/hash/URL source-shelf lead only.","Tajik abstract algebra PDF search result.","20260704T202708Z"
"R3 Arabic/Persianate/Adjacent Linear Algebra - Arabic source-canon gap refresh","Controlled Arabic / Arabic RTL","Arabic invariant-theory TeX/arXiv/source archive","not found in this source-canon refresh","invariant theory; geometric invariant theory; TeX; LaTeX; arXiv; source archive","G_explicit_gap_no_source_witness_found","gap","","","not applicable: explicit source gap; no source witness located in this refresh","","Arabic","False","False","False","Arabic searches found ring/Noetherian PDF provenance and weak invariant-theory phrase evidence, but no Arabic TeX/LaTeX/arXiv/source-package witness for invariant theory.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push.","gap_ar_invariant_theory_tex_source_still_open_20260704","","explicit_gap_no_fetch","","0","novel_or_blocked_gap_registry","Publish gap row only.","Queries included Arabic invariant theory + TeX/GitHub/PDF and Arabic Noetherian ring PDF searches.","20260704T202708Z"
