role	relative_path	bytes	sha256
authority	source/20_AUTHORITY_DELIGNE_D021_WEIGHT_ONE_IAS_NUMBER24_25PP.pdf	2092474	2ACE335E3C8CC08BB8B60D756886284C4E7AECF093081DDA0DE46650800E6986
comparison_only	comparison/21_COMPARATOR_DELIGNE_D021_WEIGHT_ONE_COLLECTED_SPLIT_24PP.pdf	460530	3E2D6E05377BA1017EAAB113BC7523B45B56FB0C4CC108493F79EBAD39033AE8
zero_accepted_evidence	salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D021.zip	1051715	D55B831C10A0CC48C4177BFFE93FFCB1C16CA4E9276BED63948C917DC651FC68
frozen_input	edition/source_language.ndjson	83606	A7D9FCCF8482984F90D4226177ADFFFDAC9C3A26A1C165428D2779ACE724EB9A
frozen_input	edition/english_standalone.ndjson	78412	794D9E372B4DD293B2972A21B8BD60C7C81DCF803EBC5FDEE4893B32718DEA3C
frozen_input	edition/apparatus.ndjson	54458	F25CF3818E62D32DE63D8ABE38A0739DBB0708284BB1F59598B2152AE735787F
frozen_input	edition/asset_ledger.tsv	193	906BEBBFB59CF307E2C8F5125EF2A1C11B557AD385E67DE6A8C8A5576AAED420
frozen_input	control/PAGE_MAP.tsv	1959	54B8B316E2072A5C342CFB96B56F2BEAD988EC6C67462DE8062FB5FAB86EE67B
generated_latex	source/D021_Formes_modulaires_de_poids_1_FR.tex	79921	300BB5DB2D62EFCC825742A8E26B443F92DD79569DBF04EF0DDDBA040E336D17
generated_latex	source/D021_Modular_Forms_of_Weight_1_EN.tex	76608	09403F4F077B503674B3662DFAF0EB88CFB97DDC9D1A7F787A694AC0AFB5D1C3
generated_latex	source/D021_Formes_modulaires_de_poids_1_APPARATUS.tex	43317	D26C1B12C8518C9879F54AA0C195B8021094EFAF7A8FE0E61684CB2C4209EE38
