item,slug,language,werke_page
I,stability,de,3
II,potential_verification,fr,9
III,surface_potential,de,17
IV,ternary_report,de,21
V,ternary_crelle,de,27
VI,mean_values,de,49
VII,spherical_shell,de,67
VIII,three_squares,de,89
IX,division_problem,de,97
X,binary_forms,la,105
XI,rigid_body_fluid,de,115
XII,gauss_reciprocity,de,121
XIII,binary_pos_det,de,139
XIV,binary_pos_det_fr,fr,163
XV,pos_det_property_de,de,187
XVI,pos_det_property_fr,fr,189
XVII,series_theorem,fr,193
XVIII,four_squares,fr,201
XIX,quad_forms_prop,fr,207
XX,hydrodyn_1857,de,215
XXI,jacobi_estate,de,219
XXII,jacobi_memorial,de,225
XXIII,monatsberichte,de,253
XXIIIa,section_ii_divider,de,257
XXIV,biquad_two,de,259
XXV,hydro_posthumous,de,263
XXVI,abel_theorem,fr,303
XXVIa,appendix_divider,de,307
XXVII,kummer_memorial,de,309
