"delta_id","category","manager_baseline","selected_sga1_form","rejected_regression_category","evidence_channel","scope","status"
"N-057","heading number","preserve source number and grammatical number in translated headings","Application to formal schemes","Applications to formal schemes","French heading lines 1493-1495 and original print p.13","I.8 section heading","closed_source_checked_independent_pass"
"N-058","compound spelling","use closed subprescheme in established SGA1 terminology","subprescheme","sub-prescheme","SGA1 cumulative baseline and direct source-role match","I.8.1 and I.8.3","closed_source_checked_independent_pass"
"N-059","spelling","US neighborhood in running English","neighborhood","neighbourhood","manager-controlled SGA-wide spelling baseline","I.8.1","closed_source_checked_independent_pass"
"N-060","covering terminology","use etale covering for revetement etale","etale covering","etale cover","formal categorical object and established SGA1 usage","I.8.2 and I.8.4","closed_source_checked_independent_pass"
"N-061","capitalization","lowercase noetherian as an adjective","noetherian","Noetherian","SGA-wide normalization baseline","I.8.4","closed_source_checked_independent_pass"
"N-062","ideal-sheaf notation","use calligraphic notation consistently for a sheaf ideal when the source alternates glyphs","mathcal J with explicit disclosure","silent mixed J and mathcal J","French lines 1601-1602 and 1617-1618; original print and independent audit","I.8.4","closed_source_checked_disclosed_independent_pass"
"N-063","category terminology","retain ringed space when the source says espace annele","ringed space","locally ringed space","no local-ring condition is asserted in the sentence","I.8.3 gluing argument","closed_source_checked_independent_pass"
"N-064","citation expansion","expand an identified abbreviated locator without inventing a work or section","EGA Chapter I","Chapter I with no work named or an invented exact proposition","French source comment lines 1536-1538 and independent audit","I.8.1 proof","closed_source_checked_independent_pass"
"N-065","mathematical direction","preserve directed isomorphism arrows even when prose says isomorphic","source-directed xrightarrow isomorphisms","undirected equality or reversed arrow","French formulas lines 1502 1580 and 1595","I.8 formulas","closed_source_checked_independent_pass"
"N-066","spelling","US fiber in running English","residual fibers","residual fibres","manager-controlled SGA-wide spelling baseline","I.8.4","closed_source_checked_independent_pass"
