"adverse_id","unit","pressure_category","risk","selected_response","evidence_channel","status"
"A-072","I.8 candidate coverage","jmoellermath repository and filename pressure","fabricates target-language corroboration where the checked chapter stops earlier","record the chapter as absent for I.8 and use it only as a negative-coverage control","12973-byte chapter SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3; direct content inspection","rejected_independent_pass"
"A-073","I.8 title","Thosgood target control","changes the singular source title","use Application to formal schemes in the exact source heading hierarchy","French lines 1493-1495; original print p.13","rejected_independent_pass"
"A-074","I.8.1 terminology and arrow","Thosgood and conversion pressure","regresses SGA-wide spelling and loses map direction","use subprescheme; neighborhood; U_0 directed isomorphically to X times_Y Y_0","French lines 1499-1502; source formula; normalization baseline","rejected_independent_pass"
"A-075","I.8.1 base-change source defect","French TeX original print and complete English controls","has the wrong target type and contradicts the constructed localization B_0","use an isomorphism to B_0 and disclose the shared source defect immediately","French lines 1534-1536; original print p.14; C_0 localization construction; independent source audit","corrected_disclosed_independent_pass"
"A-076","I.8.1 local-ring source defect","French TeX original print and complete English controls","uses the unlocalized algebra although z corresponds to n and the next line requires an etale localization","use O_z isomorphic to B equals C_n and disclose the shared source defect","French lines 1539-1545; original print p.14; following base-change chain; independent source audit","corrected_disclosed_independent_pass"
"A-077","I.8.1 citation and neighborhood","Thosgood omission and candidate substantive change","loses provenance and changes the object being identified","retain EGA Chapter I and the neighborhood U_0 inside X_0","French lines 1536-1548; source comment; original print p.14","rejected_independent_pass"
"A-078","I.8.2 proof dependency","Thosgood target control","reverses the explicit source replacement and changes the covering argument","use Corollary I.7.5 in place of Theorem I.7.6","French line 1557; direct source and candidate comparison","rejected_independent_pass"
"A-079","I.8.3 scalar-sheaf formula","target-control rendering pressure","can change the tensor denominator or make the formula non-editable","reconstruct exact O_X tensor over f_0^*O_S with f_0^*O_S0 and directed isomorphism to O_X0","French lines 1573-1581; formula-by-formula audit","rejected_independent_pass"
"A-080","I.8.3 reduction and gluing register","target controls","adds or changes categorical structure and obscures the source direction","use whose reduction is X_0; ringed space; X_0 directed isomorphically to X times_S S_0","French lines 1581-1596; original print pp.14-15","rejected_independent_pass"
"A-081","I.8.4 SGA-wide English","Thosgood and informal control pressure","breaks the manager-controlled normalization baseline","use lowercase noetherian; residual fibers; etale covering","French lines 1600-1615; SGA-wide normalization baseline","rejected_independent_pass"
"A-082","I.8.4 ideal notation","French TeX and original print alternate J and mathcal J","either hides a source inconsistency or introduces false mathematical distinction","use mathcal J consistently for the one ideal sheaf and disclose the source alternation","French lines 1601-1602 and 1617-1618; original print p.15; independent notation audit","corrected_disclosed_independent_pass"
"A-083","I.8.4 corrected inverse system","original-print and stale-control pressure","changes the objects and bases of the inverse system","use corrected mathcal B_n on S_n with exact maps and tensor isomorphisms from the current French branch","French lines 1620-1646; orig-false corrections; formula audit","corrected_independent_pass"
"A-084","I.8 page evidence","complete target controls","breaks original-print locator continuity and page-audit reproducibility","retain exact p.14 and p.15 margin markers; inherit p.13 marker from the preceding cumulative page","French lines 1509-1510 and 1583-1584; original scan physical pages 24-26","rejected_independent_pass"
"A-085","I.8 hierarchy and cursor","target-control continuation and modern proof style","alters source hierarchy and overstates the audited boundary","retain prose proofs and starred remark; stop at line 1653 with excluded cursor line 1654","French lines 1493-1654; exact source-slice and excluded-heading hashes","rejected_cursor_fixed_independent_pass"
