"decision_id","source_lines","french_source_cue","jm_2018_form","thosgood_current_form","jcreinhold_current_form","selected_english","rejected_regression_or_unresolved_choice","evidence_channel","review_status"
"I05-001","952-974","section title; Theorem I.5.1; étale and radicial; corrected on branch; two-proof notice","only a short opening is present and radical appears for radiciel","substantially present as a wording control","complete readable candidate","The fundamental property of étale morphisms; necessary and sufficient; étale and radicial; injective after every base change","Rejected radical and any necessity-only reading","French TeX lines 952-974; corrected branch syntax; established SGA1 terminology","closed_independent_pass"
"I05-002","976-990","first proof; replace Y by f(X); homeomorphism onto Y; active f and fermé branches; Chevalley; coherent algebra of rank one","not present in observed translated body","wording control only","complete readable candidate","homeomorphism onto Y; f remains flat radicial and surjective; therefore closed proper finite and rank one","Rejected original-branch f-prime feminine fermé agreement and any omitted target of homeomorphism","French TeX lines 976-990; corrected branches; proof dependency chain","closed_independent_pass"
"I05-003","992-1007","second proof; affine reduction; completions; faithful flatness; local ring; disjoint union","not present in observed translated body","retains the argument with usable mathematical notation","contains a corrupted Â rendering in an inherited TeX conversion","use widehat A and B tensor_A widehat A; preserve X equals Y disjoint-union X-prime and the empty-complement conclusion","Rejected corrupted Â and any loss of the completion or disjoint-union formulas","French TeX lines 992-1005; TeX formula comparison; line 1006-1007 layout-only branch","closed_independent_pass"
"I05-004","1008-1015","Corollary I.5.2; closed immersion plus étale; connected component; open-immersion deduction","not present in observed translated body","wording control only","complete readable candidate","closed immersion and étale; isomorphism onto a connected component; deduction that f is also open","Rejected weakened image-component language or loss of the deduction","French TeX lines 1008-1015; theorem hierarchy","closed_independent_pass"
"I05-005","1017-1036","Corollary I.5.3; printed page 7; net Y-scheme; connected components; source claims isomorphism equivalent to surjective and radicial; proof uses I.5.2 and I.4.8","not present in observed translated body","reproduces the source's incomplete criterion and uses net without the current running normalization","reproduces the source's incomplete criterion","unramified Y-scheme; section determined at one point; use the logically corrected surjective étale and radicial criterion with immediate source-original defect disclosure; retain both proof references","Rejected unexplained running net silent reproduction of the false equivalence and loss of either reference","French TeX lines 1017-1036; Wstein physical 24 printed p.7; Theorem I.5.1 hypothesis check; counterexample Spec(k) to Spec(k[epsilon]/epsilon^2); scheme/prescheme normalization N-004 and net policies N-016 N-024","closed_source_defect_corrected_disclosed_independent_pass"
"I05-006","1038-1049","Corollary I.5.4; preschemes; unramified and separated; identical residue-field maps; geometric coincidence; fiber-product reduction","not present in observed translated body","substantially present","complete readable candidate","preschemes; unramified and separated; kappa(x) to kappa(y); coincide geometrically; X times_S Y","Rejected scheme modernization and omission of the residue-map hypothesis","French TeX lines 1038-1049; exact hypotheses and fiber product","closed_independent_pass"
"I05-007","1051-1069","Theorem I.5.5; closed S0 with same space; X0 and Y0 restrictions; natural Hom map; bijectivity","not present in observed translated body","reverses the target Hom arguments to Hom_{S0}(X0,Y0)","complete readable candidate with the source Hom direction","Hom_S(Y,X) to Hom_{S0}(Y0,X0); bijective; do not strengthen the thickening hypothesis","Rejected reversed Hom arguments and the source-external nilpotent-thickening gloss","French TeX lines 1051-1069; type and variance check","closed_independent_pass"
"I05-008","1071-1083","complete Scholium; uniqueness and existence; fully faithful functor; full subcategory; later essential surjectivity","not present in observed translated body","duplicates the theorem and omits the categorical Scholium","complete readable candidate","retain the complete Scholium and its fully faithful full-subcategory and later-equivalence assertions","Rejected theorem duplication and categorical-content loss","French TeX lines 1071-1083; categorical structure and emphasis check","closed_independent_pass"
"I05-009","1085-1113","printed page 8; Extension theorem for liftings; four-arrow commutative square; unique Y to X map; reduction to I.5.5","not present in observed translated body","uses the looser title Extension of liftings","inherited TeX conversion flattens the diagram into text","Extension theorem for liftings; preserve X left-arrow Y0 S left-arrow Y and both downward arrows","Rejected loose title flattened diagram and any reversal of the arrows","French TeX lines 1085-1113; xymatrix structure; rendered formula check","closed_independent_pass"
"I05-010","1115-1139","corrected donnée branch; Proposition I.5.7; source typo type finis; flat finite-type preschemes; fiber criterion; I.5.9 dependency","not present in observed translated body","substantially present","complete readable candidate","retain the editorial aside and proof chain; use grammatical finite type; preserve the three fiber tensor expressions","Rejected literal ungrammatical finite types and any omitted fiber or I.5.9 dependency","French TeX lines 1115-1139; corrected branch; grammatical source correction; formula check","closed_independent_pass"
"I05-011","1141-1151","Corollary I.5.8; retain move-to-I.3 note; quasi-finite or net at x; residue algebra over k(g(x))","not present in observed translated body","uses net as unexplained running terminology","complete readable candidate","retain the editorial note; quasi-finite or unramified; normalize the residue field as kappa(g(x))","Rejected deletion of the note unexplained net and inconsistent k notation","French TeX lines 1141-1151; established terminology and kappa notation","closed_independent_pass"
"I05-012","1153-1166","printed page 9; Corollary I.5.9; flat or étale fiber criterion; Exposé IV 5.9 footnote","not present in observed translated body","substantially present","complete readable candidate","preserve flat and étale alternatives exact fiber expression page boundary and external footnote","Rejected loss of the flat reminder or an unresolved cross-document TeX reference","French TeX lines 1153-1166; original-print page boundary; build reference check","closed_independent_pass"
"I05-013","1168","section I.6 heading begins next unit","candidate continues","candidate continues","candidate continues","exclude line 1168 and fix the continuation cursor there","Rejected candidate continuation as a source-unit boundary","French TeX line 1168","cursor_fixed_independent_pass"
