unit_id,order,unit_type,source_locator,target_locator,title_or_function,dependencies,source_status,target_status,review_state,confidence,ambiguity
NOE-P25-U000,0,article,P31 14120-14177; local source lines 1-57,Hans lines 33-89,complete article,,sealed,complete,source_parity_checked,high,terminal clearpage excluded from logical article
NOE-P25-U001,1,apparatus,source lines 1-12,Hans lines 33-44,title citation lecture footnote byline,,sealed,complete,source_parity_checked,high,1924/1925 metadata conflict held
NOE-P25-N001,1.1,note,source line 10,Hans line 42; Hant line 43,source footnote 1: fuller treatment and literature,NOE-P25-U001,sealed,complete,footnote_locus_and_text_checked,high,inherited witness omitted the opening apparatus and relocated this note
NOE-P25-U002,2,prose_unit,source line 14,Hans line 46,methodological introduction,NOE-P25-U001,sealed,complete,source_parity_checked,high,
NOE-P25-U010,10,prose_unit,source line 16,Hans line 48,one-variable setup,NOE-P25-U002,sealed,complete,source_parity_checked,high,historical Primfunktion label held
NOE-P25-U011,11,section,source lines 18-22,Hans lines 50-54,one-variable step 1 decomposition,NOE-P25-U010,sealed,complete,source_parity_checked,high,
NOE-P25-E011,12,equation,source lines 19-21,Hans lines 51-53,one-variable factorization,NOE-P25-U011,sealed,complete,formula_checked,high,
NOE-P25-U012,13,section,source line 24,Hans line 56,one-variable step 2 zero field,NOE-P25-U011,sealed,complete,source_parity_checked,high,historical zero-field label held
NOE-P25-U013,14,section,source line 26,Hans line 58,one-variable step 3 Galois splitting,NOE-P25-U012,sealed,complete,source_parity_checked,high,
NOE-P25-U014,15,section,source line 28,Hans line 60,one-variable step 4 multiplicity,NOE-P25-U011;NOE-P25-U013,sealed,complete,source_parity_checked,high,
NOE-P25-U020,20,prose_unit,source lines 30-32,Hans lines 62-64,polynomial ring ideal zeros finite generators,NOE-P25-U014,sealed,complete,source_parity_checked,high,Idealbasis rendered by source-defined finite generators
NOE-P25-U021,21,section,source lines 34-39,Hans lines 66-71,general step I primary decomposition,NOE-P25-U020,sealed,complete,source_parity_checked,high,historical divisibility prose rendered by equivalent membership/inclusion definitions
NOE-P25-E021,22,equation,source lines 35-38,Hans lines 67-70,ideal lcm and congruence,NOE-P25-U021,sealed,complete,formula_checked,high,
NOE-P25-U022,23,section,source line 41,Hans line 73,general step II residue field and transcendence degree,NOE-P25-U021,sealed,complete,source_parity_checked,high,
NOE-P25-U023,24,section,source line 43,Hans line 75,general step III Galois extension and norm,NOE-P25-U022,sealed,complete,source_parity_checked,high,lost overline restored
NOE-P25-U024,25,section,source lines 45-49,Hans lines 77-81,general step IV norm and multiplicity,NOE-P25-U021;NOE-P25-U023,sealed,complete,source_parity_checked,high,
NOE-P25-E024,26,equation,source lines 46-48,Hans lines 78-80,norm factorization,NOE-P25-U024,sealed,complete,formula_checked,high,
NOE-P25-U030,30,prose_unit,source line 51,Hans line 83,one-variable case reintegrated,NOE-P25-U024,sealed,complete,source_parity_checked,high,
NOE-P25-U031,31,prose_unit,source line 53,Hans line 85,usual elimination theory and resultants,NOE-P25-U030,sealed,complete,source_parity_checked,high,
NOE-P25-U099,99,apparatus,source lines 55-57,Hans lines 87-89,received date and article close,NOE-P25-U031,sealed,complete,source_parity_checked,high,terminal clearpage recorded separately
